P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT,nonce
-792758500,1051006532,-765814742,-1882323653,-394067281,-644996033,-356811235,1419105167,-1132412150,85527
-1301802867,-231104145,-1449664149,10516000,-1109467798,-1934794887,1513726783,2088976206,-949989652,85528
-1131445578,1637478303,-802916837,-1794547271,-1801012355,1297922361,-1046339336,1993925574,1784670957,85529
1109451204,938322999,-2074309384,48120530,-972639031,2045422355,-207231027,-310891353,1824072944,85530
1866512250,-881845558,1160360363,-2015104501,-1749346844,-1669515614,-355479954,-638123963,1933052503,85531
-1822126950,-1376311864,-1380261232,-622832836,2044204178,1116212905,1477758979,-148314251,-1462460802,85532
-1103475419,1837341419,-359855282,1289809834,-292411972,577246412,746867434,1981480438,1638659064,85533
1683801639,-1505487939,-619967268,995460192,1904213314,-1260118143,-1003680846,-1198806213,-25858621,85534
-83333536,-1828077074,-982632979,314261017,-1944481103,-2082404562,-259360683,-887993258,127865009,85535
-182605774,33194913,659925929,1249681573,-900705576,893576395,1100340665,44819306,1517930943,85536
-50262142,-133729106,1330258957,774878985,1698986062,-1081710586,379560659,1270558481,-1226642824,85537
2086576364,611471785,-1026898511,1052210054,28546713,-250065548,-940533863,-1956836830,746820953,85538
1683461290,1753896705,-1403850368,2058642920,-253883404,1543920311,-1867776840,-372324055,-402234590,85539
657092497,1280320469,64752243,-533864528,1321609165,53430314,-1023887220,-491617963,-1620131707,85540
1767924597,1079058779,-888177781,561035834,-1442399548,971135949,38878461,-87070421,-1516551969,85541
-970078409,-1852006559,1678088516,-1587293773,-629882487,-1178506350,532038894,-226815008,598484495,85542
-1822445711,105083502,746551478,-2140278311,-411756182,2109400083,1998258489,-1635180647,720293526,85543
1786799034,-1492182467,-948888548,-2084353395,1877995967,-941084950,944971351,-1488490525,2124287859,85544
1021945773,-1932351725,-1081083080,1271104934,1726142395,-1650563358,351705518,-1086379056,-465689873,85545
-581775036,-1101470730,253033360,12463297,73191633,-140361477,1839797840,-659597050,647481067,85546
-1662201712,623995237,-1676398366,-1620346227,-1748800278,-964109446,1876434721,1906132304,-1531954458,85547
1143765302,-1120518626,-508845548,-1766800812,2103060441,-1947426083,365134596,-176282380,1478645407,85548
1688252249,-940686641,28685207,-1574919304,-778067069,-607050774,150076838,-1932346865,-830427973,85549
1928346888,-1582664953,1563615555,530319,89676876,668049464,-8222431,2087474049,-1764059822,85550
-1739774571,62724006,-826414923,-2145044672,-1453525515,537317480,-1687637647,241585612,-1266912796,85551
714872897,-934388403,2146483604,-1470719757,-1985217152,-1883428849,72478459,56836876,1912209166,85552
-175062563,-364282837,-1497350108,-1297346976,155216193,-1857459497,-1958618193,1523267618,1323026505,85553
-641831962,943720707,1011555449,1901086067,1818087915,-1332683462,1127380610,-1334250972,-628250730,85554
-550777654,-633176251,-1619221089,-157235519,-87275653,-1283341567,1729385802,417095644,2044185416,85555
1633050758,1472636634,-40629459,784935985,-513520471,825733168,258465474,686683970,973254851,85556
-733845885,165430395,-212226404,729855738,-618210007,-1645956815,-235197125,1191004971,-2087860176,85557
1210377322,-1854072613,-1888852120,-109462864,1235155685,-1476404126,827379108,289726690,-1352003903,85558
814940842,352001593,-1290045938,1950523413,-542724609,1224540142,700767620,-1855078133,1846636349,85559
-815784180,-1787769647,497317007,1696566376,165616999,1719808940,765030391,-1542185054,-1373437406,85560
1568126325,-1597052498,-1772502025,73594521,2113314170,699575314,117524014,1997174916,-823935058,85561
-572732005,995368845,-1571536082,-1229446161,1749276259,-1148786620,1065191444,845776575,-2103702034,85562
-1020499100,1612309535,997918614,1563958548,-1927730062,-33646472,-42538271,-113223066,29007754,85563
-1324756668,590969851,386915807,226487422,-1769509863,-2025548904,366178325,1552687298,306119269,85564
-1828958767,-1078792083,1549516299,1138659768,80134930,-771332572,1127167147,-949088923,188672244,85565
356196174,754586523,-1233982942,714703981,1989575152,-906805051,-1353512215,1478728007,1333927679,85566
2106816173,1694180781,-1842291240,-861659908,-1590629235,-677197430,-1078125337,-1634685084,1743458437,85567
1881732273,-717967940,1427339776,-1858934839,-195428391,-1305357423,-7312740,-820634475,-598903293,85568
-1286696625,1887930692,-710734416,-957554702,-1594588479,509388327,-1640781977,1067564638,-75457060,85569
1600283655,182272534,1395111874,-1929975558,-642382386,672862999,-145048688,1491801012,1622122573,85570
415717397,250717273,1703016052,1689221836,1136964019,1356193205,-1837813738,1377692947,1691039269,85571
655618743,964758003,-1784164813,1760089324,-1235674247,1853380806,535459,620713797,-2051026994,85572
1848250921,1628305767,-655336291,-134066471,-1382889129,-66273214,-1932248357,1576331647,-1980892167,85573
1019778567,300133774,1144572404,-1273654312,-1457911188,-181621446,-1342941642,-1958763630,1980913751,85574
1927783728,396388929,976558513,-1796748882,-1462194027,723963006,-2120329383,152357371,-370443357,85575
318349557,-1984913186,337935895,-732158360,1624859393,2132816006,-2019921880,-511366603,-1125054346,85576
768020314,1726725117,-794989065,-242544128,1789790843,-1342671870,-1656738070,262918065,477520459,85577
-1856851022,-1196758274,-578584585,-1405434120,-1626603659,-1880184126,801126097,-1564815160,450968274,85578
-1325218285,990948974,-943543897,1136298479,763744568,1398861568,-410142544,991678944,1697691891,85579
1718473028,-1476240884,-1131224961,991780175,-2101124754,77965722,1053044523,1995634302,-2136972868,85580
691154490,-114736900,-1192494469,-930648938,-1420419860,1960106049,-148031276,1388449382,1128835858,85581
-59917648,-1729957431,85207160,-1323004040,1226826193,-43779483,-865166620,576933462,-1087189482,85582
1300844811,-1558578256,1794296752,-1702109422,-223002140,-124629165,1850905148,-134184108,951323177,85583
-1317160579,-585685800,1477586404,1857686290,-1984072961,1303205529,-1586826660,642495724,1696664850,85584
-1394221582,-1052809110,-1785426503,729109276,-1617257756,-1715240188,-1939400972,-2096776144,-1579053334,85585
-626067584,1687025903,2136487575,-1930718981,-1978982269,1764250314,548911504,1922179681,503311985,85586
-881854388,-553376106,-914339336,1717996412,-1160652866,1265212913,-474195631,-1114314011,-627170676,85587
-1712270139,1194246810,1629820257,1390626538,-855876549,2111434177,-1454102555,1513758462,86780043,85588
-97109538,700903735,731062893,1457455914,-147160373,-1196430372,1542462446,-148186923,1848078207,85589
31312581,1420143458,1910717525,-1871959822,-217200068,2049189418,-1731021696,712275457,-1314860042,85590
679386369,-1756224613,-1864595501,-1468900947,2080244493,-64351996,-154557610,571758462,-1133729530,85591
-30683568,-1607715007,1067300092,327433408,-79727548,-1214315338,409003215,426574826,773408859,85592
1279942916,1467424267,-1061757433,-1794544941,-1740764140,-2133994020,298126523,980941648,2134125093,85593
2029416292,1292285984,-371525431,-862124709,-171414519,1320782656,-453844895,705407945,-1255035114,85594
1363706229,-643506418,-1872914784,-1543585890,-109558601,-2015654386,-1288971411,-1711981788,-1564931399,85595
-981716744,2117638117,734112341,1074659056,848969504,-1736856356,-487399763,1882237804,-1001665107,85596
-999381371,61382471,25190027,1549716174,1030500075,-1693631839,820927998,903432672,-464139412,85597
2128668423,1319094414,-234560055,-1584878504,781624748,-1053570830,1111581433,1988037441,-1137241523,85598
-159810471,1779564827,-1036426665,-1145676104,-1232611228,213167831,1147928681,325411080,1649751394,85599
724366575,-6159901,1005960421,-1900007497,104217681,1703150912,-1500724459,-1501493344,-1235634512,85600
1545976025,2070725607,1696613502,2083097176,157849114,59185975,-58236197,-2050578510,437434104,85601
-2012008224,1287580320,-874383086,1335133300,-1908207851,1457978416,-1061940554,-1131387735,1101752976,85602
1847788085,1466211709,-775794488,205048619,-1905256072,-246623,175269928,-1036957426,-326865851,85603
-616789600,1482634845,-195196037,-1968771251,295551946,19254704,-1628685552,-1804679596,-1795903008,85604
-911102728,-1472834383,1285654899,-1962810443,-1689661119,89629563,414640185,1487801849,-1603353176,85605
-1574561759,-1286188807,2080227518,1827621835,502767286,-514458911,1644538722,607535058,1247548229,85606
-574404582,-1391962350,-1689753542,1989891919,1649308690,-814436585,1251110975,1433726925,18160012,85607
-1904799084,1596272698,-1804914200,1917656299,-1289253688,-1862679709,562137955,-921695522,504729793,85608
-460696342,430186645,238400383,794388439,145614874,-2037165398,1478214256,736076236,1790675363,85609
1032076607,927124757,-2016306999,-645618922,203131337,-1868672016,-870996239,-563350272,421111614,85610
-1894087190,2078820890,1719392158,1433459080,-584375733,998517337,1592965543,-1246437950,1871075348,85611
-1841129598,-1642164520,-2052869625,-1688088455,-1421267275,2025956611,409620011,1816634072,-1413216009,85612
-368038712,-2041260481,-716878803,1351669238,-165005169,-849832074,-1246807303,-1256630481,1275769915,85613
-96712790,229116335,130634925,-571030100,-422195484,-567372422,-973550869,552405745,905974134,85614
1482959369,332714368,-1561487538,878279735,-60095669,-549752060,441793427,1777990529,826508263,85615
1970181480,782141596,-1040695534,2111734479,1127979565,1639631935,1858348561,-1020690978,-885787222,85616
1577333929,1099144393,926127086,-163729689,471888418,-867060282,-1944792758,-1199585375,639011938,85617
-694362375,-970095198,1168880855,-2142152693,-896500586,469576067,-908956509,1024359148,-960189667,85618
1923101870,2034891217,-1189390493,2088415861,11682207,-2022740601,790497310,-186105,-155806275,85619
1729984343,-552582026,-2003035618,-722274377,-18430240,-1740471306,1513539803,-1356160754,1030891902,85620
-1459710126,-1968052839,338184616,-533490416,1012212977,910376471,206456239,1534982398,2015924860,85621
1074018679,48081637,-531283433,-769936323,821464430,785809440,-1219838987,40252371,-1213299956,85622
53491851,1137403434,1982023295,-1331610711,-854402990,893333894,-588565540,-237274068,1824218234,85623
-2112875937,-2104985983,722535291,961339402,-1005816908,-935309922,505721215,748601575,1938229174,85624
1738206778,1242115930,-1102879512,1353421893,-2076363256,2013686055,-1499364992,1387628200,487544517,85625
-1072462701,2070579429,-604959670,-1383844878,339893575,1093628211,340679682,-1812670108,-935536907,85626
-1671322460,952710931,-1655698930,-2030114488,749230770,-107957885,490525368,-1581533767,21030454,85627
425291321,-1934550982,-620708993,314533920,-1038048034,1254923876,410764175,-414806630,193788272,85628
-1381407521,-1054481180,201528130,838407993,-690615320,-81573952,-457609267,543984725,891200519,85629
1377903001,-124467570,337680639,2101730631,801923855,-1986610714,141490208,-487514448,-2027624464,85630
-1433784609,1893383767,763892297,1499093776,-1722037948,-1138932701,-637660735,-2001676077,-837110425,85631
1153888004,203822805,800084044,-1201252092,-638335718,414119314,-1830498398,647017311,1632709133,85632
676327132,-166952171,-1529098083,1765208743,-111815364,-1603379040,-1771039377,-1689643330,-1753172663,85633
967391799,432427571,878027707,-2026692492,-2095123449,-2041016409,-1403482387,421210667,5814318,85634
988495905,-392641402,-604060724,2087888161,-2023841227,-2104001623,-1851776998,-962688427,356357307,85635
2006301362,-1253179997,-1889018025,-557130298,1809068100,1456775660,251801463,-989521565,434145575,85636
1248844137,-2015254735,1682937809,1322292101,55126428,-255494614,-869242534,-1045377003,-330592798,85637
1496412730,312613805,-838766316,392506986,1544855494,1060012085,1526724379,477152470,-873348726,85638
137369318,69922835,1734909266,-916520128,1532825920,1311060813,-1374565327,-765787323,321768152,85639
-75771718,945740786,1829342243,493630630,1653725977,816453383,-671213250,1618556007,-1192278761,85640
394884151,-340481210,-859447429,-38986799,2051109135,288979600,692898465,1562764998,-1165477031,85641
1157240733,9596256,1613012732,-758367129,-278198086,781462096,1561319993,1661769214,1983136722,85642
-1742880146,675289516,-287379914,-185986132,-1061307577,391357458,-279780521,-989909798,1861680566,85643
-1309097500,-801087822,2062417695,-403433332,1345461821,1618486926,746746804,-930199126,328420797,85644
-1673601502,1007767725,-96039158,1754653987,-1590464241,1700695343,-1539629681,222082261,1865177928,85645
810276936,-341709869,-805957551,-1534446829,1803577043,-284942209,-1200083315,649404409,-91361387,85646
-436311468,-1083281600,-484320608,1493383664,605623717,-546934583,1283506063,1241738771,1606968433,85647
-552965115,1955795565,1728896427,1952002235,-1975668395,-1983537741,822877928,408913755,-58599669,85648
46687086,1941659997,-2126071005,1551098199,259927434,686036534,-1622136300,-634512631,2077450405,85649
-1820074334,-2060190254,932143218,1951538979,717602122,-405184510,518087267,-734252033,116530768,85650
-772304256,-51030157,1368469331,-1848139333,181055609,-576246495,-509691169,-1038077917,1593837741,85651
695343685,586102656,1009954224,521171202,1196106898,-542274424,343800910,-762118216,683718886,85652
-251103747,499971643,2051808135,416576651,-1029765236,897704959,-616750083,-1560032918,-1243958764,85653
1769414701,-2112182587,1280600319,1212254776,1513593591,-1056773217,-1583676146,-1301996239,2100710435,85654
592522792,-1697077899,1639968375,1422197726,-1133540737,-1583911500,-124941259,55933263,1640567545,85655
-48595694,-501246648,-1493266522,165193369,1899580203,-408206041,-1879148210,-668436734,-948985984,85656
1455855723,-1784986816,-140329096,144309870,1551801137,-1450592185,-2101872664,167134976,-677822116,85657
2031959838,-1219543098,1649491412,1637322741,1394803213,771614422,-1414408400,1795060869,-1135679620,85658
238728310,-588840271,-474790644,-308480626,393432661,191857227,-2063602852,-1455281920,1496191722,85659
-1661005273,1426860887,1921591581,-582149529,1805308893,1175109763,-374958196,-1782883930,-1484287498,85660
381851607,-762324774,-391319477,-897871427,1454316224,196330783,1752297369,-1908288468,-942336498,85661
-1111179733,915067887,1894843805,-865097679,-189795267,142319509,-619729439,1689631470,-1414515981,85662
1619866966,333850418,-696757365,1994185438,-1532218600,1333757706,-565118185,-199361282,1109323830,85663
2043921402,-1344874457,-2055645940,1559666940,-15535293,1151243427,-720494052,467693120,-1618021283,85664
-1833566964,1706273570,-1950218185,1070463637,1452856804,-1296936133,1873416879,2126970378,-1234687348,85665
-81339425,1512436599,-1774310883,-2136121680,-1527209866,1642537893,1094574144,-1473929688,-841460208,85666
884849566,-114256723,1111570151,315149288,1811814854,-1849206785,-247126655,-691846336,-2118307547,85667
-1379707059,-1801845300,1917845833,1018092552,-1179699249,898863408,1944589805,1788341840,-1437791501,85668
1824834174,-45501805,1080197059,47808150,759316295,1397609997,-279566437,-1958836476,1794485279,85669
-434949297,1894053031,-293663805,932945195,1617658132,-340793760,-445671889,-341682261,-182869564,85670
209502106,-139823294,-1603023020,-1433833846,771828598,-586928452,-219586369,-1025638841,731165480,85671
-859003646,2059421882,-903689146,-296789263,-207938132,-841879166,-87953024,-1279251615,-383966625,85672
475837657,400338866,179037322,-1824032430,1274196430,-2059064304,1930608479,-1087886166,-1649012215,85673
-168149177,-267699652,816424395,-1115878227,387068300,497133916,-1212412086,-2078959037,-965259187,85674
1340647385,-896725044,426873304,-534651230,1386694333,-41337806,-304966447,-1166895995,82543164,85675
1158604952,1697493188,682870687,906389050,-1506265905,-2023263898,-901771740,-1998816513,1597088336,85676
-1350554827,190646939,529623278,-764411901,-1282750401,436549262,-1125176080,-1913102667,1755507915,85677
1121234653,-78584864,-1574578344,1721515882,1497428720,597328105,-361596130,1754043949,1118792667,85678
-611133842,-859318761,826209670,-1151066969,610611531,444001088,-676078763,1367422454,1215812479,85679
-55929944,-34255301,-2047067335,1250901368,-1116548713,67199731,-1745863820,1007273435,1239650691,85680
-1327403047,1053050766,-2055241716,-921092408,-1305922647,-181506177,-268151749,-2062894379,-3208228,85681
-1039728845,1680259436,2059740168,-1157814074,1007760373,-1470052001,-1547736634,-1209101075,-428617916,85682
1100147061,796083464,99518217,656959901,-510431891,-732538021,-1565550212,1665405143,-289084787,85683
-1978769611,-718114707,-1980604905,480499389,255055357,889237738,1049440524,796103743,88385333,85684
253916387,318154502,1519841915,-1780646524,1108061285,731262223,2098490463,1218642920,2034804939,85685
1665982990,543745366,1472069673,-456925573,1538861460,1131410046,797416072,887477480,-1159134372,85686
1434795472,-955923257,-1446628335,-530013380,953637853,-1207230427,-1051824942,-1726512915,958038055,85687
-1353899488,-542724620,-235087493,1283273962,444413211,-304198624,1219341951,-483708897,-1489408978,85688
1366493605,201820540,-717057124,1220344790,-364095830,527392209,1932441066,-1416701584,1144535092,85689
234561378,-1061380223,421934273,1064820429,957699363,2136616081,222669721,2096764372,30523773,85690
437680006,2128018265,-1580958552,-219798408,-656923871,499987869,-1134884680,349743236,-1051404144,85691
-305654001,2144960816,1507664450,384997904,219469724,1902821448,2096954719,1503658620,472497638,85692
-798053371,1748943065,24876284,-1121731066,-1909138720,-1831074184,1583130357,1899567876,1826413892,85693
-620086379,-487531277,1702418808,525465744,-112102188,521748178,-1786486153,1034438590,-186115765,85694
897572727,1749511311,-202298320,1791699999,1534733467,-992988787,1046804625,-194141870,-1609162370,85695
-1334905791,-1140339562,-1640276726,388805299,455920837,1331274981,-438437368,1756978669,-136868871,85696
558394138,-1235975660,1701274096,645033316,-1277742308,-1101228541,59605999,1703801462,-2060846291,85697
-1446682941,-1468564050,1478751456,1238854210,847255550,-150098913,-585972869,-76913668,447935939,85698
1751407248,-1095530059,-659577010,-678719765,963992241,446228910,-1587309702,653148287,-208972533,85699
2031521746,1943801084,-454898269,-1045257800,-1279402425,519086546,1375600777,-1446088743,1180154757,85700
1862101921,-568066666,30350875,1477977372,-1370426397,1076336270,-1033963017,-1863765267,941429466,85701
-1193040271,895064093,-435774005,1837434247,262883298,1692082389,1698637307,-816412164,235952574,85702
1465570097,-1944034283,738607919,1314563284,-489880950,1326347420,542554229,-660670297,1600944364,85703
-178384678,73447467,-856337120,-1268657975,-1104958655,-1722612148,-615124375,394366387,2079712740,85704
730085042,-1374772073,1651685758,1603717280,426401146,13729402,787439868,-206539099,1552877361,85705
-869370268,-734031269,999551368,-514571045,1635548532,-1402215140,1453874462,137664367,-124438173,85706
-1096728065,-1908388883,1290918542,1677307882,-1008199584,663595715,-2052146284,460201143,1077627338,85707
-1169290090,-734665037,-1798361943,-706261022,1086340137,-846489031,-1819029327,1708000012,-969514137,85708
-537461605,-672878478,-631655499,-1188094061,-1741448462,-102492206,1174357859,-1472807021,941717931,85709
-1551785658,-486639697,-1415746508,-334645428,312968620,-1401475341,1097250134,-1157920336,-1871761522,85710
-1757781127,-2078721753,-1546441516,-963838240,575355402,1288719585,-676131752,1040054308,-460930873,85711
36485321,-1718864532,1589868150,568293724,-1983038153,-19405489,1667207630,1448766125,1879917721,85712
1083330383,443509730,2060433085,-2144931064,1340384133,-759897252,1396889676,-961348343,-448667631,85713
-1483156988,-2098415421,730777291,613392221,-1588780934,-1632081174,1942362991,1712569530,86430618,85714
305869220,-1150587189,-1098852108,-1196446241,-1493794141,255989844,1422952610,-2115824542,-222144633,85715
1706820674,-684804859,-1977898756,-232442884,-1915966876,703175142,397264839,-1765716413,-346532383,85716
670513300,-877881658,1896391886,1901887412,-1971006512,1432471780,-771682126,-1409457509,-768175047,85717
-1499307173,1519231954,-1601462082,-173269365,-1763357435,-1709159284,282944324,-1388239499,91102726,85718
-1229714961,904284689,-779073457,-1528058141,1712905617,-1562014063,-1274844477,-2145343891,787343886,85719
1619898511,1536357602,-642181695,-1625103191,-1073543387,1688982077,1480594794,2080236083,225610786,85720
2023816649,-1109776818,1539343916,2141478794,1484110041,-797033687,900786259,-983947457,2034905551,85721
-1822397824,-175005602,-1274814418,-585238571,-66603398,984894113,-195597340,2063708440,1495702643,85722
354588738,-909514527,-602282122,-585767851,1251498803,-185259223,1737141708,-1205248358,-200772196,85723
-995182300,890080485,2051616669,803850290,-86872045,-530145941,-1266399654,-558846592,-483528262,85724
-151240361,-972325765,-251219230,2097115557,942017216,1687367567,-1653830225,167848420,-850442861,85725
690205845,274836013,-1586650735,-235314779,-343990783,-584187961,-2002721164,1177138502,-499113920,85726
1609010823,-1095270384,-1606778283,2123121324,613800415,-823440657,41100687,-1508663693,-286624262,85727
381444330,1322953305,1167054813,-1483992352,-889967782,1842811605,-1970632342,669446882,1719150923,85728
-571486197,-495893410,1014876732,-1953759159,1516195341,1563229712,-2013951124,-1397976431,737960088,85729
156716145,-1281296556,1489495910,565520351,1828049017,1980168203,-931197545,-1404011673,161621768,85730
-1089241021,-818142184,442595079,-1800095802,-232266922,-137580599,149851523,775329917,-876108911,85731
1884957695,1700340798,1836415051,206770638,653299540,-711383681,-155914745,1360366790,-1199571076,85732
937554212,1267169897,732829838,-1910339448,-531217593,971771727,-1807389585,1150767633,1442859470,85733
973967136,1628692544,554437683,-2131175441,-1432627358,2088080055,-231275346,1802743917,-739309444,85734
-1262635777,-492290796,-871447140,542335768,2020065785,-1001917255,279429040,-34913610,1692981618,85735
695346346,-994899429,-1876916679,557132645,-1870267675,851038755,-820496605,602599327,-1638059662,85736
