S_SUPPKEY,S_NAME,S_ADDRESS,S_NATIONKEY,S_PHONE,S_ACCTBAL,S_COMMENT,nonce
-433611601,2113535102,1265622564,-588023845,-1208836317,561068908,892805115,17205
1230625036,-1897372321,854532237,-43851127,1823617553,-1156259690,-861097639,17206
-1428919351,1364322069,759754647,1102938408,-992694308,-1936516199,-1225253982,17207
-1840927477,-509087858,973731760,-1798467947,1754371077,1077560645,322340198,17208
1305450340,87553584,1017907713,78881601,-258912710,1772632799,1346709214,17209
-410325163,-1719393055,-907613263,767878930,925220279,-835602352,-378512046,17210
-1705432305,992967629,-937270899,239710973,1843568813,749151058,-70222361,17211
-899739919,-61162489,-895001151,-1592516002,1283130020,-1168621822,237592628,17212
1254534547,1573885748,1685689983,1347999011,569743936,-265621520,-1265663064,17213
1554585569,446300399,811242796,170917390,178011251,-904800168,-978287733,17214
1603593001,704754214,1686210352,-1544269777,-1077164963,1463882546,-204909751,17215
-1014381010,1086696865,4398951,1313126174,1363271367,-1228777433,-1110709069,17216
1203659265,591839421,-2115079910,2017337716,1851089605,374259576,2096637184,17217
-451982882,834754023,1361795311,1215460150,-684259992,1828769724,-1546005127,17218
2141858645,2028532647,460879615,-1688979370,-1384984937,2071251660,-1573114160,17219
344982541,1539926195,-1382815978,-577901652,2145889022,-754524719,-1371961158,17220
996332175,-1426227170,-194333765,90743124,281644148,-1872421303,-1199783068,17221
-1100099773,-196348401,-37107412,-1636085511,2115943523,2108805053,584702187,17222
306982592,-1100104866,-388771730,1297847015,-1189355215,163911257,-1792015416,17223
82007722,-1831630502,-11587234,-1798554571,-638544080,-1113229384,-1176676150,17224
1984224103,1739003447,-1530907343,2058522430,-647926629,-1904577195,597444762,17225
-225159348,-1827218652,-559026770,934835007,-1569160704,-1649579349,1009928790,17226
748661054,-1571497343,-1326724363,1170193148,-2034873278,384569075,1226096434,17227
-26223758,831471824,1172256808,-262223681,369169585,-83166326,778104683,17228
1930161996,1260611248,589814096,358815684,568403390,1524455333,-882772990,17229
-1988092842,-804614814,-1876917941,1590671341,1032971789,-1308472479,940499829,17230
-981743338,1020047082,-1181598838,873855457,453481310,820113276,289959825,17231
346824126,-601831254,-350030261,-1026335503,-1206928505,-373803871,-415249922,17232
-1895873707,956913141,770135596,-1480691156,-203172539,-634937785,-1218530821,17233
-1870826978,-1655965299,1532282947,-1298089015,1670703377,1562602015,1150804618,17234
1315198601,-710290300,-929727925,-643366732,1559197995,1532069988,1973767206,17235
-372719710,-2049366372,-582474322,-2011580539,-1284674312,-421983307,844443547,17236
1126614562,-858005844,-1383404223,1972514980,-1407823594,108235915,1234002460,17237
-719361385,2060109288,-436016930,756212561,-2103814556,485296175,1282271362,17238
-2001599225,1776377169,2059261730,-406420583,1627640251,459205073,514589731,17239
498932589,-286991775,169463225,2001635578,1003985929,544347092,-916510030,17240
1497233574,-1740344370,1075602027,2130834412,1713324481,-463658831,1114164993,17241
1040610683,-2118977611,-1647947922,12955297,-1393303854,-643398375,1242511329,17242
1261094287,497089638,-1227660280,1853202855,-1033329304,1418537006,-2016595063,17243
-1291213340,-615448796,-92307403,608648308,520956512,-1407828556,1482456198,17244
785872664,-1616521288,2145774155,-710827942,-411030347,985039232,-199041867,17245
1734814193,-260649372,-819679444,1513962272,-1178461265,-1577229627,-1070513138,17246
-1222404944,109385624,-237639969,1908200155,1391578126,-456568203,-1872657274,17247
564435575,-1979204594,-1368129838,1010771669,-295032030,-12556551,279290392,17248
-454369163,1893445308,-567721187,-717373643,-614951073,1476871365,380595679,17249
-1798058788,-749743968,1210688321,1115630760,-44682199,608352549,-320283588,17250
