PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT,nonce
196139220,2126773916,-754369223,-1977868098,-1420144657,17288
1648179879,808492988,-1335581806,1793872083,-659611697,17289
1165577775,-939952281,1756979945,-74642132,2000172846,17290
2077173591,-849834594,-1048836982,974959586,-1714947664,17291
-867236308,-1313838140,1297652408,-1756578546,-1555060276,17292
288256247,-1015148293,-1415873048,-1714684987,-455066178,17293
-556080200,-959706428,448406738,1163763829,-775652700,17294
-636356502,-223918689,-2008199956,-39739013,-1305782003,17295
996088051,-763593651,-1488059926,-1695836692,975725145,17296
697353647,1574642345,1591964094,1463764790,-1231125348,17297
-689880665,949459396,1428605277,655496417,-167153701,17298
-134333544,-689651099,212622443,350287667,496266488,17299
1197913858,-1774448392,-787981250,-1456824169,152068807,17300
-1836652336,-1915550860,-1193417164,176974555,-546313855,17301
1255774539,-1317936049,-944166187,-1463845999,1418153351,17302
1098460689,1815676839,2014022322,-1131405333,1127382062,17303
1708752734,-308433402,1049456791,-1401624462,850177039,17304
105155113,-919752675,1388656019,-863322825,-1063350303,17305
-1884548362,980703465,1176994133,1247536202,1390819126,17306
669439467,-1491815619,1625488567,-1255862825,-758477630,17307
1445089041,-2123015817,-1311300768,-1751307205,2114692348,17308
-404875139,944790917,180410406,774201795,-2051228551,17309
-522671189,-474213273,-261008172,-1004594135,993000670,17310
1028096629,-1413472046,-1539082182,656812032,-266590031,17311
592168510,-1929382653,635101352,-873572554,507918139,17312
-1011371715,-209609867,-1892527897,1825452046,-1573571282,17313
-394308002,-1831632330,-152582148,1548914472,-1479781112,17314
-1494974932,329570413,826357715,-2097525533,2050412764,17315
-2146075788,1828071098,-1232867819,-252421161,1127358879,17316
-1024650636,129469775,-2144154757,1465066798,-2026885852,17317
1771287105,1790056939,1128445261,-460034446,-842601538,17318
-1855267151,-708152736,1721875472,1431214117,543264552,17319
-677917014,1591523052,964132947,-561813360,1764030523,17320
232621694,-1989072742,1208083644,1106705400,781512957,17321
-995268506,-1243960569,1301448346,558833149,1766708749,17322
-166252150,77845984,1128420275,1438576427,-131810785,17323
350507638,1925641481,89589815,1571997026,1174473187,17324
-1912796254,-2019163513,-1797019106,-451888397,-1124086707,17325
1738896828,-1170966804,-1479215430,-595703676,1842847359,17326
2043610181,-742842942,-109733778,1235186413,-800894440,17327
379210562,172644575,31204845,-1793870759,956466247,17328
-1284112078,1449392640,1356475182,819854147,-1697497833,17329
-946531494,-350509206,-1840411597,1632916735,618323581,17330
-86510696,-818612174,-401909067,1030577334,1812044752,17331
-887886696,87398761,-723640304,299278892,-106703274,17332
-1337832878,1034240717,1444262233,-1986166941,1726758835,17333
682507919,537317365,745052907,-469021723,2017380033,17334
-611170734,-1240602155,-2037551094,1663269013,1636060925,17335
1773464005,467424305,-669987241,125992058,1731548906,17336
1675555157,-484316125,-1620019439,-1080153971,-1177940897,17337
1232013555,-224448012,-1775493865,-779295613,-81156600,17338
325755193,-1703767314,1727952420,-1683068496,727757054,17339
-368031097,422109339,-1850444571,-2002575196,-1322901740,17340
-1875395735,601722918,2036806846,1938215248,-592733777,17341
1594647433,1892632994,2040157095,-1999621078,2018428004,17342
-1501633928,-938967286,-1471943772,378844699,582146948,17343
797265832,771569693,-2127696180,670434655,774906319,17344
1185928618,1212123619,169059105,-1400340220,1182291356,17345
1714864971,-1307163251,144586982,-2018187597,-70078409,17346
391858665,1996845086,551915899,1948691598,-814322151,17347
1133541822,208820010,1893087382,-794390322,699092140,17348
-425496302,71286131,-1947560339,-1138325683,-505663996,17349
674543712,894271128,1115885302,-1152434412,313764568,17350
1065907855,1789299006,1480328946,1181823506,-1142314549,17351
-72093188,858492016,248443307,-531882129,-1185783156,17352
899196270,1476029661,-606791564,2100558983,993087478,17353
-1952621087,1002846830,1266269598,1934601859,1827483765,17354
2101369728,969700631,-1703806848,-982672779,510867163,17355
-619865043,-466832173,1490157054,2000820094,465692793,17356
2019049465,1006383045,-777291732,-1538316555,-810372689,17357
-1266437106,-1743786332,992401368,-438251155,465935940,17358
-557838215,-645278623,935031317,1464267570,210869245,17359
449016474,-1029378143,-1083975217,1274605281,-2003280159,17360
673547398,-582098302,-344564464,945966550,-323385005,17361
1086829659,-2090869556,-714915982,463684711,-2048771451,17362
1144021073,-875909317,333837186,-2104475276,1051867617,17363
1550655660,-1607539041,723840918,1321130826,-754230021,17364
-296704859,2005005090,-1135827715,164131394,-459473348,17365
-274554850,99291461,-152440858,1653374945,381204464,17366
-2019367245,-1482180271,-105658779,520930285,1496267723,17367
1957892225,-290117654,-976625829,1103553418,1678176184,17368
-1241085728,-291491200,-1269670997,-1977777120,1576425841,17369
-1696648718,2059534524,-245823028,1503799772,111566459,17370
-811744227,1351653886,811488215,765144437,1210584984,17371
-1851133383,1020463217,708329019,-1601510229,976321402,17372
-2046123429,1438816740,-873464782,1296568352,1955694813,17373
1245280202,250128374,649418987,1236556693,-2065196562,17374
-1279074122,-220777001,-430273161,2028810796,-913585657,17375
-68784392,-1351678886,-1822923592,-424656905,1705737092,17376
1957383960,-1978414912,-104279736,9322938,-869472015,17377
-136881028,1303452259,-1467452114,893437723,1174316557,17378
1881764878,1891857174,1801523135,-1922484507,333157530,17379
-238303806,-2126989473,-1652190121,-466831094,-1520686838,17380
-1787378816,-1676848079,34369442,1267824910,1760907539,17381
1877821084,388430417,-603078359,-1519721510,-217021164,17382
-2033671182,-917032116,-1367933558,-1662020323,-39619222,17383
-318824756,-1013934668,-1361393657,-1122529799,-2052380730,17384
960439432,-543318803,-1892638097,-823202536,-1017392628,17385
843342528,25360829,-1148505870,-475637415,-1382728787,17386
2088234719,-1544612963,-854884643,-2037002496,1062486824,17387
-10606785,1077050792,-1413041376,-1195797506,1418728861,17388
-399003621,-1899457651,-1673378177,-1469247696,-179998996,17389
245360426,977196586,-766656910,-2081080117,929492817,17390
1149023427,-660539403,1546285541,-2136554235,1024650587,17391
-268919514,-1800504202,-1093111018,355701596,147134057,17392
-848379639,-33644998,-947937606,-1141833996,998414882,17393
-1992541610,1514638107,-1890619273,1165671772,46661355,17394
-473073014,-720476946,2032793377,1212914748,1627243811,17395
776720817,-131518754,1449877175,-1502714019,1612709551,17396
-814960001,-991784315,1992420685,-1405115636,-1116016007,17397
-1827930674,-1770492695,-306625017,-318418326,292241667,17398
-1343322508,878876075,-2080199221,-1804702830,487248856,17399
-501870823,1663749100,-1092994751,-2028597861,556204117,17400
-1585021833,-650773884,158300773,651477533,1429509826,17401
565146254,-1395871188,1408950582,810799379,1747011526,17402
258837632,1443630774,21627639,1129483651,-239231803,17403
791132709,128253036,-805668868,-1723634872,-1662735198,17404
-1947857752,-598150236,142777381,317528458,-1523041440,17405
-612628894,1060791225,-1540209422,-396705263,1517865201,17406
1422915260,1556765750,66026981,731871258,-790007695,17407
1096429053,-227429476,804602287,-1757088301,478343498,17408
-1414171320,1699551341,-153452620,17437189,-856924513,17409
1389461427,-1726937451,-1940569443,-1060310046,-651642972,17410
1917200386,-675270606,-905038645,332270365,-1491687576,17411
-2010224136,-553872559,-1900845955,1689395110,-1022622612,17412
98716709,-1579057504,708973458,1984665664,-1228160675,17413
-886782739,-814023900,916686329,826622256,-375349134,17414
-365993402,-505342751,-1402907381,392844594,711460846,17415
2016305046,25709361,-1471799694,-181310315,1108373569,17416
-133266327,-1628176014,1141153874,-409015898,-1856875126,17417
669677582,1316954359,-665028916,601196350,976219080,17418
-1671596413,-447069199,-125541713,-1097593567,-1928263538,17419
-2076362981,1268480798,-798240676,942421274,-750165785,17420
712256173,688425382,660676973,-2079740217,-463392799,17421
660466482,-435402161,-969945072,2004847201,293691134,17422
-100454074,1947755689,-1488093830,236304514,1475391182,17423
1992184010,2055985226,2134059184,-234130574,-1370126522,17424
-544053024,-1558182930,372181348,72764025,34052367,17425
1258944215,-792607766,839346175,2073039213,1469425504,17426
-1672331110,373475282,210549713,734262232,-2037736776,17427
-145940900,-967638374,-1062271655,499332220,-1481662791,17428
-190209246,-1830088401,1278461293,-1344083909,-930009872,17429
-1070754947,1372253145,832720786,1435031854,365184824,17430
-1144162011,1484660500,390422388,-1463499226,-1349897204,17431
-367932239,-1065300876,-1737123999,-636605619,-1484615574,17432
-909486063,1656865039,1089109580,-796313082,-1546202253,17433
1247354944,-2113930811,-377180800,2026635089,-1027811456,17434
1411489673,64176628,1533271956,1878274111,-1387132337,17435
-33278801,-1431473630,-615476041,898495537,-1494243827,17436
-823183442,229294996,-649006847,-630455197,-1260732529,17437
1931618197,-1925567454,-1935726995,784597825,2020301694,17438
79254432,864183863,-201968481,-174892223,1501703691,17439
1858425169,-1192209099,1462343310,774125026,883099086,17440
-1522727246,-1478327098,1740687645,2147448247,518964630,17441
1488011829,1610213937,-1722175111,-1249969335,1661201348,17442
-781065587,-1222063035,-1775817822,-392250,-1272116698,17443
1379107269,1860481844,684531324,4464557,-1367955024,17444
-939429981,-800953755,-222411839,-2027877151,1408080967,17445
-2105875160,-1658144889,690285079,-847637054,-132338442,17446
-1355030565,1465674902,-893544850,-1267249483,809106564,17447
-473725251,1158742615,703325652,953304297,-863377554,17448
1071774064,1672687529,597540467,-862735408,1985411669,17449
1415623744,1686935425,1583988196,-579609461,386738858,17450
-120772841,932418621,-1333958616,-1795443274,1468751748,17451
265528253,-153701665,1292615850,-628520864,-1059658627,17452
-93620671,210337712,-1061375022,1977406033,133044446,17453
-1079825819,437086914,1087166294,1448084912,151564818,17454
-294211606,-215659846,-2090852220,-1951250562,749437243,17455
-493280053,1052943333,484934747,-889847926,1730757820,17456
-1387404536,-1356935142,-1094745046,-2096845252,-1129748404,17457
-188714597,1627443544,-1804714736,-450547150,-476156135,17458
-1242912962,-363647007,-1549720457,1880947632,-1061448760,17459
-300426490,1188542862,-2045001595,1801177487,-1747758462,17460
-79526172,-770887059,1961617284,1059248753,1167034953,17461
1816140247,-265422472,-805330222,-259658321,-145940851,17462
777196981,1219847651,-91830145,957458241,-266469482,17463
-2039461038,-134109346,765488805,-1399935596,-1104646241,17464
1958666542,-277105299,2102057084,1694638771,1984800305,17465
454877080,-463939089,-679301926,-96676455,798407988,17466
-1599588594,465731476,742912948,-959355268,-2048992483,17467
-412898589,-2001910967,454846678,-734175779,-1648959720,17468
1308584123,-1209696503,-1373616459,322290124,-282402180,17469
1215807562,-1450866756,1721773864,-1091636769,375713827,17470
1898344168,875811172,-150118211,1776891208,237790093,17471
-2115453476,1364832909,1679915907,-1799830127,691570537,17472
-1280372666,-1901546511,2111415856,-317140497,329106850,17473
198340275,-1899232754,-1939998847,-1524782725,1782066650,17474
1708914537,-231343317,319055386,-1186715693,-871812890,17475
253012356,-978070818,-148163508,363190081,1766058202,17476
699490469,1647835228,-1497287072,-1883299259,594369926,17477
1311491478,-1365373680,-1670702579,-1717077044,-1283123355,17478
-1719133469,936216507,-1571769534,639714386,1833576070,17479
285091398,-187696298,83598937,1583787138,-1683389284,17480
1807185560,1405848949,1841689378,197463126,-589688342,17481
310342286,1525721583,2072647680,-1773136950,1340651643,17482
730543118,-551753429,463385796,196012841,-860612858,17483
-189294102,1351357196,-1621196648,1901821384,-980897173,17484
-729167973,1612102531,-900717989,930226608,-1643752030,17485
13326226,1216365750,-983204912,-1705694068,-854981693,17486
-2082443935,82426231,2105872389,-92606068,-1085284267,17487
-682891090,-1057087671,-1711654338,-330728037,1032977703,17488
-1192135160,1878305886,-2041226111,1524726024,1727318936,17489
433906203,-1153641065,195679064,1738968799,2094082832,17490
1456519864,1591546666,1697647154,-1729253488,927695232,17491
850327981,1216925437,777110434,862267973,-1993625382,17492
-1917879687,1357081929,1888911707,-1979565694,1206569343,17493
-257207097,-1870229911,-796891823,-1365036953,-471105670,17494
1231397225,479298529,937625721,-458731036,1452063047,17495
227834251,-2080000466,-1453106216,-78884793,-531702145,17496
-882232888,-1451231838,830558951,-1921199262,2142669249,17497
-126876100,1826487534,1966099236,5569867,364462350,17498
-517557066,-2087782608,1978175533,2100436629,583313248,17499
250902630,-923587561,785818969,1621121704,-1314346932,17500
-1812907108,714989787,916719564,-399360203,1364109182,17501
-847466385,-1432320864,-1019429850,1587926022,-269642902,17502
-1284263484,-69854790,642832088,-1326980911,1830224115,17503
1255493153,1786162559,-1974665324,-533619526,1050134808,17504
-1731329244,1258831996,-1166997162,1217639776,1927009428,17505
1001271274,-322307326,-469472590,1691095343,-183494299,17506
937212904,-84790487,-800675679,1426068673,2131687130,17507
1862199264,-1553324523,216652531,386145911,430772821,17508
-979336956,1174837032,-654961037,398686939,1686355343,17509
420564729,1889996398,778594965,186610111,351302720,17510
1797709254,-222454234,-1100406521,1202143419,-106014868,17511
-426803387,1988354050,-1573967271,650108280,-190610468,17512
-425471808,-1188064099,444030791,1270122941,-1077289135,17513
728501840,2058397052,627139772,-981647435,138869582,17514
-410363024,1519532274,617844819,-796717082,-1492349888,17515
-1729938865,601864092,-1615970661,175158012,-409546227,17516
871649026,245615890,486613182,-1495268862,-1300141348,17517
-1234734680,1390757596,1266183050,843370319,-755586538,17518
-1726739617,1180991078,-1915407715,-304212901,-1434146297,17519
1626310711,241440534,1288846636,1809086748,-1489526488,17520
919470711,-1477287762,1703070837,-706396820,-900176649,17521
-719267858,953891239,-513988631,-192300597,1348821396,17522
833136332,1739501402,1396639629,-1741158494,-1052476608,17523
314103134,259228261,-523768928,1255789705,-1482927234,17524
-2021021497,-1992485112,-653950287,-1702974895,-1781372880,17525
624603470,2098869841,1669397867,1912482352,1059303132,17526
-368588373,-932114380,606270025,1873031116,842464888,17527
820539467,-726683710,-1134233036,186903373,-53842291,17528
1728096788,1016650436,-599367487,-1088874851,2083332076,17529
-1261041587,-1558744204,-667187922,775008292,144163441,17530
-1829125721,516807880,190622729,-1519117294,-257379773,17531
-1680015152,1823259130,-1519467088,-1003770036,1410812490,17532
694251669,-323407952,1062337091,-2103149745,-1598002353,17533
1838317033,-769187260,951931920,488026264,-207809063,17534
624555697,1013769344,-479681920,-1113024867,-1227124269,17535
1975153424,556555318,-76708811,-68501513,-628810037,17536
575305909,-923867661,843850311,1237840605,1098082628,17537
-141162819,2084133930,-752810736,2102963984,1138661403,17538
-1759099859,-384368405,-1354418714,850644306,-1204314350,17539
-207995299,1453594263,1120045496,-1801029150,-1817354171,17540
-2052589215,1156354518,1100823843,1614219273,2140841509,17541
-1971413772,-1733793305,673294458,1853136898,-785183053,17542
1460855139,-1067228383,1383776390,-494146491,1071640392,17543
1505906327,-1008908851,-607361066,1763976227,614823318,17544
1194612574,292091738,-416915717,-1083481822,-1430330814,17545
-2000022762,1360830246,-1504735730,574589181,1989702939,17546
-1630163920,-605610740,124746283,1106573191,978894739,17547
1094893494,-1560418990,-477800474,-452483230,-172466316,17548
2101725516,-265597467,762551772,-804181313,995455041,17549
882235952,-1413256786,-1243011199,-842101117,1765559968,17550
1663449372,137803959,-1373556476,1232394680,-1036459615,17551
936986985,-764574365,-860789246,1286248616,-987753512,17552
355048710,99926588,-387716805,-202795378,703913657,17553
-1229317384,-1958072758,2074490593,-1385748694,-1114776692,17554
-1421455755,-1342580378,-912549822,-2070168864,-1809065525,17555
264525834,-1468524014,299866392,-1867386946,-806280739,17556
360748470,-1678693824,1280035359,1601663727,91724848,17557
1637506549,1092354604,1846869226,-209766633,753948550,17558
878858327,920164917,-545075743,1107061424,-1045124484,17559
-1668958032,-1328260189,629023590,1624819591,107541360,17560
-914750614,-1939714850,1220236378,-520190638,1248770669,17561
-262004783,-1016332841,-1314748483,50767214,266048333,17562
415578748,-365594693,1448995668,980534900,1947317534,17563
162949596,-593367063,1872581357,450887226,1104250538,17564
979175795,680298874,132718382,865324984,-1994014030,17565
654016657,-883489931,-813978684,-1219284440,-2062002831,17566
-26159961,1910526945,-1314305311,282756264,1825930867,17567
-550288522,70511645,-972975151,-1241179161,-1408944035,17568
1907920916,-1243159801,614239162,724428747,-1724165756,17569
-1382229170,1516894604,-485768200,1934605264,-833645309,17570
-1129634669,-1420567336,-1478136584,1455665878,1847243282,17571
-495182902,-234601765,2009602908,-199881819,-1152943960,17572
-1138607719,-1702626373,532198053,-877724917,516925703,17573
-1565029745,-945908167,-1430443408,-699198898,56088552,17574
440681417,1924940267,-1159940327,-974651464,-422063763,17575
-1735319855,1720525316,-233089632,-2128399194,-1277906109,17576
894135991,-2060728265,-136363079,1393035963,1329237384,17577
1480103648,1137012871,1807880198,1206672897,1316303743,17578
-273257678,-1548470810,-497666984,1154238279,-1000499814,17579
-632000361,1579926136,-1441280999,506481573,-1232677508,17580
-1895535865,-830580939,-754975108,2033083444,1803029950,17581
307382262,1277768973,-1857467111,1423361948,1779927518,17582
-2016231780,-138088475,-131042577,-1974264008,-973724673,17583
1169225818,1111171168,-1723640222,1033272939,1729088454,17584
1116397907,1401521798,-232524553,123114732,-1851647556,17585
1865055487,-275334872,-1908525670,-1912349138,517320349,17586
-896966102,-506203712,2125487128,-282884610,864817223,17587
-1925865488,170760076,269565504,-1999461206,-649140232,17588
-1948159577,-1061237084,648139986,-1486687077,370847302,17589
390234741,1139006136,229492069,349508376,536749641,17590
-564087188,791893216,153886619,-1706547201,-1074960141,17591
581880036,123571086,816457602,584012946,-729059366,17592
781767309,539151889,2015160377,-1209190536,1953563806,17593
889789244,-1690966855,-1939179025,162696596,-462220498,17594
1486382497,-747839717,-1088002351,1090827396,1863706954,17595
2012096067,1739928557,-1328184109,-612885014,-1143340616,17596
-420653570,740460726,2055991862,125435138,229475759,17597
-525796440,-641687528,-25271835,-2072500507,968690415,17598
-897902320,-2025449452,-1119530784,-1642669020,1424602880,17599
1595932765,-1105392886,133229966,127088449,-1941316246,17600
-27051905,-404129044,747783284,921440319,602264557,17601
-157787880,-1160649765,1664916917,465964556,512170447,17602
1389332913,-854854953,1532223401,336323206,1573501390,17603
-269879528,851736847,-1423579309,325520504,-1469693214,17604
577501626,-1156516076,-34910213,211251506,-1329053512,17605
2484575,610371347,-106426925,1976539616,-632978913,17606
726184988,191589839,-598074597,732270941,-1356520381,17607
-1741707149,-414452413,411765378,1099967601,1876700538,17608
-1949808948,-1808321410,-18826026,783157206,628656068,17609
-1159713263,-1978935703,-121710055,405598195,-1551795210,17610
-409399634,1804152518,154484332,29222011,1173110043,17611
175122553,-1068056402,-1529553125,-1826494346,1252946820,17612
-498705286,-2055732220,-1401958481,-670702338,1358582028,17613
-501622108,-1227281983,-1282243569,-185770764,1102635471,17614
715001842,1460567454,-1543488051,-667213338,-1385191142,17615
-126224460,547262329,-851412528,-235002793,168084736,17616
-587940994,1671847087,1188191662,-27934506,-367672705,17617
263079490,-1720451465,2036967751,644320853,-852013141,17618
1475658379,-341832381,-1433773517,-792195048,-1518133163,17619
126355776,-810741543,247229336,-614368749,-17241597,17620
1817287754,509204957,-1466885642,-1314055336,-215062742,17621
1832643643,-1371206190,118836872,1910815053,-610451787,17622
-1468773206,-1879081853,1396602003,1205441523,-299311520,17623
1648139119,-247720011,1451253990,1597230441,251217199,17624
-653049553,2075966088,-856822942,-2022003532,-442779733,17625
1333598654,1723280646,1887764791,2075583475,1096073370,17626
1379225866,165386058,-1467640410,-1905114793,-1674351909,17627
2087444462,869446119,-1718435404,-187331759,-279600203,17628
511414866,2041825507,1953082780,-725443976,913479846,17629
441123938,-537870500,-1027640966,-1183631481,951240873,17630
-600398459,38534823,-918965839,468402092,1009377304,17631
-563114900,-1521869250,-494217416,1375615709,635658157,17632
-171556893,1799446848,721761697,-1428545883,1148956676,17633
-1753455566,-798592960,-580763460,-270936898,1968616148,17634
-156083568,-1920079081,-1332901681,-171976827,-2065688475,17635
931345354,1646504054,1206853723,-790705526,587023168,17636
1714764016,1551141309,-389962747,1239765863,479770892,17637
-1292706473,-1872543776,1107557703,-1538987362,652302057,17638
224310702,1478956068,-1784236699,-1883112796,-1699818764,17639
-106800403,-1305889834,1499369155,-1850445894,-89523235,17640
-1478886313,-230340073,1115512582,815197855,-1711096844,17641
-329506997,1666289804,2016794569,-1513465297,-1257551787,17642
-1346401647,1456941865,-1855454502,1379302901,1703937970,17643
1823225409,-566794038,790357275,-699802517,-1714301164,17644
1640207958,-2057860963,1053020465,296276209,-32248285,17645
-1202587830,-2072442789,-9163174,-25114142,-1128762873,17646
938577002,-897559900,895827402,-272845954,918188562,17647
277804193,708981398,-1515541280,-261996973,-1165159686,17648
449311581,188358105,1302707229,530275637,349391045,17649
-2082264873,-1924221046,1646886896,572819910,-286368394,17650
880352770,-1312019313,-1890618066,1142510815,-431345571,17651
-1498486500,-1300027631,1469778258,-776941280,-1367662255,17652
1986520466,1294383182,1127305884,983498617,-667156061,17653
-1303958084,-646055986,78406109,-1095997330,-738594372,17654
2074311766,614783469,603218823,-765614899,-516345111,17655
-362360765,-861886679,-419188585,815689605,-2098343718,17656
1414499414,-1278482517,1465638990,731459324,1272510784,17657
388285726,-688968309,-1716083824,2020258192,17789433,17658
556106899,141667920,-65096725,1374938088,-1484446208,17659
2002666939,1651222900,1080664295,-1566033608,-1797493198,17660
1030948412,-481910624,1257100349,1902236461,1930692762,17661
-282913148,1472057919,-1457099280,308322965,-234526925,17662
-1666202739,-1416015902,-1619599199,1759514047,1172134870,17663
-32652692,-1707703640,-300764580,-928831519,-1434405042,17664
183750855,1799783538,-113702036,1253222352,-14298580,17665
796232791,-916635709,-381115502,987911762,653869438,17666
1139502202,2055949003,1565061822,-957672037,1754370929,17667
196747856,-938633401,-1279044717,-1177788941,-1330656011,17668
1251202046,-2043699230,-486070623,429339660,-1094525155,17669
1422594820,-223408549,1827493663,-14052360,539988400,17670
1956217447,847837574,-2128783481,-1331137459,305296601,17671
-849772701,2087193070,-1277744102,265466949,1363760256,17672
-2075534240,-687021171,1666390428,1654997099,-1784419028,17673
1819850516,1371098892,-553539154,149185460,371907784,17674
-1343624122,-278991826,-1285582533,-1422652852,1723115492,17675
1059627131,1452376272,-154364972,-264055733,-1341484318,17676
177176525,-138258063,1172031909,-1667164503,-712917178,17677
82873317,-1252357067,1182450760,-2039583909,-935516633,17678
-910233141,-1287950090,-2038359899,-328871176,1278411224,17679
-841687637,948721887,-1544996588,1400359007,735772990,17680
-662483163,-441672351,1023565194,-1390038321,-368627059,17681
-70845235,276043727,-1011405666,-1061010298,861990828,17682
2005201521,1483526593,309375417,768475520,815666892,17683
173257523,2046204110,1373096902,82404861,-2055844126,17684
-1550264034,-1545052565,-689254575,732362002,180808910,17685
-578901541,-1228860652,-1145586037,-1568771369,-570454104,17686
-121173890,584009875,-328988118,1553840831,-1021140885,17687
2018992441,-106476551,576617392,-672115147,1808956038,17688
-574619074,979310724,1389499600,-1417362249,-1731368413,17689
-124803394,-1935225289,-2110923611,844797861,581625496,17690
-952483598,1131446617,-1509041099,-783164464,1287647652,17691
1221474030,1671781919,-1208505040,-379736598,-295925994,17692
1656370983,694287829,-249938011,634590347,1774142227,17693
-411340085,783880641,-568903564,664195794,-1328357188,17694
-1013786007,1950575204,-1906259951,-1402792828,603945319,17695
-1436015442,-1729905882,-747427273,862132628,1023020079,17696
-243421113,-1134677434,2000436835,-1067366526,385810769,17697
-496694801,1400148927,386809558,-125907824,1541959309,17698
767970448,-1368508196,-448356048,1789664547,-1358517700,17699
308105692,-627749827,-428416331,-475134689,1333797297,17700
615029984,1506274182,402243960,-1866385858,1615043690,17701
-1007410500,1556942264,-1544928620,1796249887,-1929089478,17702
-1011755959,347999980,-87374979,-2093794775,-507017833,17703
770429650,-1689448084,1954604336,-1562560086,-1119082456,17704
-1147987254,349824419,-2002459325,608400395,-1018828091,17705
1317966338,-155499709,-93427275,-1366463795,1192845903,17706
1672914782,1509698244,1105287331,881637072,-2002402109,17707
-196121804,243937832,-693425604,-1665111851,-1174050458,17708
-1535674810,-1216674783,-1853527507,1904920380,1972385214,17709
-912706932,-1339608156,-114099804,-255982092,-763771076,17710
1523095252,-1774926347,-166906706,-751120035,-2126403325,17711
-1158696698,-1486091743,2065494739,1253027498,1306231124,17712
-1751397399,887751163,1906309623,998021005,-1016224970,17713
1314491961,-289769865,1539283955,-1486397474,807404524,17714
-928234573,42160196,-1492551053,1122783087,-2142104974,17715
-1404259747,-1524508100,-1924395384,-2094337189,767599733,17716
-87364784,-378111652,-2038118751,-1123269457,1461478688,17717
1660939869,1695928465,1538760786,1808842513,-1052552559,17718
1569143440,296197377,1670859067,-251864772,812748770,17719
17534744,271646928,-1773551029,1161502753,-1003678828,17720
-231147480,1003577084,-1066304592,1070940347,-613672306,17721
-1364483657,-190705210,-2053054084,-756298840,1007579982,17722
1231322049,-1552220120,-851640662,-1551374873,-2063869810,17723
1056257834,-572164383,1408265665,-1326791065,53158894,17724
2001480086,-2005276350,520733237,1700903978,-2077236589,17725
1065540018,-367126335,2102391809,-344822647,-2109585936,17726
-1105923280,2007849697,472738729,-1693308390,643014133,17727
-504972390,1748947855,471503207,31027394,-498396160,17728
1764004129,-607480936,-1468908488,-466656973,1386669275,17729
938336933,1324248784,-395492951,-446035346,542344416,17730
-1691305808,582840991,1407871375,-1117265944,526135374,17731
1478936449,1775808552,-600017901,548468666,-1589052590,17732
-564976393,1788957567,-147711938,1528288479,-1100763919,17733
-773684313,-1675058605,-1204238164,1539802827,1557795696,17734
1318128942,-570052928,281020722,-1650611748,464299919,17735
-935643459,1862313776,874025637,1322527382,-1034483623,17736
-679507034,134321430,2049632192,813191607,436739137,17737
1424353915,1183505983,-620195238,-1923008587,-241965120,17738
-1943725519,1084609681,-383420819,-992513341,1278525683,17739
-1432717994,-740099604,-1844092788,-1090755173,920032541,17740
204218876,-1845661215,841193984,-107491858,1327845834,17741
