RE2_FROM,RE2_TO
419047,4412
379028,317
78043,407
373751,332060
284917,50434
292033,292035
292035,292035
219490,3604
280783,6940
98100,201893
201893,98100
292035,292033
93481,1134
220557,23578
182007,4098
292033,292035
43055,43056
32641,81666
158955,404928
327431,67062
421605,385188
170844,43684
234582,214111
158955,404928
155554,677
118513,116633
268545,3369
207711,80101
233663,197322
277329,3369
145501,98100
7801,12159
128270,301843
119704,119705
306029,250519
197061,197061
197061,197061
197061,197061
197061,197061
207711,80101
28951,4936
216365,397128
12891,12810
5123,27484
202648,202648
27682,65644
119705,119704
28390,129924
114693,97446
446759,88
10273,158344
119705,119704
29012,9107
118513,118514
235712,3369
84225,10179
12879,10179
172389,109072
360504,112309
44308,10179
170661,75409
379840,3369
151159,15885
15911,1262
47321,192870
75409,170661
65644,220
18602,140383
41791,12824
26757,1999
137179,27682
98897,96291
178957,31271
64065,6493
285913,228311
285913,228311
6493,64065
67178,96291
96291,67178
276984,303589
303589,276984
5137,18018
106200,5137
262590,59266
144422,32733
35514,72976
42777,1854
48290,1854
17647,26620
391460,3369
158193,158163
93118,7462
453348,190355
267257,3369
132408,19426
1654,174138
117037,43704
380399,3369
197061,197061
279133,302990
106558,67695
50469,50465
379031,220
106558,67695
424641,220
204768,299898
279133,302990
5550,375074
9941,94874
189570,189568
158242,200718
55537,91843
356970,176004
168293,3369
163200,14190
29010,9107
137722,9107
141628,6648
141628,6648
68633,38602
67374,65904
141628,6648
141628,6648
6707,6714
6707,6687
2480,38654
174383,128723
384490,384489
87697,36889
6642,6663
15294,11311
126462,21979
23489,349
199845,9231
148228,9816
67382,13808
53575,121423
176481,115546
91439,26051
136897,10685
94713,185220
148228,148228
210399,349
244984,22137
31651,78718
81181,2174
22339,31653
184880,11876
355932,154580
183946,22339
94713,185220
10816,885
31651,78718
161839,161849
2753,21979
22137,244984
91335,124086
56303,82763
25631,53810
259390,220830
67382,67382
52015,79268
79268,52015
39410,22236
9704,67382
197552,209404
285913,284197
17185,12751
154480,80295
180932,153851
13808,67382
10140,248823
15277,4033
53930,73709
22445,23769
22445,23769
220830,259390
356784,43
212163,677
61705,82266
115074,9191
79611,64620
91242,88
91242,88
111570,88
111189,61125
76835,16220
48385,24070
141619,160038
59177,32534
89803,89802
28067,6929
8410,2243
128580,117319
108224,24033
115054,21979
299554,358243
177145,177149
93751,14577
64355,88
74354,35729
35729,74354
22392,4566
38602,68633
77956,219842
318387,183153
38602,68633
48535,4437
42866,53755
35729,74354
245376,38602
38602,245376
53755,42866
169697,32972
14133,14167
425599,677
324955,324955
324955,324955
174412,145294
119429,67382
151571,182249
22306,87552
183905,171337
294527,216
339274,65904
204307,38602
7695,11588
171136,82974
148228,2071
136778,97579
23866,183897
299189,273865
208100,21979
65317,28676
105731,12751
1609,11588
35837,89807
413692,317
95995,38602
39852,317
35837,89807
125279,317
70013,127360
384721,358243
129505,553
125279,317
125419,212237
74778,26092
221849,221848
12751,105731
166407,122875
127927,204475
380310,12751
139898,127927
196438,3369
433800,317
50796,37582
382933,220
81838,6929
16901,35729
31084,14611
45841,4378
100771,4378
296184,317
159380,7690
14611,31084
33919,4378
154577,6674
131327,162402
4346,114251
66279,145580
22236,174459
68970,20385
156668,22814
63874,24030
216623,13603
299869,26091
216623,13603
350380,26092
150469,150468
9254,6652
50802,381
401625,2166
47270,10247
72479,72087
437035,220
160844,20327
15508,2369
47655,4490
43597,1045
176481,115546
35376,30225
439775,3369
190936,53
281405,27484
155277,18575
29417,41118
329439,174808
11315,14844
11393,11315
279541,88
166686,220
38654,50044
207995,1852
332633,6929
231725,166686
321667,321668
77616,1483
161250,121008
199165,47494
153669,88
87993,189529
162134,370476
221226,221227
410024,413635
107647,2670
8122,16981
138746,54657
35401,8122
254806,13268
292113,307292
723,1103
117636,254581
94158,6232
63983,40190
6081,16981
135186,116576
190748,12751
190748,12751
268063,18575
424314,3369
12751,190748
49179,19604
97755,220
330509,38602
38048,38028
113142,64938
2881,2866
57654,104541
193475,255211
150890,150889
104541,57654
115949,2866
255211,193475
150890,150889
244425,180596
244425,263322
41476,38508
210229,3547
23960,17145
290362,343000
11506,206905
11856,1837
173401,173400
172274,159410
173401,173400
373751,332060
150889,150890
23642,3584
111162,48163
57654,104541
158744,88
299869,89698
37685,38804
104541,57654
358015,191855
3262,43
48556,135607
162789,317
48163,48163
234502,327252
155546,11711
229839,67382
357011,3369
19570,11711
274027,11711
17346,11711
23960,17145
1043,297
162402,131327
137405,11711
34838,11991
162402,131327
131327,162402
23642,3584
162402,131327
209311,403
21132,11711
299869,89698
25771,45566
147366,23423
162402,131327
263119,86172
401899,12665
194662,13603
19604,92274
3320,57031
36093,26072
106734,37976
156339,88
26502,201500
48681,167234
313883,313882
86172,263119
34605,349
90804,349
67382,9704
34678,120719
90804,677
405634,43742
34838,19870
357942,2177
120670,4665
44086,114027
3533,35722
105229,15016
150534,42189
35729,3533
162402,131327
162766,110497
35729,35722
15688,54657
97129,43742
169567,88
79185,69578
35722,16140
162402,131327
242588,844
421931,88
9391,385
64967,71
9217,51472
28261,111852
105473,27682
69578,79185
9391,385
79185,69578
91453,239318
445421,445421
421931,88
6329,18608
31966,105951
15687,14957
17991,23423
22221,3547
202696,162402
177667,279606
140117,88
43925,9025
163166,11711
232023,124257
77822,403
92274,15687
161056,26136
41136,52920
149327,88
14957,92274
89698,110497
42069,4177
235844,220
42069,4665
221526,220
212237,125419
40996,69595
165693,3547
88207,7811
51472,198128
22221,3547
92274,3547
117234,17192
52908,25006
443538,12665
124257,232023
42172,3547
196369,3549
32534,59177
216183,349
448948,677
75857,136599
366762,677
188664,5245
165693,3547
41685,3547
50217,88
104519,15169
171423,171422
15169,104519
26398,98204
404910,220
30105,11711
91170,26398
78160,200738
26398,91170
41679,57150
41685,3547
66378,5500
11991,98204
118544,385
152140,50052
3547,41685
38865,24025
295620,220
3359,477
352201,98204
238308,326002
299869,89698
91170,26398
8391,677
148228,2071
311291,7271
53517,32315
77616,18665
167234,48681
282805,282806
119333,169521
14907,89805
16978,162857
176951,19604
409441,12389
35376,35376
18665,77616
93379,21832
33269,5500
502,511
187924,22455
77616,18665
197899,87319
104536,6072
23422,16067
309994,309995
23422,103416
138614,19153
8291,15556
84112,153606
189189,25600
24832,1289
5843,17540
30478,511
81274,84328
437266,88
322874,220
19604,103451
450036,677
21133,81366
60957,1027
114647,48746
153606,84112
450036,677
211020,26510
189189,25600
75325,284978
81274,84328
152989,31926
406997,677
260304,103447
8855,9021
253090,149786
126272,178262
227257,374
165473,165473
8855,9021
286219,33461
247455,88
450036,677
177881,5792
76605,52920
103447,260304
70491,60739
46217,12281
289042,12281
149566,5626
148228,9816
81274,84328
9036,8855
287639,4378
162402,131327
187832,677
16578,75548
130029,6585
260304,103447
283041,17692
229885,15214
340736,2280
22512,148719
22512,148719
175570,308
345714,9800
164279,133530
86903,9021
3533,3353
59896,42008
28757,3002
55539,2333
283041,137329
79175,220
428626,19604
35376,9021
195528,91899
17939,66273
195528,91899
448817,220
248696,132394
18863,3604
211323,4730
75546,77844
448817,11921
206523,5274
132394,248696
339817,220
109647,92274
49831,26458
186282,19074
97881,97882
109647,341941
109647,341941
26458,49831
19074,186282
190748,12751
132394,84112
186674,107902
333565,220
90168,64993
443538,12665
19246,222395
49207,308
410192,308
143525,64119
274995,136142
210845,303623
13968,3353
138807,79247
203555,308
448817,308
278730,308
137329,143525
13968,3353
384232,88
9217,511
18506,511
86903,9036
36982,511
53964,13820
184106,3353
455330,77395
49138,511
8855,62712
79247,138807
179322,87770
43088,39889
14511,18638
10084,61860
228914,33651
294745,308
335798,333838
179322,87770
264400,6373
42069,64867
335798,333838
338231,88
58334,308
138328,257901
131327,191140
299869,89698
318694,220
141619,69970
8247,713
30153,511
141619,69970
193111,51071
231937,90168
448817,308
202694,3547
2301,713
53920,179828
132406,84112
254345,464
141619,69970
230491,203576
424314,12665
164151,168933
160069,12751
131340,131327
81674,2517
164151,42911
256757,93971
35376,252801
29597,308
35376,252801
260650,1250
293099,50361
242999,677
445837,4730
73394,11255
231725,166686
108668,511
99357,18696
449729,220
341300,88
252236,32445
132399,93502
445655,88
27399,27399
409764,308
59424,129208
214614,135547
331624,16460
187832,3008
184449,238612
50940,5155
23414,3008
27212,98204
302648,302647
215778,17538
448817,88
162684,144971
448817,88
162684,144971
97882,97881
48746,114647
171853,302648
302647,171853
443042,220
137329,15732
55537,91843
196300,88
454397,677
193111,86805
451309,5245
26509,253910
50938,26072
204658,26486
196393,1526
189574,172668
225633,41299
103313,158865
29467,7288
298234,323526
173398,3369
193111,86805
397030,263076
57136,14615
422195,88
41281,6924
3547,202694
355252,326932
3547,349171
195861,80864
70869,292281
27983,27723
59314,31740
102459,19913
27917,43914
236416,285474
359723,359723
33642,33648
84000,153824
423163,88
9099,18550
37162,63143
219792,427600
171457,171458
185616,465
61817,27917
185616,465
37162,79687
95306,31201
217514,28514
63143,37162
364175,16313
219287,266721
63143,262279
13937,562
75095,88
53285,33849
331966,331965
69883,14611
273610,6958
409555,88
53117,53116
200004,141035
83829,5226
102502,5226
242935,69883
35738,14570
165626,165626
14588,57105
27730,34278
3120,36829
63373,31541
54319,103114
24637,289883
211011,11711
158086,158075
135259,82000
53944,13820
20971,53285
116966,13821
86898,61883
63373,31541
44446,60035
277656,99796
20971,53285
269088,269085
142168,91642
316617,16460
125857,1988
21184,2480
269085,269088
183504,2071
393920,393919
380925,55955
697,505
83384,222869
128424,61136
340776,340777
72349,1665
71167,48096
318316,82049
48096,71167
63816,72349
39124,16528
263239,677
418589,27723
1665,63816
79185,13923
114314,121820
117190,49012
202382,77726
241562,188802
340545,133284
269085,269088
212221,208585
152329,7653
27723,418589
126892,19
82150,130183
52941,52908
279845,20971
433942,88
20971,279845
277656,99796
79156,79168
121586,5226
419141,11546
52908,52941
126272,113367
31709,20971
59424,98867
20971,31709
92599,29988
145237,677
79194,79156
116438,217514
225633,41299
12468,23713
63765,90990
10385,550
77555,9021
4381,6882
60035,44446
12468,23713
414313,3369
185397,364689
9398,12751
155513,3810
57769,219410
204768,299898
89381,89380
361904,3369
151450,105244
20971,279847
83384,222869
31084,99982
137329,165843
441379,220
69648,254710
4490,47655
79156,51385
166720,6660
241645,7690
183592,169560
376941,245223
177572,68285
228,233
31026,89199
58068,14615
79783,12281
189861,60739
144474,144476
245223,376941
104208,69902
376941,245223
20971,61524
144997,16856
14721,13820
168586,92243
83640,374
232010,232002
27723,550
91843,55537
127399,106316
87349,12281
159000,69476
115393,112185
298959,355641
20971,30831
50940,113779
12751,9398
304175,140180
97635,83921
76630,76637
140180,304175
285647,220
164338,164339
15741,1665
120339,185454
282910,12281
128927,114673
204768,299898
107383,12281
118147,60021
255706,3369
104770,91430
64833,44086
181756,45082
340343,61508
101304,101304
217719,220
347353,1988
8855,8604
32037,90830
51364,66371
263076,397030
44086,64833
5753,147396
14167,14173
69883,242935
6940,511
124546,1999
69883,242935
81181,81183
40245,8283
211600,1999
1902,308
25733,143844
140644,2565
149046,91430
102956,101952
113779,50940
75121,15799
245297,227211
9792,54275
215662,348898
228000,1999
61508,62232
211011,51205
438096,3369
35383,15483
5537,94713
22446,349
18065,1988
37384,25180
94713,5537
288300,200085
82658,349
217514,198337
172966,349
416019,416017
322141,26486
140644,2565
216048,144478
448817,11921
287480,3369
21267,30091
12751,6940
36158,36157
51071,35731
2563,2569
428368,11792
112617,30831
140081,198896
177117,177120
114377,349
400292,46715
79185,70276
247011,3979
228184,228183
228183,228184
228182,228183
279690,227447
89377,89380
151707,104500
62618,1665
147524,91430
53822,91430
172469,1999
279690,227447
288343,74224
214444,213089
62618,1665
279690,227447
195552,3369
177881,132586
29131,46715
26944,15954
177881,132586
44682,8296
62733,20971
177881,132586
32037,90830
8374,10691
177881,132586
177376,60465
12281,158326
177881,132586
57982,238716
52940,349
8374,42182
105562,60465
184334,1999
409720,43742
308479,59612
177517,8296
43867,46535
1593,120908
246415,120908
242935,69883
45755,12281
336883,120908
177376,60465
40474,32948
68308,68308
303623,210845
101238,37162
96536,12281
433986,677
62733,20971
64327,34971
151609,18511
214161,90039
82322,119326
60465,298306
364474,364474
253243,88
425002,220
282620,324997
51230,21485
109036,173700
399538,46715
287185,4730
20971,62733
193293,88
65993,181941
270530,3369
242935,69883
453890,88
20971,279848
234388,1988
99879,30374
161580,14809
90325,6940
248852,344341
40744,43310
277157,387
108568,108573
78114,43848
97635,83921
26289,323
5155,323
368249,378054
355678,355681
4490,47655
355678,355681
344341,248852
291027,78114
222484,89043
378352,88
76365,6940
505,697
88095,323
390300,5245
43848,78114
222484,89043
291027,78114
88095,323
222484,89043
56426,6940
6072,21184
78114,291027
329679,220
16460,402886
391750,387
291027,78114
269032,120908
306213,220
402026,402028
157043,37964
112699,106316
222755,35652
53962,15489
441706,120908
55664,26455
376144,376146
215276,9798
13235,43347
66371,51364
181755,5989
66371,51364
20971,79100
200595,92293
30311,5989
231957,252658
314236,14611
69970,141624
314236,14611
79100,20971
62733,20971
48485,5948
283825,90718
175065,2014
178145,88
231957,252658
153249,31887
138860,138860
310872,310870
29209,11840
317578,211323
210229,13820
90718,283825
175065,677
90718,283825
45853,20848
120398,317
90718,283825
9021,10817
90718,283825
156398,122016
224777,357757
10817,9021
416588,2014
395223,206
228123,98204
15294,14829
48455,5948
228724,228723
142478,2014
330510,330509
90718,283825
46530,224959
52293,32118
253982,1988
13754,88
144476,144474
13754,88
366904,7215
144476,144474
221874,19
26398,80087
409238,3369
76309,70757
70757,76309
407144,14611
97501,54218
25088,2014
108123,220
382746,220
165,18602
15483,35383
173400,18097
54218,97501
78133,93529
130246,265566
769,220
69788,73034
363156,450850
190181,52354
66644,110903
244407,88
115920,47397
449725,3235
244407,88
136608,290644
330698,292660
330698,292660
51449,6612
171828,81614
179322,87770
65305,33648
6940,56023
169315,151688
191533,59
138766,59025
64180,16549
447934,2177
369187,387
60966,26239
67190,31903
26486,322141
341941,109647
143548,69648
139941,139942
455413,88
4665,176528
394411,394845
425629,7690
142856,91430
77778,377461
70275,2169
143548,69648
302393,302395
269149,220
340365,7639
302393,302395
143548,69648
207711,80101
418902,362260
2294,2320
159066,9986
113705,39581
314541,6971
111105,129456
6150,1852
357734,308
298853,298854
129456,111105
197061,197061
140383,165
329679,42324
318488,265704
61075,88
8460,327
342537,277615
62334,232443
272319,179809
70275,511
30355,98982
39948,327
17538,254780
93751,78
179809,272319
307940,146283
371841,3300
56203,60662
9021,8740
158082,158075
259237,3547
5143,75598
79457,141049
40957,220
124076,34605
109994,92274
141049,79457
409455,3369
165429,16460
96202,5143
8454,30355
18602,165
130151,321035
420244,54207
3347,15120
163156,67910
450176,450175
69597,231601
63652,46715
305946,305945
231601,69597
167376,139524
168572,171020
69597,231601
139524,167376
445661,46715
93751,2671
178265,171020
94436,8
89341,5500
167376,139524
167376,139524
164167,80900
298257,220
69340,111029
80900,164167
31887,153249
54242,26031
180459,56968
111029,69340
445661,46715
126272,2687
114230,114207
138522,161057
424350,3369
69340,111029
389,12824
139524,167376
72639,5500
