P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT
35,403016042,769378664,323945030,535706930,14,881407782,93503,466063937
36,53635152,358198320,149312461,57114535,3,1065123627,93603,601738542
37,1046338571,769378664,600616823,235794965,48,969584240,93703,767763964
38,970845133,769378664,323945030,448959962,11,1073378685,93803,295525661
39,695066165,572414757,1017314817,888362333,43,862246538,93903,462507655
40,966180493,358198320,149312461,1050502102,27,685251842,94004,344423739
41,703396054,358198320,835727822,741356596,7,990172696,94104,468340567
42,683184763,572414757,941774389,217336653,45,58170374,94204,858792128
43,657177096,769378664,136548634,145327273,5,157931518,94304,482760473
44,298980683,769378664,600616823,458807834,48,135724418,94404,737958861
45,46787591,769378664,323945030,763732228,9,275045273,94504,897147804
46,706779707,119630363,100627142,346507224,45,157931518,94604,843130251
47,869098102,769378664,600616823,651423291,14,881407782,94704,806839865
48,1014657095,572414757,1017314817,376126556,27,414053841,94804,373948739
49,104850864,358198320,533813379,721449059,31,661352075,94904,1061358535
50,622678982,636734202,461996362,917505307,25,841823385,95005,618177416
51,989098779,769378664,600616823,169105916,34,881407782,95105,557176065
52,1062782975,636734202,912325741,1015815959,25,157931518,95205,82953439
53,766205912,358198320,835727822,169105916,32,778442747,95305,532559622
54,718361134,358198320,92998158,454390549,19,157931518,95405,621426579
55,1033166729,358198320,835727822,908313182,9,778442747,95505,294232108
56,966773182,119630363,805174136,361008659,20,110255164,95605,514149486
57,666186119,636734202,92540590,773509879,49,537974151,95705,556462397
58,380547794,572414757,1017314817,346507224,44,376446406,95805,179086280
59,316993899,572414757,1017314817,711216073,2,439432863,95905,1007862368
60,899789265,119630363,100627142,513079986,27,414053841,96006,736975196
61,592050150,572414757,606029594,568963210,18,110255164,96106,1058341675
62,507705161,636734202,912325741,90946057,39,969584240,96206,150633864
63,862105307,636734202,92540590,580013018,10,1065123627,96306,1014849304
64,4362356,358198320,92998158,535706930,1,1065123627,96406,552003942
65,574043975,572414757,1017314817,525949287,3,128251339,96506,669356091
66,244492405,636734202,912325741,438953653,46,685251842,96606,424857292
67,1023291104,358198320,92998158,1037151810,31,110255164,96706,938111473
68,922026661,119630363,100627142,837770402,10,633393698,96806,1037492364
69,139087832,572414757,941774389,921540355,2,538046931,96906,392706770
70,22172411,119630363,100627142,376126556,42,376446406,97007,742633998
71,126005339,636734202,461996362,61542427,26,110255164,97107,942123952
72,272646535,358198320,835727822,699898675,25,881407782,97207,943328220
73,44081997,358198320,92998158,6071928,35,110255164,97307,467936068
74,965834411,572414757,474336000,448959962,25,414053841,97407,134984289
75,295839207,636734202,912325741,568963210,39,1073378685,97507,856007824
76,1038055771,636734202,645096753,525949287,9,358456330,97607,499745078
77,688227175,572414757,941774389,743324822,13,537974151,97707,500382765
78,529910270,119630363,87904542,626184819,24,912561269,97807,1031484992
79,661055314,769378664,600616823,676027218,22,914094596,97907,360583070
80,488764984,769378664,136548634,592282916,28,128251339,98008,1055530218
81,666674662,572414757,1017314817,886566218,21,778442747,98108,983542495
82,839725726,119630363,724565089,47982338,12,633393698,98208,631718318
83,357892527,119630363,805174136,361625467,47,476280133,98308,267254249
84,145794983,769378664,600616823,602193411,26,881407782,98408,928906224
85,670026467,572414757,474336000,438953653,16,439432863,98508,767763964
86,934979169,769378664,136548634,70352832,37,933592180,98608,229021517
87,378054583,769378664,445865090,794589534,41,793473108,98708,1020813924
88,313506867,769378664,136548634,240866317,16,685251842,98808,423278257
89,65407221,572414757,1017314817,816586290,7,722772889,98908,870235649
90,321934862,572414757,303571634,626184819,49,1065123627,99009,926598350
91,152086538,358198320,92998158,164223055,32,478264760,99109,289340756
92,1064267566,358198320,204013689,699898675,35,478264760,99209,870884981
93,167550403,358198320,533813379,917505307,2,110255164,99309,752196044
94,854621756,636734202,912325741,673944718,32,538046931,99409,469861338
95,1060528753,636734202,461996362,444697879,36,110255164,99509,745833257
96,704667772,572414757,1017314817,376126556,32,685251842,99609,14495753
97,86017897,636734202,461996362,921540355,49,330741533,99709,593496104
98,719022389,572414757,606029594,481146443,22,722772889,99809,884823639
99,585375707,358198320,92998158,967436704,11,478264760,99909,104431717
100,951251505,636734202,461996362,741356596,4,439432863,100010,847512124
101,694214883,636734202,92540590,856766955,26,862246538,100110,5076515
102,741318197,636734202,930522560,773509879,17,522444752,100210,532190141
103,308157625,358198320,149312461,491245267,45,110255164,100310,217248844
104,525039728,119630363,874250391,145719540,36,914094596,100410,172307976
105,488572474,119630363,724565089,746289111,27,244966167,100510,760781945
106,241018237,636734202,930522560,491245267,28,110255164,100610,185123723
107,77633134,572414757,1017314817,721449059,12,698851713,100710,717194492
108,1025248710,119630363,805174136,438615957,41,537974151,100810,885463693
109,16461894,636734202,461996362,47982338,11,376446406,100910,837289919
110,153401619,636734202,461996362,1055765761,46,244966167,101011,824341019
111,570160959,572414757,606029594,67819486,28,862246538,101111,726626734
112,449835147,769378664,323945030,498021420,42,1065123627,101211,885951661
113,146250680,636734202,930522560,138684891,23,951436719,101311,746393802
114,792441503,572414757,303571634,1039792716,41,150861774,101411,290518257
115,775107196,769378664,600616823,619639013,24,128251339,101511,298222436
116,62205468,572414757,1017314817,271753333,33,135724418,101611,298430814
117,439641042,119630363,87904542,1037151810,25,439432863,101711,926962481
118,675206225,358198320,149312461,565302581,31,150861774,101811,698772295
119,487030919,769378664,323945030,384902664,30,157931518,101911,1000440509
120,270746906,119630363,87904542,602193411,45,990172696,102012,583680001
121,77856106,119630363,87904542,908313182,13,358456330,102112,394994632
122,218286727,358198320,92998158,852051094,8,244966167,102212,479928225
123,203195672,119630363,805174136,721449059,31,478264760,102312,602446650
124,810003055,636734202,92540590,837770402,1,58170374,102411,209864198
125,833502442,119630363,805174136,90946057,17,275045273,102511,443389082
126,49296640,769378664,600616823,884593886,4,439432863,102611,377243789
127,303525504,572414757,941774389,568963210,14,912561269,102711,889968323
128,1048658084,358198320,204013689,154724362,5,950309306,102811,80392151
129,929215624,119630363,724565089,235794965,20,1073378685,102911,164154012
130,970364369,358198320,835727822,114745743,26,58170374,103013,436467544
131,332088380,572414757,941774389,481146443,43,661352075,103113,91886956
132,115969157,769378664,600616823,418834743,2,110255164,103213,579425040
133,159590722,119630363,874250391,763732228,19,132859125,103313,745833257
134,716635760,769378664,907834889,518605273,35,358456330,103413,633242744
135,722097412,358198320,92998158,311261128,24,414053841,103513,886770411
136,254329194,358198320,204013689,120107870,2,275045273,103613,254242266
137,286894029,636734202,930522560,35270045,25,150861774,103713,427258411
138,927225691,119630363,874250391,1050502102,42,857897645,103813,720986795
139,706439802,636734202,92540590,724890420,7,538046931,103913,210866289
140,902789692,572414757,1017314817,658772357,45,538046931,104014,823516584
141,434230764,636734202,912325741,299338386,23,358456330,104114,94740041
142,57836387,572414757,474336000,481146443,36,722772889,104214,159115613
143,758820900,636734202,645096753,16209127,44,778442747,104314,57723420
144,568042991,119630363,87904542,327822938,26,538046931,104414,452586454
145,178372771,572414757,1017314817,130450140,24,950309306,104514,341939967
146,30388751,636734202,645096753,743324822,11,793473108,104614,13980833
147,484905554,119630363,100627142,857999317,29,478264760,104714,164750435
148,113349063,636734202,930522560,658772357,20,538046931,104814,957624828
149,697733212,358198320,533813379,454651936,6,537974151,104914,910717011
150,354929248,636734202,912325741,444697879,21,950309306,105015,194197359
151,464540134,636734202,645096753,725491806,45,128251339,105115,513245478
152,1068529210,572414757,1017314817,983763394,48,442629192,105215,752330221
153,85719756,119630363,100627142,70352832,20,778442747,105315,127866162
154,911311984,119630363,100627142,741356596,1,914094596,105415,633046464
155,257252230,358198320,92998158,763732228,28,157931518,105515,629324968
156,505355801,769378664,323945030,714209204,2,132859125,105615,846907795
157,315221329,119630363,100627142,958677645,26,881407782,105715,137020443
158,245910191,769378664,600616823,436355334,47,912561269,105815,567521567
159,701165297,769378664,323945030,773719241,46,950309306,105915,247364740
160,136487480,572414757,474336000,253772148,47,1065123627,106016,755190966
161,297437855,358198320,204013689,70352832,17,135724418,106116,392797038
162,453057105,636734202,461996362,487409015,35,881407782,106216,893678580
163,483389172,358198320,92998158,16209127,34,110255164,106316,954615340
164,896983860,358198320,835727822,725491806,35,914094596,106416,306172004
165,962232332,119630363,724565089,658772357,24,476280133,106516,973277069
166,35735621,572414757,941774389,513079986,4,778442747,106616,347251351
167,637748296,636734202,92540590,856766955,46,633393698,106716,949661327
168,617811790,119630363,874250391,6071928,20,857897645,106816,757330576
169,343339192,572414757,474336000,673944718,10,414053841,106916,620136076
170,1012265776,636734202,461996362,513079986,28,244966167,107017,706128345
171,334470337,119630363,100627142,1055765761,40,912561269,107117,727674733
172,70148126,572414757,1017314817,438615957,28,442629192,107217,758883846
173,921126439,119630363,805174136,711889679,17,933592180,107317,533087559
174,362563736,119630363,724565089,908313182,25,933592180,107417,295963190
175,541133309,119630363,100627142,565302581,45,862246538,107517,615632130
176,591712145,358198320,533813379,470953656,40,128251339,107617,830698109
177,554298299,358198320,92998158,724890420,42,439432863,107717,1071625745
178,238536531,119630363,874250391,346507224,10,912561269,107817,593197909
179,701543198,769378664,323945030,147979726,20,912561269,107917,125017973
180,795694579,636734202,461996362,580013018,7,275045273,108018,417976896
181,277682663,358198320,533813379,361008659,19,330741533,108118,977849009
182,612677291,636734202,930522560,487409015,11,1065123627,108218,653270402
183,830759144,572414757,941774389,145327273,35,132859125,108318,772524077
184,514074826,572414757,1017314817,888362333,42,58170374,108418,748632318
185,840805080,769378664,136548634,47982338,4,275045273,108518,888660919
186,516336464,358198320,835727822,886566218,15,478264760,108618,652870879
187,423110028,769378664,600616823,676027218,45,128251339,108718,969257138
188,1042675439,572414757,606029594,448959962,9,128251339,108818,978557855
189,547742798,358198320,204013689,703164306,13,110255164,108918,903401268
190,207432970,572414757,1017314817,176313533,23,275045273,109019,146146017
191,770869374,636734202,930522560,921540355,36,633393698,109119,24309514
192,370127924,636734202,645096753,743324822,17,778442747,109219,718225729
193,27563124,769378664,600616823,1050489664,31,358456330,109319,553563271
194,205239242,572414757,303571634,626184819,7,476280133,109419,860898171
195,18942457,769378664,445865090,745479360,40,442629192,109519,439235722
196,480983251,636734202,461996362,568963210,3,862246538,109619,595567308
197,654692631,572414757,941774389,694894798,18,1073378685,109719,563158564
198,851920748,769378664,445865090,454716506,43,135724418,109819,187262581
199,337151207,636734202,930522560,35270045,23,857897645,109919,487027921
200,211058272,572414757,606029594,921540355,22,132859125,110020,1008196750
201,270601363,769378664,907834889,518605273,18,914094596,110120,1032808045
202,506341925,769378664,600616823,525949287,49,661352075,110220,634181952
203,3566095,572414757,474336000,299338386,42,778442747,110320,253194459
204,482748,572414757,606029594,454390549,22,1073378685,110420,542226316
205,250114828,572414757,606029594,541259438,2,857897645,110520,487856473
206,511558299,358198320,149312461,734914638,23,1065123627,110620,778240016
207,900209927,636734202,912325741,78432743,48,128251339,110720,233445180
208,301720131,636734202,912325741,980796360,5,150861774,110820,571230219
209,667532679,119630363,100627142,35270045,6,128251339,110920,1049937930
210,908257837,636734202,92540590,711889679,5,912561269,111021,483899311
211,595929793,636734202,92540590,421194723,43,132859125,111121,107790682
212,393385865,572414757,1017314817,189529079,42,969584240,111221,19817516
213,816543215,636734202,912325741,746289111,14,330741533,111321,230116597
214,607985351,769378664,445865090,592282916,30,439432863,111421,46843934
215,675859119,572414757,941774389,169105916,19,135724418,111521,889210795
216,447780461,769378664,600616823,973625706,35,722772889,111621,801812633
217,699239796,572414757,941774389,240866317,44,661352075,111721,400899926
218,146925296,769378664,445865090,314681012,24,793473108,111821,203693938
219,746074176,769378664,600616823,676027218,31,722772889,111921,1022868405
220,116205342,119630363,87904542,189529079,25,442629192,112022,713902811
221,53474838,572414757,303571634,130450140,7,244966167,112122,186212646
222,525162364,636734202,461996362,211230296,35,933592180,112222,730600650
223,315433277,636734202,461996362,856766955,29,778442747,112322,738553757
224,97948060,119630363,874250391,477013090,46,633393698,112422,282375787
225,187670654,769378664,600616823,886566218,23,442629192,112522,460977977
226,800337260,636734202,461996362,837770402,7,358456330,112622,415680853
227,144847908,769378664,136548634,1037151810,21,376446406,112722,675178141
228,251418391,769378664,136548634,35270045,12,522444752,112822,907366447
229,667313952,119630363,724565089,518605273,19,128251339,112922,196100433
230,785808166,572414757,303571634,658772357,20,358456330,113023,940916760
231,137292317,572414757,303571634,436355334,17,150861774,113123,819400230
232,829393187,572414757,1017314817,176313533,50,358456330,113223,334779162
233,769925835,636734202,645096753,535706930,25,135724418,113323,775708131
234,212149817,119630363,874250391,421194723,26,633393698,113423,494667620
235,95477268,636734202,92540590,908313182,4,722772889,113523,263820386
236,692528560,572414757,474336000,958677645,31,912561269,113623,734760472
237,703604577,358198320,149312461,1039281776,49,522444752,113723,974383466
238,1041695373,636734202,645096753,888362333,35,951436719,113823,132766875
239,1030516106,358198320,533813379,262774092,36,110255164,113923,274459239
240,667268392,636734202,92540590,454651936,1,951436719,114024,728713863
241,4455451,572414757,303571634,743324822,3,157931518,114124,34719755
242,559331138,636734202,912325741,518605273,42,439432863,114224,25827760
243,631391531,636734202,92540590,145719540,49,538046931,114324,285684215
244,523079635,572414757,303571634,1050489664,48,58170374,114424,1018113796
245,208170345,358198320,835727822,409851523,39,478264760,114524,485705970
246,629802090,358198320,92998158,189529079,18,476280133,114624,362849323
247,450977930,572414757,1017314817,651423291,4,881407782,114724,190030982
248,545495914,119630363,724565089,933659093,8,150861774,114824,675715093
249,884075339,769378664,136548634,1050489664,15,912561269,114924,341313016
250,271674756,769378664,136548634,271753333,35,157931518,115025,930368057
251,600847300,119630363,724565089,745479360,41,330741533,115125,70225037
252,508543998,119630363,100627142,438615957,22,110255164,115225,111644880
253,866857330,769378664,600616823,565302581,16,132859125,115325,941298659
254,264852172,769378664,136548634,458807834,10,722772889,115425,383615802
255,801885278,358198320,92998158,734914638,24,1065123627,115525,165945479
256,456914775,636734202,92540590,1039281776,2,522444752,115625,470082799
257,476564212,769378664,445865090,568793734,11,1073378685,115725,283057464
258,90552299,769378664,323945030,574905389,18,110255164,115825,1012052660
259,416408806,358198320,835727822,188881828,41,793473108,115925,468459580
260,610087950,572414757,474336000,299338386,10,439432863,116026,545915097
261,898805128,769378664,445865090,346507224,44,881407782,116126,172305620
262,209303987,572414757,941774389,973625706,16,914094596,116226,452715272
263,145569506,119630363,87904542,1050502102,46,442629192,116326,855039125
264,162479368,119630363,87904542,721449059,23,476280133,116426,1038317923
265,1015000941,769378664,323945030,518605273,19,157931518,116526,547620510
266,69818454,769378664,323945030,147979726,25,244966167,116626,530665778
267,201782041,358198320,533813379,749720854,41,881407782,116726,557436621
268,160113565,358198320,204013689,973625706,8,722772889,116826,303224605
269,401204474,119630363,874250391,725491806,5,633393698,116926,421289543
270,617595801,358198320,149312461,875838945,45,778442747,117027,652769798
271,1013279114,572414757,941774389,240866317,32,537974151,117127,1037298540
272,36277071,572414757,941774389,749720854,39,132859125,117227,461397314
273,355845863,358198320,149312461,90946057,50,58170374,117327,809533269
274,716956199,358198320,835727822,983763394,46,912561269,117427,923899271
275,31823313,769378664,600616823,651423291,37,538046931,117527,464362419
276,74687094,358198320,149312461,6071928,5,912561269,117627,756160517
277,934609855,769378664,323945030,251067217,49,862246538,117727,433898612
278,368684017,769378664,907834889,580013018,49,1073378685,117827,812855918
279,904193802,636734202,912325741,773719241,27,442629192,117927,718493124
280,836217402,358198320,92998158,816586290,33,951436719,118028,80211198
281,909458087,119630363,805174136,120107870,7,128251339,118128,628210681
282,737794039,119630363,100627142,6071928,44,330741533,118228,683002868
283,509156213,119630363,805174136,128219234,8,522444752,118328,211489322
284,110846587,572414757,303571634,568793734,9,661352075,118428,790208769
285,407154647,358198320,149312461,917505307,42,135724418,118528,867233102
286,562743596,572414757,1017314817,711216073,1,157931518,118628,315398026
287,246453650,119630363,724565089,114745743,27,522444752,118728,480574026
288,960163233,358198320,835727822,418834743,31,685251842,118828,1072164851
289,603331052,769378664,323945030,138684891,40,933592180,118928,36609814
290,443696902,119630363,805174136,651423291,19,862246538,119029,1062503693
291,746681330,572414757,606029594,199004570,26,1073378685,119129,75256721
292,82874189,119630363,805174136,114745743,2,128251339,119229,1037565444
293,918578976,572414757,941774389,619639013,24,135724418,119329,566659385
294,196040821,358198320,533813379,47982338,35,1073378685,119429,266916009
295,379783475,358198320,149312461,454651936,49,862246538,119529,775708131
296,813713848,119630363,874250391,651423291,28,358456330,119629,644247981
297,791221089,358198320,204013689,466715267,23,376446406,119729,209556114
298,567073501,769378664,600616823,130450140,13,1065123627,119829,248405645
299,1021198577,769378664,445865090,574905389,26,841823385,119929,193259335
300,1033873549,769378664,136548634,676027218,1,793473108,120030,890760493
301,341384320,769378664,907834889,147979726,6,330741533,120130,304408119
302,719794431,769378664,445865090,243251345,34,950309306,120230,378790167
303,608699396,769378664,600616823,199004570,7,414053841,120330,524263840
304,877531699,769378664,323945030,714209204,12,244966167,120430,107001962
305,154730100,119630363,724565089,327822938,6,950309306,120530,347428187
306,519295623,636734202,461996362,568963210,25,132859125,120630,483616919
307,723542815,358198320,92998158,651423291,30,110255164,120730,923938749
308,666520641,358198320,92998158,418834743,40,990172696,120830,537394184
309,842378192,769378664,907834889,734914638,49,478264760,120930,164154237
310,636641666,119630363,87904542,426551212,32,722772889,121031,802866872
311,1056801465,769378664,136548634,458807834,18,244966167,121131,799335477
312,667032293,636734202,92540590,1002109111,29,442629192,121231,1061378207
313,829476243,636734202,645096753,116158500,13,793473108,121331,824518980
314,853854715,636734202,912325741,658772357,14,244966167,121431,696054100
315,767771381,358198320,835727822,211230296,20,912561269,121531,629940229
316,879724886,769378664,445865090,100881916,9,442629192,121631,234636256
317,710369511,119630363,724565089,384902664,34,969584240,121731,971977587
318,582092693,119630363,805174136,361625467,20,414053841,121831,892966925
319,230178197,636734202,930522560,217336653,44,58170374,121931,368377269
320,409736524,572414757,1017314817,856766955,26,110255164,122032,572056041
321,1051712,572414757,303571634,958677645,9,1073378685,122132,797044915
322,365116379,636734202,912325741,658772357,32,414053841,122232,1046075064
323,417914094,769378664,445865090,703164306,15,442629192,122332,874738002
324,907130304,358198320,149312461,128219234,36,950309306,122432,637683378
325,513216072,119630363,724565089,980796360,22,150861774,122532,296198824
326,690628232,636734202,645096753,856766955,48,1065123627,122632,333323380
327,934557768,358198320,835727822,243251345,14,135724418,122732,267856385
328,203868613,636734202,645096753,58654230,24,414053841,122832,546283474
329,170235052,636734202,930522560,421194723,21,132859125,122932,394265026
330,684972726,636734202,912325741,980796360,18,912561269,123033,641557090
331,479882334,358198320,149312461,57114535,15,990172696,123133,103259432
332,1028673959,358198320,533813379,90946057,14,476280133,123233,788414537
333,812557498,358198320,92998158,568793734,1,244966167,123333,1032304956
334,198588694,636734202,930522560,199004570,32,912561269,123433,795682204
335,927478516,636734202,92540590,6071928,3,1073378685,123533,904276756
336,869339457,358198320,149312461,565302581,3,990172696,123633,28913626
337,242194121,358198320,835727822,525949287,29,661352075,123733,56799991
338,810911470,119630363,87904542,734914638,26,862246538,123833,134497164
339,1003833608,358198320,835727822,875838945,14,376446406,123933,686551976
340,190126414,358198320,835727822,164223055,3,969584240,124033,979096338
341,225360087,769378664,600616823,58654230,34,537974151,124133,898968547
342,272481899,769378664,323945030,176313533,37,1065123627,124233,146858576
343,716810536,636734202,912325741,438953653,7,1073378685,124333,795913196
344,526353880,769378664,600616823,917505307,39,538046931,124433,173517753
345,156070495,769378664,600616823,169105916,22,951436719,124533,890530593
346,1065835871,572414757,303571634,908313182,8,132859125,124633,281810
347,847219954,636734202,645096753,327822938,28,275045273,124733,87862040
348,823143983,572414757,1017314817,983763394,16,633393698,124833,839719477
349,266180939,358198320,533813379,169105916,12,722772889,124933,529426143
350,703523077,636734202,92540590,649360893,25,330741533,125034,6646990
351,851439621,636734202,92540590,70352832,48,330741533,125134,777196000
352,301723180,769378664,907834889,773509879,44,1065123627,125234,858808679
353,795437711,636734202,645096753,314681012,43,990172696,125334,454411908
354,466534501,769378664,907834889,1002109111,38,951436719,125434,56625008
355,997826188,572414757,941774389,431513001,16,862246538,125534,612028125
356,433340797,119630363,87904542,745479360,46,275045273,125634,560035759
357,841378437,769378664,907834889,78432743,19,522444752,125734,400009899
358,87764212,358198320,533813379,673944718,39,881407782,125834,837100013
359,756472159,636734202,912325741,592282916,19,244966167,125934,973236002
360,1011237135,636734202,912325741,746289111,14,633393698,126035,372501762
361,344259653,572414757,941774389,694894798,42,110255164,126135,1067029067
362,469484510,119630363,874250391,568793734,9,914094596,126235,393458157
363,634470089,358198320,204013689,535706930,16,990172696,126335,798541348
364,696852273,769378664,323945030,894497667,21,537974151,126435,1038647754
365,152813885,636734202,930522560,518605273,8,951436719,126535,1022331252
366,803047709,572414757,1017314817,275404538,46,110255164,126635,13980833
367,958385931,358198320,835727822,61542427,2,881407782,126735,604924084
368,887110281,572414757,941774389,886566218,8,135724418,126835,462268311
369,1024432145,358198320,92998158,775829305,11,538046931,126935,71526855
370,819027622,572414757,941774389,67819486,46,969584240,127036,871291114
371,767373855,769378664,600616823,91948629,27,778442747,127136,632813852
372,945451063,636734202,92540590,856766955,35,951436719,127236,884027067
373,580789386,572414757,1017314817,70352832,37,881407782,127336,685501898
374,355563129,119630363,100627142,794589534,18,698851713,127436,598377471
375,683780201,119630363,724565089,775829305,16,862246538,127536,461066183
376,115188919,769378664,136548634,724890420,44,358456330,127636,225942563
377,375214102,769378664,136548634,1055765761,16,633393698,127736,980845915
378,1060935284,636734202,92540590,1067412090,45,881407782,127836,53715679
379,777648593,636734202,461996362,626184819,5,685251842,127936,447229314
380,658984966,769378664,445865090,444697879,6,857897645,128038,526449054
381,580949899,572414757,1017314817,91948629,37,933592180,128138,533969984
382,973671468,769378664,445865090,749720854,4,476280133,128238,345976123
383,760897944,358198320,835727822,6071928,45,135724418,128338,794531814
384,768159742,769378664,323945030,1015815959,2,330741533,128438,239102646
385,382486847,119630363,805174136,70352832,41,990172696,128538,167181651
386,106088360,119630363,874250391,658772357,4,538046931,128638,541940253
387,82912376,636734202,645096753,67819486,23,157931518,128738,190991197
388,814960995,119630363,100627142,619639013,20,132859125,128838,329918683
389,917135224,119630363,100627142,116158500,16,537974151,128938,900160742
390,585201491,572414757,606029594,694894798,24,661352075,129039,414005523
391,53901445,769378664,445865090,120107870,18,376446406,129139,844551407
392,1030515703,769378664,907834889,525949287,21,538046931,129239,434350499
393,371222659,636734202,645096753,888267572,36,1065123627,129339,952213120
394,716112805,119630363,100627142,983763394,33,722772889,129439,620273189
395,85205573,636734202,92540590,773509879,9,58170374,129539,548394132
396,581087503,636734202,912325741,57114535,37,685251842,129639,261158862
397,169295702,119630363,724565089,91322759,3,862246538,129739,113030600
398,142890961,636734202,92540590,884593886,32,522444752,129839,570420705
399,15356525,358198320,92998158,766427479,37,275045273,129939,810759382
400,22477874,358198320,92998158,500347223,32,538046931,130040,249157591
401,218069239,358198320,92998158,626184819,10,358456330,130140,808820582
402,899016091,769378664,600616823,211230296,16,135724418,130240,776995298
403,588275569,769378664,600616823,311261128,19,857897645,130340,470325259
404,230256606,769378664,445865090,649360893,9,685251842,130440,391501423
405,835575220,636734202,645096753,90946057,17,990172696,130540,443257362
406,535000447,358198320,92998158,658772357,43,862246538,130640,765222087
407,149157188,572414757,1017314817,894497667,39,1073378685,130740,196859553
408,248008977,358198320,533813379,145327273,4,537974151,130840,463472253
409,123877000,769378664,136548634,114745743,40,442629192,130940,982358419
410,690638404,358198320,149312461,888267572,36,969584240,131041,136852847
411,778929192,119630363,805174136,275404538,17,857897645,131141,351452410
412,1056101878,119630363,87904542,470953656,33,841823385,131241,802691069
413,120411387,636734202,461996362,453561333,49,537974151,131341,942883082
414,613668741,769378664,445865090,967436704,50,157931518,131441,316465102
415,854495606,358198320,204013689,487409015,42,522444752,131541,845212650
416,425141252,119630363,874250391,983763394,11,990172696,131641,462091845
417,966128914,119630363,87904542,458807834,31,439432863,131741,176714611
418,203090531,119630363,100627142,421194723,32,862246538,131841,220827647
419,614371717,769378664,323945030,886566218,42,275045273,131941,529778189
420,926180453,358198320,835727822,116158500,15,912561269,132042,798786859
421,833006945,119630363,805174136,794589534,36,793473108,132142,267856385
422,403925553,636734202,461996362,346507224,16,951436719,132242,725209959
423,94371262,636734202,930522560,189529079,2,1073378685,132342,54746360
424,553201196,636734202,645096753,1037151810,9,933592180,132442,769139532
425,883923577,636734202,92540590,498021420,23,969584240,132542,593127049
426,161960984,119630363,87904542,649360893,42,793473108,132642,1014389385
427,785312649,358198320,204013689,361625467,47,1065123627,132742,328017543
428,965371385,572414757,606029594,1039281776,14,414053841,132842,375880048
429,418839917,769378664,600616823,908313182,21,661352075,132942,1067824290
430,617689806,636734202,645096753,361625467,34,128251339,133043,441032940
431,641846143,769378664,600616823,711216073,30,135724418,133143,583293039
432,802130191,358198320,92998158,491245267,6,722772889,133243,1045816612
433,1025406359,119630363,805174136,1015815959,2,135724418,133343,222088905
434,688124043,572414757,303571634,1050502102,20,914094596,133443,867834008
435,157721780,636734202,912325741,448959962,17,275045273,133543,665204830
436,228606374,119630363,87904542,749720854,50,157931518,133643,246212735
437,216557411,572414757,606029594,16209127,17,793473108,133743,9113847
438,835600587,119630363,724565089,1039281776,31,244966167,133843,60312946
439,866594439,358198320,92998158,217336653,32,358456330,133943,921870027
440,560975283,636734202,645096753,1050489664,22,442629192,134044,449045032
