PS_PARTKEY,PS_SUPPKEY,PS_AVAILQTY,PS_SUPPLYCOST,PS_COMMENT
39,40,3633,46310,1048831316
39,65,3682,30043,440069915
39,90,5475,53226,229686340
39,15,6259,73786,1056310266
40,41,7690,77613,1013782468
40,66,1704,56582,584105450
40,91,4521,37471,707448496
40,16,6617,19664,377404493
41,42,9040,48855,934566794
41,67,5946,39181,956968882
41,92,1550,91655,796274677
41,17,560,3759,712811464
42,43,2893,71681,622838825
42,68,2927,70906,853100989
42,93,3500,20000,440405238
42,18,3662,2946,862258593
43,44,3211,80578,827207672
43,69,6770,49319,640968761
43,94,9506,49365,980094541
43,19,3232,30712,873954097
44,45,486,16422,855947314
44,70,5310,11437,611348934
44,95,3534,38301,76218660
44,20,4798,83315,703757264
45,46,1685,91963,878729133
45,71,5202,87729,506172282
45,96,5669,53270,198129029
45,21,1872,15532,942692305
46,47,4171,24465,795966167
46,72,8518,10680,767263477
46,97,7225,1478,518199683
46,22,1381,98588,1064321306
47,48,6989,29252,88193464
47,73,4458,53947,839201195
47,98,2896,7454,1018955952
47,23,5873,29663,615495820
48,49,5052,61116,25631136
48,74,9451,19136,52768859
48,99,5564,66819,725545515
48,24,1719,60616,140109407
49,50,9056,3511,1069388684
49,75,6646,90815,935827453
49,100,5336,71325,469780654
49,25,597,81262,405311922
50,51,1832,56554,918607288
50,76,43,69087,527847750
50,1,6160,30106,804382379
50,26,2104,10717,283415800
51,52,837,31074,125494728
51,77,7318,8503,240984053
51,2,138,72895,773443691
51,27,8062,90104,969441051
52,53,6533,5492,384783046
52,78,1937,21044,827612966
52,3,4084,62853,284192224
52,28,5524,42493,881309709
53,54,6443,19278,274789383
53,79,5319,56344,572388851
53,4,8200,38808,415475594
53,29,6929,22483,170599557
54,55,2515,68651,200195679
54,80,7079,79898,413295973
54,5,2386,2378,221446552
54,30,536,25924,443369348
55,56,7874,61104,556961357
55,81,8460,23627,61610124
55,6,8278,13462,879328017
55,31,1289,13033,671727722
56,57,241,85539,630251297
56,82,9104,5479,382952991
56,7,1330,5229,1047454519
56,32,5799,92625,34513450
57,58,2972,12311,690843282
57,83,4721,41108,701016993
57,8,3788,21166,807045471
57,33,4583,13768,794653868
58,59,4328,54252,76505718
58,84,4307,44831,519428022
58,9,4136,51224,532343864
58,34,9689,2509,23680889
59,60,8374,35722,778679158
59,85,4226,8098,621113556
59,10,99,59854,928350617
59,35,8184,4550,452345606
60,61,6642,80072,993515663
60,86,5017,31481,346048902
60,11,148,50410,852296102
60,36,5792,9264,1072037825
61,62,1540,85864,743091882
61,87,9170,77126,835574366
61,12,4762,63374,131575109
61,37,7312,15374,830753315
62,63,1780,69242,510227617
62,88,5896,34882,201882748
62,13,9127,62008,231094122
62,38,9542,25578,777136548
63,64,1804,49884,512625226
63,89,1998,50916,748558042
63,14,6839,27414,157373692
63,39,6325,46369,867743747
64,65,5567,22861,644971652
64,90,4542,39892,147809172
64,15,9110,60265,1055604152
64,40,2064,2577,233651265
65,66,2918,84626,110876615
65,91,1779,39363,181529660
65,16,2054,50310,770094810
65,41,2188,28873,706987371
66,67,3077,80913,766217999
66,92,1076,78575,785480234
66,17,2568,44708,669112490
66,42,296,79727,643775511
67,68,9923,30637,872783309
67,93,7908,54675,432003832
67,18,3368,62562,303502846
67,43,5826,39734,404258347
68,69,3444,3137,485495049
68,94,6762,516,530464714
68,19,8300,8086,477100413
68,44,5399,68359,884267267
69,70,6197,69424,44738254
69,95,8235,84649,58082520
69,20,9294,38696,898126368
69,45,7017,34428,816261701
70,71,4536,34827,274242145
70,96,8063,45280,807585428
70,21,2990,94081,1009475963
70,46,9074,18258,855653433
71,72,508,84221,1040894617
71,97,8329,23957,161530906
71,22,6768,74467,512489761
71,47,5179,32913,178213951
72,73,9855,49726,456331855
72,98,9346,4104,577166998
72,23,2654,76261,927524502
72,48,4526,15447,34665551
73,74,9873,94799,901583339
73,99,7729,92066,526366623
73,24,5327,10896,366176154
73,49,3928,30957,732989516
74,75,3128,34592,630411590
74,100,2479,93097,1044261586
74,25,9473,49636,711658479
74,50,6234,84966,725682247
75,76,7086,62439,79817873
75,1,6308,75936,114520878
75,26,9080,43359,144654150
75,51,5439,88401,641165796
76,77,6754,49483,952668071
76,2,2009,10897,157015658
76,27,6371,55238,283795495
76,52,7986,25203,907222768
77,78,552,25492,483825966
77,3,8170,87583,1034220600
77,28,8541,93613,1014062740
77,53,1713,40214,935153343
78,79,9915,72994,989853120
78,4,7246,57723,305808228
78,29,1801,43434,34668552
78,54,9599,38282,606715405
79,80,4248,76534,35520188
79,5,465,2833,809340126
79,30,3309,88023,439099803
79,55,8627,89118,104431237
80,81,8893,12765,248705598
80,6,2243,77579,47629029
80,31,5385,94572,846676219
80,56,4034,79705,655542314
81,82,1605,55029,12544244
81,7,5923,22023,591704911
81,32,2942,40973,227342171
81,57,58,49219,608738592
82,83,7793,69731,307324127
82,8,7698,58586,6775823
82,33,8268,60425,72006847
82,58,5532,90007,62085253
83,84,3010,74551,1058440944
83,9,8200,39964,311467088
83,34,5974,65722,471768838
83,59,3890,2473,475320507
84,85,5711,23361,715473398
84,10,208,46980,785139132
84,35,2909,96944,399309382
84,60,903,70777,594741555
85,86,2628,60877,346692176
85,11,118,91783,229665453
85,36,2074,49120,825340281
85,61,8289,7381,751760212
86,87,806,6598,843380041
86,12,2773,25004,462704591
86,37,5546,81653,371945024
86,62,1418,33265,867728804
87,88,5679,68833,673191396
87,13,1272,43542,1003095148
87,38,9041,61720,1002748193
87,63,1892,86860,1004679866
88,89,6116,33458,332402168
88,14,395,7150,1049454822
88,39,9979,8181,1022443331
88,64,276,82143,575021137
89,90,3430,74487,961026838
89,15,8599,77653,99277755
89,40,7876,41761,450773060
89,65,924,92002,905738781
90,91,8037,40938,804337392
90,16,9683,49843,579999029
90,41,7849,66613,317605092
90,66,7629,5084,202609081
91,92,7986,52864,610820803
91,17,3257,90620,397302288
91,42,483,82321,366404753
91,67,1265,70341,705456549
92,93,9337,22401,792026335
92,18,2246,98503,555916433
92,43,3199,9163,103549
92,68,1044,85489,137919416
93,94,3008,61598,863134659
93,19,5275,37647,306869170
93,44,3869,86881,587477612
93,69,7188,80590,172313174
94,95,5433,36556,761381604
94,20,7784,35808,930700770
94,45,7232,47894,822282074
94,70,3261,82408,960872239
95,96,5186,29102,363376976
95,21,6552,45636,809863810
95,46,367,98722,179596254
95,71,7379,97374,296612165
96,97,5739,20206,708678128
96,22,4942,57129,19640277
96,47,9985,67229,1010382882
96,72,7250,58708,473379580
97,98,6371,12977,578041045
97,23,2390,45834,624412969
97,48,2618,23934,732049984
97,73,4580,76141,9569231
98,99,9486,90821,828416210
98,24,8550,65716,553972098
98,49,3443,13900,902555412
98,74,3759,81155,877078801
99,100,8487,43838,148882663
99,25,7567,49693,235643947
99,50,7970,36583,255744108
99,75,2789,84388,431855405
100,1,7885,49061,713663243
100,26,2070,19673,762807183
100,51,4994,92957,113981148
100,76,9688,2200,241514410
101,2,5589,30539,937410315
101,28,8263,21871,490536172
101,54,6324,78653,655740169
101,80,55,61209,282422283
102,3,1384,87675,916987333
102,29,9137,33271,893530311
102,55,9156,61800,28172021
102,81,6942,23102,737216792
103,4,5913,90588,1049585130
103,30,7742,41442,948331031
103,56,5164,36148,665158935
103,82,429,60520,727266940
104,5,2368,94639,657208052
104,31,6110,1557,308304595
104,57,6269,21389,856024762
104,83,3369,72938,383304487
105,6,4602,2775,619474420
105,32,269,15862,161254869
105,58,8855,81086,38514110
105,84,8519,90417,433442458
106,7,8649,73215,724282319
106,33,3144,77968,492062011
106,59,1411,31039,746924427
106,85,2297,28198,753361307
107,8,7249,16803,906099195
107,34,4029,9131,597910282
107,60,4667,37294,367353535
107,86,7912,47477,588003676
108,9,4149,55885,823925559
108,35,4898,24147,713903339
108,61,5534,62689,197854763
108,87,3142,92227,216038675
109,10,524,27519,731405170
109,36,4470,99221,60129904
109,62,8176,93660,490424258
109,88,7524,37449,799383229
110,11,2782,56646,803370023
110,37,8914,18347,975160479
110,63,1160,93208,856270991
110,89,4927,19663,1004479332
111,12,1890,32197,949840217
111,38,9587,97865,1051918143
111,64,8069,74533,636974080
111,90,2175,49608,740114580
112,13,8509,11142,366760010
112,39,7652,78352,483212922
112,65,4835,91375,209751728
112,91,1211,81588,567357226
113,14,9981,39626,478656820
113,40,3804,86068,839901310
113,66,522,98141,134041805
113,92,4692,14147,259154475
114,15,7146,44724,798488290
114,41,3062,55512,454491545
114,67,4519,38287,288695884
114,93,2113,57079,774537477
115,16,1817,8284,241337952
115,42,983,86745,1070826379
115,68,7781,86193,97922525
115,94,3002,8152,1039527825
116,17,6580,70550,263804804
116,43,4975,41386,5782647
116,69,8679,86656,716559831
116,95,5632,3729,364050247
117,18,5906,70651,890265801
117,44,1986,32208,888545828
117,70,2577,76186,723285786
117,96,4762,55288,1016433254
118,19,694,74473,496750918
118,45,6326,32561,467525160
118,71,7806,28327,591748488
118,97,4951,97655,418934550
119,20,2307,47364,682619677
119,46,1452,67692,440012699
119,72,4955,48893,371754459
119,98,583,78247,887885417
120,21,4976,20121,849103351
120,47,7744,36579,786364365
120,73,5329,24961,425439870
120,99,3102,56634,1009695898
121,22,9741,14744,362869991
121,48,4246,85042,40154881
121,74,7670,44939,1064753842
121,100,8709,65522,362825509
122,23,1019,45129,898726914
122,49,2490,63728,819786830
122,75,4957,65084,732887516
122,1,2083,73925,160782943
123,24,9881,10703,629775791
123,50,5638,81819,534190937
123,76,2692,21701,753454365
123,2,5311,14965,440443993
124,25,7102,90198,897516507
124,51,3969,90864,1052381947
124,77,9295,88254,1048076147
124,3,9416,82278,527188341
125,26,2263,35845,235066450
125,52,8276,66865,110712638
125,78,2600,45570,618911736
125,4,5546,80666,296646889
126,27,2647,22189,356888145
126,53,2373,19438,886622838
126,79,1532,45161,301734775
126,5,5458,92943,708202064
127,28,7658,71233,661815620
127,54,1467,23798,450769453
127,80,8281,314,843567998
127,6,8894,7342,521525693
128,29,6982,42529,887415511
128,55,7602,22449,44486823
128,81,3766,94716,421860202
128,7,7023,87578,977580179
129,30,5721,12969,589606808
129,56,7242,20026,719284300
129,82,5299,33059,318338074
129,8,1968,2722,335755774
130,31,4928,22338,468533599
130,57,6909,27558,531030226
130,83,4850,44281,1010740540
130,9,7387,88399,945179987
131,32,3263,21170,476730553
131,58,125,86184,751979256
131,84,5138,57242,363723471
131,10,8945,61309,854506697
132,33,3092,68729,879058198
132,59,1904,92573,385543887
132,85,7441,35706,619560676
132,11,5303,35306,157923917
133,34,5727,4917,679670203
133,60,404,47818,51959638
133,86,4568,5748,846259906
133,12,2813,27726,21505344
134,35,8879,84814,31556384
134,61,9013,10299,849858121
134,87,852,92745,696939438
134,13,6270,38828,1036360358
135,36,6940,46582,1009743279
135,62,2443,983,151275272
135,88,7453,69842,337727174
135,14,2771,30643,412742809
136,37,2237,54819,948920734
136,63,6068,80619,415869741
136,89,8979,38757,869062003
136,15,9617,52580,139388773
137,38,9057,30226,92624288
137,64,4078,44111,509211530
137,90,467,37185,96983089
137,16,7850,18731,30483229
138,39,133,57696,428581705
138,65,2535,88535,109227765
138,91,7907,11983,312683709
138,17,967,30902,866142736
139,40,2886,28575,708711491
139,66,9255,68461,981638266
139,92,1042,97223,1047563661
139,18,3285,69000,15732289
140,41,2379,50105,146956762
140,67,3533,78145,1067922565
140,93,304,4584,371759353
140,19,7346,42952,650260799
141,42,6776,29363,279710449
141,68,1660,13918,402839108
141,94,7628,83808,424592552
141,20,90,81068,1003616158
142,43,9219,89749,742041490
142,69,13,33433,3843893
142,95,3076,86055,1053762405
142,21,3858,85408,915837538
143,44,7326,96064,435167816
143,70,3923,74101,581449496
143,96,7152,77224,46879400
143,22,1952,19937,261903936
144,45,6295,45737,1033243915
144,71,494,84996,960350920
144,97,1799,71388,198627145
144,23,5427,36183,431074279
145,46,11,64166,488667704
145,72,3838,56891,258078873
145,98,1344,42260,813691037
145,24,4332,89457,24583174
146,47,2726,23115,166639092
146,73,4628,12391,840530442
146,99,5893,85859,169197726
146,25,9687,88237,701839241
147,48,7442,93914,685608263
147,74,7647,10219,7689756
147,100,1596,46637,802518365
147,26,4235,23591,300570304
148,49,8007,17740,372291055
148,75,1904,77456,303968265
148,1,5393,26408,384190591
148,27,2957,25098,795944055
149,50,959,67910,151567325
149,76,7283,20103,144646958
149,2,7392,26652,737965007
149,28,4104,31237,507635203
150,51,8091,52471,441315293
150,77,2721,81479,700358795
150,3,3172,3371,1061639344
150,29,1640,32733,1011402426
151,52,391,28189,282139320
151,78,253,84006,958613780
151,4,1484,7168,1049364981
151,30,9417,24406,408135739
152,53,1396,16460,125218237
152,79,2653,43212,742028866
152,5,3599,7738,1044656174
152,31,1283,14272,188128293
153,54,4695,53986,201429419
153,80,8464,68014,930416561
153,6,2916,68552,785810537
153,32,6397,28592,211353726
154,55,3961,47419,748013829
154,81,3231,82929,206186730
154,7,7315,96019,414186271
154,33,1682,16031,1073444600
155,56,2893,22202,285972417
155,82,7077,41324,155821743
155,8,3029,41302,95598311
155,34,977,75145,217873706
156,57,4755,45369,349356936
156,83,7228,99419,865604795
156,9,3043,25266,275990548
156,35,3191,986,526674299
157,58,5414,36944,971252715
157,84,763,56846,981055267
157,10,3718,90153,714183761
157,36,3400,28841,886947641
158,59,2845,40872,973178856
158,85,8715,45231,84526079
158,11,4465,83716,651583427
158,37,4251,43190,613805970
159,60,9200,35666,303405587
159,86,3585,62929,550512355
159,12,6085,17140,828488478
159,38,3717,79087,1038232960
160,61,2434,52573,290371
160,87,8324,99993,558778094
160,13,6034,73359,362079257
160,39,6872,87220,1008356759
161,62,9365,79003,388508740
161,88,8421,39405,920645587
161,14,9679,68847,950759813
161,40,679,89372,648401278
162,63,315,92304,315001331
162,89,2604,10420,923800106
162,15,7014,23607,774890009
162,41,4381,82436,996085926
163,64,9241,95581,316318588
163,90,3427,49951,363404662
163,16,5323,92075,388799904
163,42,9676,57348,1061753411
164,65,1295,34195,965675048
164,91,2134,8402,272521737
164,17,3245,81467,1053892019
164,43,3028,6489,44689511
165,66,4424,94382,710994761
165,92,5534,71783,95837198
165,18,3780,73028,489324074
165,44,6114,21084,511748948
166,67,6527,30900,305192469
166,93,6508,71449,1071910531
166,19,9364,58152,708464871
166,45,6713,63158,907489285
167,68,4933,66670,35997356
167,94,5789,52427,485363521
167,20,4756,33675,485309569
167,46,6748,70497,492156089
168,69,347,39483,11365737
168,95,1281,77190,648264470
168,21,9089,50837,868241404
168,47,7519,96343,809096706
169,70,6914,61953,265297920
169,96,6589,94703,71518731
169,22,6731,71335,703086307
169,48,7691,47619,541891890
170,71,7516,58165,774389109
170,97,838,66716,157018795
170,23,6498,25119,363919469
170,49,6593,20207,328751960
171,72,8217,85960,636424627
171,98,2311,86496,8820093
171,24,8561,2269,398927898
171,50,7589,93529,264918389
172,73,9799,18496,6209679
172,99,8333,92074,964381910
172,25,3589,43786,350336739
172,51,1661,68713,532018558
173,74,2536,35384,395890464
173,100,8307,7022,986462743
173,26,6050,68378,1038415360
173,52,6162,87784,100336121
174,75,2103,68195,404563970
174,1,6795,14347,973015493
174,27,111,13546,791764465
174,53,8404,12620,437247500
175,76,5515,48768,81281836
175,2,7522,78493,153905231
175,28,8501,70661,447639143
175,54,9456,97856,317322870
176,77,7180,17909,264405756
176,3,3589,15738,538295685
176,29,5407,94751,805913595
176,55,1783,86163,805150506
177,78,1239,4475,421984624
177,4,4349,6336,1070304118
177,30,9872,25242,797439549
177,56,4727,85982,380295233
178,79,4231,55855,117551588
178,5,1919,36226,679183143
178,31,6836,86493,353593593
178,57,6922,47518,1067010355
179,80,6956,44438,250663101
179,6,1954,37275,195078187
179,32,2710,27714,38091915
179,58,4776,839,758201180
180,81,2467,44025,452292312
180,7,1108,93459,148110597
180,33,724,42616,671410695
180,59,5899,86483,1027714597
181,82,2416,84444,875393406
181,8,3242,88653,137271184
181,34,215,93829,1033208715
181,60,1122,65725,322807398
182,83,9699,53527,378942337
182,9,960,51936,586751381
182,35,6243,74146,484383334
182,61,6146,36500,299396822
183,84,30,87544,899602225
183,10,4482,42486,405024260
183,36,8707,88426,932867643
183,62,333,67816,793395702
184,85,7069,44945,599445313
184,11,9193,57688,913473793
184,37,6400,55190,1019701095
184,63,831,18684,1041244058
185,86,1475,53858,207954578
185,12,6244,21304,882478195
185,38,7245,42674,32339642
185,64,8014,51023,436069564
186,87,1095,25284,121370103
186,13,1945,1875,800094498
186,39,8838,72942,126860297
186,65,7898,81237,952526189
187,88,8656,23866,683702352
187,14,4945,31664,588152871
187,40,3183,36275,722495854
187,66,7440,98971,747287619
188,89,4835,77195,117841428
188,15,2620,33170,51642624
188,41,730,71362,1050166843
188,67,5430,92020,834121193
189,90,1305,39250,449611905
189,16,8777,57322,746794729
189,42,6369,94607,997963130
189,68,2505,59323,61399916
190,91,535,62153,137260828
190,17,5845,60891,630390730
190,43,4579,39660,701121121
190,69,2861,45800,436281399
191,92,8310,52105,873972058
191,18,1693,46446,111736122
191,44,597,12696,496666860
191,70,9673,11941,336821299
192,93,606,19869,909891382
192,19,2656,91616,668910908
192,45,1811,35959,482828407
192,71,8305,86123,40024556
193,94,6184,33598,840450626
193,20,4762,60619,577225214
193,46,385,57171,62546388
193,72,9791,47852,100475758
194,95,4289,66217,339153849
194,21,377,43021,351499586
194,47,5294,91346,307526586
194,73,7890,7940,230923102
195,96,9985,2039,168717801
195,22,2947,27139,60784410
195,48,319,10258,474998620
195,74,2803,99227,858998379
196,97,3843,85990,588480131
196,23,2515,96601,299439732
196,49,4778,3761,386256647
196,75,1068,92825,273753408
197,98,9678,75388,90503343
197,24,2631,27905,1071552947
197,50,7598,84551,479942165
197,76,8950,89733,109747795
198,99,6878,58741,254477791
198,25,6493,67399,1041679449
198,51,8410,16693,262351909
198,77,6190,69710,809402917
199,100,9343,7970,519260899
199,26,8199,4652,372493936
199,52,2742,89063,764410256
199,78,7167,88456,758093560
200,1,3120,77641,538159883
200,27,5392,24252,616595767
200,53,9408,30779,43479413
200,79,331,46607,515320112
201,2,8649,28098,327645044
201,29,2078,34049,647644982
201,56,4125,53411,660162998
201,83,848,94759,178010580
202,3,7822,24744,895738707
202,30,3182,18081,55384078
202,57,2720,16044,929840634
202,84,6202,65617,292045828
203,4,1677,39916,569878739
203,31,3591,58285,1072682439
203,58,6239,88246,1020335471
203,85,5644,48927,279877725
204,5,9265,50461,3932199
204,32,2203,60926,64798004
204,59,6344,17265,494551542
204,86,1238,81914,2289684
205,6,9942,22671,617344744
205,33,7965,42725,867828630
205,60,1974,21701,738543024
205,87,9207,12308,377061962
206,7,1961,93654,492124483
206,34,425,36230,826567044
206,61,7816,38988,457743038
206,88,548,48004,979010536
207,8,9319,33516,18323945
207,35,3567,81091,476875520
207,62,9711,67318,1050268798
207,89,7316,55772,786353533
208,9,7366,13551,1058569794
208,36,7251,5446,47267095
208,63,5255,47475,528749648
208,90,7066,30980,476709798
209,10,7176,23677,689608139
209,37,3344,57501,990075459
209,64,5580,8180,734811565
209,91,1513,50738,14951857
210,11,6774,26701,457626534
210,38,8671,37795,86083281
210,65,6596,81736,70653374
210,92,4516,25905,659321148
211,12,4572,47568,410462832
211,39,6045,85697,512950921
211,66,6901,70701,940916786
211,93,4247,75141,568447576
212,13,1040,71890,377550091
212,40,6519,77838,341573943
212,67,6217,42619,309458876
212,94,9266,31874,919897011
213,14,3959,56571,1030602105
213,41,8685,59192,726905437
213,68,9296,62344,642797030
213,95,9377,79764,1071953847
214,15,2244,40315,266166939
214,42,5174,71969,447066675
214,69,7901,1750,1016096960
214,96,6358,64691,992541235
215,16,1710,76563,550071629
215,43,290,93270,1016780262
215,70,3754,63610,300830154
215,97,7130,83857,663116394
216,17,5429,14297,896566357
216,44,9076,50255,659645814
216,71,6245,2522,240778546
216,98,3277,52802,53606911
217,18,20,47917,802935529
217,45,3036,71436,380099014
217,72,875,46383,485314636
217,99,9247,63764,947173202
218,19,3896,62216,828469004
218,46,4848,25748,109939682
218,73,1431,5536,863229009
218,100,3941,56824,773163503
219,20,2369,16895,261035123
219,47,491,65850,102181894
219,74,5116,58017,758967622
219,1,145,143,1012386957
220,21,2941,34113,885683067
220,48,2118,39671,851192745
220,75,6654,32205,1069670788
220,2,8767,29783,996618660
221,22,1469,91633,93855128
221,49,9153,32488,37471349
221,76,5484,89837,886084856
221,3,2849,8070,549428484
222,23,8085,96781,529383330
222,50,8065,42277,943393471
222,77,7808,73478,166835219
222,4,8855,92610,618979766
223,24,582,69387,1039573057
223,51,1488,73588,410916705
223,78,259,52337,22918397
223,5,4893,28724,870325656
224,25,7119,74597,230673031
224,52,7374,25276,811309292
224,79,1227,67382,561880474
224,6,9097,40464,451824319
225,26,6101,77545,385340480
225,53,4421,11617,407084475
225,80,5365,61735,423826786
225,7,2137,27611,189428026
226,27,9130,46581,289248932
226,54,966,93143,830545772
226,81,2680,34314,322671307
226,8,4772,5838,185221921
227,28,8809,45333,135137996
227,55,1408,87771,683040994
227,82,6607,47258,993747903
227,9,5426,73686,380093544
228,29,831,86215,417867290
228,56,235,72711,518603791
228,83,6712,97689,935655955
228,10,6694,13330,345853279
229,30,4074,83521,392758728
229,57,4781,49784,859863261
229,84,2241,82067,1062908035
229,11,5560,98471,377355215
230,31,5361,72371,203240096
230,58,7726,63461,502395128
230,85,1549,75270,504738436
230,12,4949,49183,884729520
231,32,6305,69586,667851098
231,59,4995,25334,135171915
231,86,5360,30895,383146943
231,13,803,97124,619378186
232,33,5028,4214,81230988
232,60,1108,24070,485368160
232,87,9154,71637,495052790
232,14,1828,26683,965936728
233,34,2689,44629,826717516
233,61,8231,52451,812116377
233,88,444,37296,589194773
233,15,3009,76762,503145574
234,35,3807,43837,827764615
234,62,90,19446,765175388
234,89,367,82604,1051507197
234,16,600,25258,766215690
235,36,9292,61014,748497014
235,63,3827,9625,51090013
235,90,3030,49388,77761772
235,17,9681,10094,166827770
236,37,3270,42371,635910263
236,64,5757,63684,877082877
236,91,4959,19244,774188465
236,18,2932,83400,246996068
237,38,7643,25501,455791448
237,65,5360,43819,1057176510
237,92,2263,19632,587417786
237,19,5241,6783,905772455
238,39,7285,45434,607431689
238,66,1615,99992,858370443
238,93,7504,55695,224490461
238,20,9231,17118,298956502
239,40,8638,15522,107419864
239,67,3755,57010,118552670
239,94,6890,41132,922486692
239,21,4889,16850,696548226
240,41,6917,9189,181870704
240,68,4238,19243,620759283
240,95,1972,57134,788252494
240,22,1831,24303,925241517
241,42,1907,87695,179036487
241,69,6274,84449,1061664922
241,96,3003,75181,184055865
241,23,60,52041,792957381
242,43,6454,53650,199491918
242,70,394,9724,127768345
242,97,2514,20839,510394539
242,24,6902,14738,528794107
243,44,1961,81756,152349837
243,71,8930,61810,680704830
243,98,3830,88699,545020447
243,25,3272,64129,692800084
244,45,5942,14884,389359650
244,72,4940,29362,423595437
244,99,1352,97874,618336177
244,26,8850,25700,427680535
245,46,6034,99556,281037616
245,73,3533,18740,749924624
245,100,9116,7954,1022781694
245,27,5694,40735,198747334
246,47,6561,42660,264621477
246,74,3607,19436,929314992
246,1,7493,17068,590498827
246,28,8359,64545,787296962
247,48,3492,5815,44654259
247,75,9811,47985,839255696
247,2,7397,14338,850643378
247,29,9639,65032,37349610
248,49,7731,6554,223130420
248,76,8847,93564,379578491
248,3,6329,14879,418016490
248,30,8054,42578,558731832
249,50,7234,51616,268603494
