O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
128,740,245580493,3499704,33768,247522663,610078226,0,386039166
129,712,245580493,25428141,33925,860677961,663933725,0,724635367
130,370,245580493,14021354,33730,590808642,612695773,0,742940383
131,928,245580493,14072647,34491,924311831,1071568259,0,776560723
132,265,245580493,13348589,34129,924311831,233094643,0,629779129
133,440,567770569,9597106,35761,247522663,999335381,0,1050686618
134,62,245580493,20820146,33723,758027517,80541091,0,478047519
135,605,567770569,23047284,34991,758027517,391672015,0,755480837
160,826,567770569,11474232,35416,758027517,1000186716,0,33632190
161,167,245580493,1766859,34575,590808642,489262012,0,1010798949
162,142,567770569,355315,34825,924311831,426983823,0,683483402
163,878,567770569,17780913,35676,924311831,162693081,0,497205246
164,8,245580493,25041720,33896,860677961,536073429,0,555557736
165,274,245580493,19330235,33997,758027517,504060904,0,573940613
166,1079,567770569,15820739,34952,590808642,541712408,0,16279563
167,1195,245580493,6401785,33971,758027517,42830820,0,857217185
192,826,567770569,19463757,35757,860677961,377107687,0,745599851
193,791,245580493,8083425,34187,247522663,143342171,0,423500761
194,619,245580493,15428473,33697,924311831,582428075,0,756140981
195,1355,245580493,21663892,34329,924311831,182259004,0,647080234
196,649,245580493,3866064,34043,590808642,378984177,0,887885987
197,326,1018611361,15524748,34794,590808642,388124020,0,338200780
198,1103,567770569,14955163,35795,758027517,170055030,0,5003902
199,530,567770569,9586770,35129,590808642,362423974,0,249545801
224,25,245580493,23405044,34501,758027517,265595826,0,440690741
225,331,1018611361,22602898,34842,247522663,577351527,0,1018295837
226,1276,245580493,25645940,34036,590808642,115604288,0,972762310
227,100,567770569,6902067,35011,860677961,636135711,0,934761222
228,442,245580493,274406,34023,247522663,317829175,0,646717147
229,1118,245580493,19561974,34330,247522663,544082670,0,984571184
230,1027,245580493,14771101,34267,247522663,1041625956,0,149593291
231,910,245580493,23438386,34604,590808642,955451986,0,39953160
256,1249,245580493,13271867,34259,758027517,367236853,0,508179226
257,1228,567770569,925512,35880,924311831,570602948,0,1037094281
258,419,245580493,25946678,34330,247522663,1002455869,0,867640821
259,433,245580493,11061159,34239,758027517,406113720,0,445715417
260,1048,567770569,26808469,35407,924311831,919246113,0,462198759
261,461,245580493,27827930,34147,924311831,301944627,0,816823767
262,304,567770569,17340163,35026,758027517,458675331,0,445078148
263,1162,245580493,10496132,34469,590808642,78372709,0,591602869
288,71,567770569,23936668,35480,247522663,674108603,0,7603259
289,1039,567770569,17462455,35469,924311831,913151119,0,566076229
290,1180,245580493,6763653,34333,758027517,362378025,0,233712647
291,1411,245580493,8837589,34404,247522663,381460705,0,504784480
292,223,245580493,5415277,33614,590808642,223934716,0,573757289
293,301,245580493,4612856,33877,590808642,349108946,0,454666652
294,505,245580493,4688954,34164,924311831,967118062,0,878152572
295,190,245580493,14856949,34604,590808642,908510251,0,847424390
320,4,567770569,5020260,35753,590808642,848969334,0,241820129
321,1226,245580493,7302450,34047,924311831,1052950176,0,622697185
322,1336,245580493,16599204,33680,247522663,462873989,0,893689987
323,392,245580493,12112717,34417,247522663,399726077,0,6867124
324,1052,245580493,4632790,33681,247522663,582428075,0,505165073
325,401,245580493,9463859,34257,860677961,478417001,0,737897998
326,760,567770569,32544868,34852,590808642,1032892268,0,800770696
327,1447,1018611361,3230212,34804,860677961,259557045,0,360928635
352,1066,245580493,2554202,34399,590808642,583625283,0,886588794
353,19,245580493,22498369,34332,860677961,684205825,0,732641935
354,1384,567770569,23131122,35136,590808642,470252480,0,230262684
355,701,245580493,10394982,34497,860677961,96828638,0,167376138
356,1469,245580493,18916002,34513,758027517,696023426,0,437438257
357,604,567770569,13893682,35345,590808642,1065178089,0,705753425
358,23,245580493,36202417,34230,590808642,342486909,0,1037303319
359,776,245580493,21477097,34685,924311831,101549358,0,319689377
384,1132,245580493,19127512,33664,860677961,722563963,0,409620380
385,331,567770569,7586647,35144,860677961,846290813,0,858165587
386,602,245580493,11971802,34722,590808642,776103145,0,506678652
387,34,567770569,19783944,35454,758027517,816931190,0,571493460
388,448,245580493,16156004,33952,758027517,972062064,0,28735160
389,1270,245580493,326669,34380,590808642,14977848,0,794468545
390,1027,567770569,23225636,35890,860677961,695479319,0,654358857
391,1103,245580493,1451791,34653,590808642,500600340,0,762218562
416,403,245580493,10681850,34237,860677961,817756878,0,635422479
417,547,245580493,13253173,34369,924311831,962559092,0,951687634
418,949,1018611361,3943146,34800,758027517,915900256,0,976344732
419,1163,567770569,15907922,35337,924311831,208729400,0,605535868
420,902,567770569,26906446,35001,758027517,115604288,0,42244141
421,392,245580493,129221,33654,860677961,158145371,0,896080014
422,731,567770569,15553371,35579,758027517,565983793,0,289234318
423,1034,567770569,3190060,35215,247522663,287902102,0,645670531
448,1498,567770569,15724756,34930,924311831,344758956,0,227498292
449,958,567770569,5508233,34898,590808642,557276896,0,208093960
450,475,1018611361,21363807,34761,758027517,907662582,0,417339160
451,988,567770569,14275681,35938,860677961,783268551,0,736655647
452,596,567770569,207279,35715,247522663,885952557,0,353751654
453,442,567770569,34300449,35574,860677961,759250525,0,347214351
454,488,567770569,2454395,35058,860677961,1067588597,0,1061388225
455,121,567770569,19071132,35401,247522663,109123014,0,940410090
480,715,245580493,3064449,34095,860677961,177721993,0,493363566
481,304,245580493,16037014,33883,590808642,205809053,0,631654497
482,1252,567770569,19719423,35148,247522663,268195934,0,521393037
483,349,567770569,6619438,34889,590808642,143342171,0,21112942
484,544,567770569,33155332,35431,924311831,866995948,0,33073783
485,1006,567770569,14238970,35513,590808642,364664101,0,707089513
486,509,567770569,28615009,35133,758027517,204517847,0,606516080
487,1079,245580493,8880507,33832,247522663,973671885,0,709973798
512,631,1018611361,18393948,34837,860677961,799378904,0,525797724
513,607,567770569,7876971,34818,590808642,973056474,0,768506783
514,749,567770569,12320251,35157,590808642,938247425,0,482752700
515,1420,245580493,17723112,34208,758027517,495595268,0,1010713107
516,440,567770569,1327779,35904,590808642,678242478,0,187619376
517,94,567770569,10926947,35525,860677961,684277057,0,910618866
518,1444,567770569,33528537,35832,590808642,816931190,0,579727480
519,631,567770569,10939560,35732,247522663,58889818,0,408037461
544,934,245580493,5896045,34015,590808642,598162488,0,775799296
545,632,567770569,3512954,35008,590808642,640934389,0,30367953
546,1433,567770569,2622774,35368,590808642,878568058,0,648387538
547,983,567770569,13785272,35236,924311831,362898051,0,120737365
548,1240,245580493,13909489,34596,247522663,573922503,0,825737924
549,1100,245580493,21178730,33796,247522663,368016291,0,997254927
550,236,567770569,5481845,34911,247522663,593274020,0,1062222470
551,898,567770569,6430140,34847,247522663,590774484,0,722208542
576,296,567770569,2472297,35561,924311831,655552292,0,485030903
577,553,245580493,4786053,34685,860677961,296551712,0,642326304
578,926,567770569,10354300,35438,860677961,243797163,0,918783423
579,671,567770569,14661010,35863,590808642,1021580355,0,974867202
580,593,567770569,14455744,35614,590808642,665405831,0,817639719
581,688,567770569,17598528,35482,758027517,539571074,0,247313427
582,494,567770569,18181320,35722,247522663,426983823,0,174411534
583,472,567770569,15473176,35506,924311831,647818076,0,125336900
608,260,567770569,10015120,35121,924311831,58139088,0,996708344
609,1252,245580493,3398087,34484,924311831,371916609,0,914363206
610,508,567770569,22941194,34911,247522663,1028805951,0,495265845
611,1055,245580493,8338831,33994,247522663,381629036,0,465657050
612,815,245580493,23256007,33896,924311831,414887566,0,977585577
613,1384,567770569,5635592,34866,590808642,692101467,0,1052482636
614,1333,245580493,32594294,33937,590808642,913689702,0,668924387
615,655,245580493,3099093,33731,860677961,913689702,0,797168230
640,952,245580493,21022936,33990,590808642,640996820,0,776989917
641,1330,245580493,17508481,34209,860677961,773857468,0,246624985
642,400,245580493,3464733,34317,924311831,679019213,0,903556326
643,578,1018611361,26188219,34781,590808642,449333955,0,702482159
644,74,245580493,26707940,33723,247522663,439878312,0,467711059
645,1144,245580493,35011021,34669,590808642,285253997,0,12767943
646,505,245580493,19210559,34658,590808642,321996321,0,335202173
647,1430,567770569,6769652,35647,247522663,602887851,0,993517261
672,1081,245580493,12858182,34436,860677961,241999869,0,538001698
673,793,245580493,3495094,34401,247522663,607832894,0,752829608
674,332,245580493,2739000,33843,860677961,607832894,0,583715768
675,118,567770569,16684313,35640,590808642,28650422,0,347334333
676,380,567770569,25417166,35410,590808642,285975434,0,399905742
677,1240,245580493,20591722,34295,924311831,984085411,0,800642049
678,1307,245580493,20879137,34025,860677961,921997717,0,282830096
679,485,567770569,1490506,35046,590808642,214580100,0,1002033653
704,844,567770569,8510007,35388,924311831,133665943,0,800787801
705,428,567770569,11758740,35472,758027517,817756878,0,971279397
706,1474,567770569,4083676,34949,247522663,607832894,0,635461484
707,1162,245580493,8072277,34656,924311831,958818470,0,480214791
708,316,567770569,12792556,35977,924311831,42592704,0,800140167
709,361,567770569,9211573,35904,247522663,439362393,0,312839535
710,1312,245580493,30987850,33969,860677961,267992243,0,759312070
711,637,245580493,9955327,34233,758027517,909432449,0,605857594
736,464,567770569,20072061,35965,860677961,337585792,0,368231163
737,1198,245580493,2064765,33718,860677961,834976112,0,601985775
738,208,245580493,17782389,34028,758027517,953278117,0,150220894
739,4,567770569,22600880,35944,860677961,48513705,0,525779605
740,436,567770569,12671342,34894,924311831,94008109,0,420944077
741,1045,567770569,8191256,35981,590808642,268195934,0,63204956
742,1030,245580493,25883444,34689,860677961,845680391,0,458666909
743,784,567770569,3928449,35340,758027517,599367957,0,638324410
768,971,567770569,29453421,35295,924311831,1008340558,0,449253035
769,800,245580493,6562227,34120,924311831,692101467,0,364482580
770,320,567770569,9955429,35936,860677961,1025774312,0,689390320
771,446,567770569,15156145,34865,247522663,364664101,0,1069872262
772,965,245580493,20544215,34074,590808642,839335357,0,809609671
773,1319,245580493,19073421,34236,924311831,980963226,0,985712719
774,796,567770569,21448443,35035,247522663,980629122,0,828828159
775,1333,245580493,7539292,34774,247522663,516984888,0,298702595
800,560,567770569,14493263,35988,590808642,580433561,0,657182186
801,1178,245580493,18616067,33650,247522663,312285817,0,46823832
802,1367,245580493,19217848,34702,247522663,16627223,0,791599844
803,145,567770569,4947193,35547,860677961,258249252,0,627628343
804,500,245580493,13684401,34038,924311831,1053951478,0,444258700
805,1261,567770569,14587967,34883,758027517,909432449,0,743581186
806,1309,567770569,3907230,35234,590808642,940432683,0,359700320
807,1436,245580493,29106638,34295,924311831,172771336,0,234646958
832,290,245580493,7554927,33711,860677961,112990188,0,899063558
833,553,245580493,5394873,34376,924311831,582207802,0,1029563651
834,428,245580493,5763112,34475,924311831,973104001,0,467189433
835,649,567770569,7967135,34978,758027517,138078299,0,872962978
836,688,567770569,10304170,35392,758027517,76413608,0,243093481
837,1159,245580493,9910747,34498,758027517,642762123,0,916275382
838,164,567770569,11912255,35822,860677961,580433561,0,578187229
839,280,567770569,10934968,34917,247522663,2313745,0,922917129
864,1378,567770569,11029044,35657,247522663,612695773,0,418012839
865,26,245580493,11212626,34091,924311831,258836987,0,88270787
866,383,245580493,579301,33934,924311831,388187467,0,991969557
867,253,245580493,927115,34287,924311831,23598523,0,192174893
868,1036,245580493,15791401,33762,758027517,899510460,0,550663921
869,1348,567770569,8845872,35440,590808642,656259587,0,219860814
870,322,245580493,6018294,34138,758027517,142949337,0,440930657
871,145,567770569,26545006,35016,860677961,936957826,0,76907461
896,17,245580493,24840210,34035,247522663,473742210,0,727571475
897,490,1018611361,8828128,34776,247522663,235119393,0,327584523
898,536,245580493,15970826,34121,590808642,354451209,0,272239525
899,1085,567770569,16524853,35891,860677961,165453249,0,684766010
900,460,245580493,17355509,34606,758027517,667902916,0,158916643
901,113,567770569,10604148,35995,758027517,724720680,0,139084471
902,86,245580493,4977781,34540,758027517,733586679,0,501864156
903,109,567770569,14072626,34885,758027517,852436339,0,1066249996
928,658,245580493,31563802,34758,860677961,56653484,0,171958105
929,827,245580493,14914544,33877,590808642,122123034,0,594173252
930,1310,245580493,28561942,34683,247522663,177721993,0,416085766
931,1030,245580493,17006675,33943,247522663,337585792,0,820494851
932,404,567770569,5704321,35564,590808642,1046992799,0,92880681
933,955,245580493,10650356,33819,758027517,177305119,0,335365502
934,514,567770569,1826286,35247,247522663,686459885,0,468775544
935,493,567770569,13124701,35695,860677961,964199988,0,799985394
960,347,245580493,8435633,34596,924311831,984004423,0,26766441
961,551,1018611361,24808006,34852,758027517,651611813,0,675288575
962,353,245580493,14489854,34458,860677961,173914810,0,250653820
963,253,245580493,9861354,34478,924311831,293963583,0,805808574
964,752,567770569,20764997,34837,924311831,767712530,0,439351664
965,685,1018611361,4464862,34832,860677961,1046992799,0,435554810
966,134,567770569,14255751,35913,590808642,539571074,0,169806396
967,1099,245580493,23600005,33774,924311831,1002455869,0,761510912
992,538,567770569,18984236,35743,924311831,638700293,0,633411738
993,793,567770569,26963217,34950,924311831,410345819,0,1066689245
994,13,245580493,4987071,34442,860677961,293963583,0,845090772
995,1160,1018611361,18985455,34848,924311831,46395889,0,821384712
996,710,567770569,7187730,35791,247522663,293963583,0,957353595
997,1087,567770569,3983261,35567,590808642,386108032,0,681307198
998,317,245580493,8100981,34662,758027517,906211564,0,382031969
999,602,245580493,22101887,34215,860677961,866386602,0,3778637
1024,35,567770569,24830679,35785,860677961,816613464,0,976681
1025,1027,245580493,11296050,34822,590808642,208729400,0,407889720
1026,712,567770569,4948522,35583,860677961,298070466,0,665520334
1027,1280,245580493,14580689,33756,924311831,956616071,0,260217399
1028,685,245580493,19075543,34333,590808642,998071834,0,363872831
1029,1288,245580493,5778924,34504,590808642,495595268,0,692199535
1030,1340,245580493,2616434,34498,860677961,322982813,0,189896631
1031,37,245580493,20326837,34576,924311831,607832894,0,673727743
1056,275,245580493,4183837,34739,247522663,126960474,0,376845117
1057,760,245580493,17662596,33652,247522663,940291062,0,812783797
1058,530,245580493,13233809,34083,924311831,985912210,0,416705181
1059,1268,245580493,29151965,34390,247522663,210698629,0,481611930
1060,1397,245580493,15524764,34019,924311831,164958564,0,974026722
1061,1027,567770569,19742417,35928,860677961,760221521,0,1012086597
1062,1051,567770569,4844937,35443,247522663,339556927,0,574881005
1063,370,245580493,7695739,34424,590808642,234293394,0,206021769
1088,1469,245580493,5306307,33743,860677961,224850200,0,771097979
1089,481,567770569,14030214,35187,758027517,259614502,0,381490592
1090,172,567770569,3429036,35747,590808642,325706879,0,636177528
1091,829,567770569,4859179,35302,247522663,507414546,0,313071758
1092,1232,1018611361,13166482,34760,924311831,771668230,0,171494738
1093,1007,567770569,12479259,35640,758027517,500563179,0,137469553
1094,1438,567770569,928156,35786,924311831,627228381,0,691290267
1095,1433,567770569,22546698,34931,924311831,490906317,0,271575995
1120,1391,567770569,15258064,35739,924311831,1072110471,0,306411526
1121,281,567770569,36822047,35441,924311831,18474332,0,660282478
1122,1196,567770569,22566019,35438,247522663,921753024,0,1038894695
1123,715,567770569,11515787,35278,924311831,724720680,0,404355822
1124,796,567770569,21476297,36004,860677961,405972883,0,25920058
1125,242,245580493,11286993,34632,590808642,112625251,0,16812674
1126,1433,567770569,8102522,35821,758027517,40896088,0,988636727
1127,575,567770569,12536814,34959,758027517,990920995,0,83511406
1152,490,245580493,7897334,34558,758027517,437697626,0,607149512
1153,1196,567770569,32820715,35171,860677961,349336082,0,764756645
1154,352,245580493,26421346,33647,247522663,313799883,0,713969362
1155,1498,567770569,17027399,35707,590808642,341162289,0,388909935
1156,1318,567770569,33331923,35355,247522663,578488627,0,758776244
1157,968,567770569,13630685,35807,758027517,1025436070,0,911166832
1158,1414,567770569,4317615,35244,590808642,507414546,0,1046772372
1159,685,245580493,6899967,33863,924311831,259557045,0,353728506
1184,886,567770569,5581577,35727,860677961,709647172,0,565969636
1185,736,245580493,6865975,33838,860677961,548367783,0,308251349
1186,589,567770569,8842813,35290,758027517,694054970,0,33734096
1187,1337,245580493,13369935,33926,924311831,682782096,0,467338867
1188,199,567770569,7903059,35164,590808642,500600340,0,308164063
1189,445,245580493,9021924,34431,247522663,375412959,0,792399905
1190,121,567770569,5485243,35503,860677961,165453249,0,669659587
1191,1103,567770569,4172575,35008,924311831,847039617,0,634800047
1216,1220,245580493,11117517,33943,860677961,782336174,0,548290768
1217,64,245580493,6371418,33718,758027517,1009788402,0,69628762
1218,83,245580493,15744210,34503,758027517,218332699,0,1022077516
1219,271,567770569,1189523,34975,924311831,847775751,0,628767793
1220,485,567770569,16436310,35304,247522663,899855473,0,60110434
1221,134,245580493,16486312,33711,758027517,102907119,0,404689072
1222,98,245580493,6143227,34003,924311831,733586679,0,100792154
1223,91,567770569,5064567,35208,758027517,564737425,0,597736457
1248,472,245580493,29511115,33603,247522663,1067588597,0,937677904
1249,1498,245580493,7093922,34337,247522663,212760279,0,498367048
1250,359,245580493,1303654,33874,758027517,348095015,0,501946943
1251,379,567770569,16864606,35731,247522663,931552041,0,942200291
1252,1499,567770569,13554070,35644,860677961,371916609,0,229238444
1253,1145,245580493,13535841,33993,247522663,38691561,0,93423424
1254,698,567770569,14388973,35053,247522663,557279299,0,373378552
1255,1217,245580493,10493574,34482,758027517,694054970,0,131705507
1280,956,245580493,13757992,33978,860677961,122123034,0,193808584
1281,611,245580493,22613240,34677,247522663,839335357,0,805253179
1282,1160,245580493,8555832,33661,758027517,28650422,0,239606088
1283,1165,567770569,29605580,35305,758027517,258249252,0,456329489
1284,1340,567770569,14764795,35069,590808642,125549148,0,425431565
1285,104,245580493,20965604,33754,247522663,938260383,0,1007025212
1286,1087,245580493,30811546,34101,758027517,468819482,0,506028650
1287,173,245580493,18158661,34518,590808642,786713057,0,837839534
1312,1111,245580493,8161103,34471,924311831,1009788402,0,142998
1313,1477,245580493,6923403,34588,247522663,995591926,0,308872402
1314,1424,245580493,6362322,34465,924311831,150337498,0,497716213
1315,215,567770569,18295683,35874,860677961,1030789472,0,1047008732
1316,160,245580493,23291554,34304,247522663,855421397,0,899751242
1317,991,1018611361,17065455,34836,590808642,985912210,0,450487033
1318,1279,567770569,9817050,35971,924311831,415999724,0,975259289
1319,313,567770569,4653350,35333,590808642,184225139,0,148399
1344,170,245580493,6633864,33708,860677961,898905793,0,40319767
1345,943,245580493,16536131,33903,860677961,36179933,0,62798593
1346,748,245580493,22410648,33771,590808642,22513537,0,774913458
1347,403,567770569,24953087,35599,860677961,371517649,0,25325973
1348,175,567770569,14545656,35901,860677961,722563963,0,32092252
1349,637,567770569,4965684,35727,247522663,845680391,0,70168975
1350,508,245580493,7165364,34203,247522663,312472858,0,709160220
1351,1060,567770569,2380626,35903,247522663,172771336,0,389523867
1376,461,567770569,3561706,35552,758027517,890153871,0,806992680
1377,199,567770569,14530374,35907,758027517,1071568259,0,300534792
1378,196,567770569,18420563,35131,758027517,37286363,0,438431937
1379,643,567770569,9825379,35938,860677961,49022169,0,263187799
1380,1363,567770569,13652676,35251,924311831,388124020,0,743940988
1381,1264,567770569,7477186,35938,924311831,817589836,0,909622627
1382,1324,245580493,24626302,34196,860677961,956616071,0,1046532990
1383,1196,245580493,5319734,34084,590808642,149901323,0,276587612
1408,539,567770569,25542400,35788,758027517,325509881,0,223782234
1409,1429,245580493,11957158,33967,758027517,957335786,0,127181669
1410,1123,567770569,15316035,35530,860677961,142949337,0,488122597
1411,946,245580493,22248573,34687,590808642,982628824,0,869018203
1412,529,245580493,11469728,34039,758027517,921753024,0,612472650
1413,907,567770569,11158954,35593,924311831,1000186716,0,290694094
1414,763,567770569,5001242,34925,247522663,980629122,0,646681341
1415,787,245580493,3253528,34481,758027517,406113720,0,255972763
1440,979,567770569,5344702,34919,860677961,906211564,0,166754016
1441,1219,567770569,24331098,35493,758027517,641208018,0,514534552
1442,1106,245580493,883699,34518,758027517,953835268,0,115299097
1443,439,567770569,5917801,35413,860677961,77297755,0,756561939
1444,1333,245580493,29051220,34672,924311831,225545827,0,846028498
1445,1136,245580493,23588822,34707,924311831,951108283,0,824909771
1446,401,567770569,4609369,35840,860677961,183696919,0,71518844
1447,901,245580493,15837104,33890,590808642,133747764,0,993669305
1472,1499,567770569,7273013,35342,860677961,826712983,0,161930838
1473,923,567770569,12542775,35504,924311831,919246113,0,323532727
1474,691,245580493,6960097,34706,247522663,12966480,0,766843246
1475,49,567770569,25293174,35744,590808642,13059923,0,454937391
1476,1447,567770569,2435278,35241,590808642,584821761,0,1002686353
1477,755,567770569,28875223,35664,860677961,1049493627,0,580449927
1478,499,567770569,2754296,35643,590808642,543227711,0,9134960
1479,146,567770569,4171022,35047,758027517,673051396,0,913507584
1504,19,245580493,12534958,33842,924311831,334505173,0,376329386
1505,352,245580493,6159491,33835,590808642,248667514,0,186469898
1506,1462,245580493,26317046,33866,924311831,366263370,0,953197306
1507,1205,245580493,15522623,34254,924311831,678242478,0,833093745
1508,1013,567770569,20772799,35893,860677961,930880366,0,635738578
1509,625,245580493,25299490,34156,860677961,559397731,0,386108188
1510,523,567770569,23515119,35323,860677961,809745971,0,218862633
1511,785,567770569,10304207,35419,758027517,945395508,0,775335430
1536,932,567770569,871758,35454,924311831,930880366,0,346976499
1537,1076,245580493,14458224,33647,758027517,1021580355,0,777348641
1538,290,567770569,21405085,34866,758027517,751632996,0,961397662
1539,1118,245580493,6780122,34766,860677961,1030789472,0,527787252
1540,142,245580493,19177525,33819,590808642,837046011,0,330298962
1541,940,1018611361,7280867,34835,247522663,682691402,0,1068335340
1542,1427,245580493,17757343,34225,924311831,573922503,0,151305697
1543,503,567770569,22171654,35479,247522663,975560201,0,1011343542
1568,167,567770569,10894579,35458,758027517,63253281,0,756197882
1569,1036,567770569,13330913,35885,860677961,874261781,0,1017460368
1570,1223,567770569,5804602,35868,247522663,19653233,0,1062864030
1571,1027,245580493,19419045,33941,590808642,884855171,0,465961251
1572,104,567770569,6426428,35117,590808642,218332699,0,684930651
1573,1480,245580493,12713820,33964,590808642,269165471,0,915717566
1574,1334,567770569,25500995,35409,924311831,748961004,0,118232297
1575,1447,567770569,23853734,34953,924311831,293963583,0,906938976
1600,926,245580493,18807626,34029,924311831,282926681,0,225441228
1601,524,245580493,11692247,34571,860677961,575582352,0,613789717
1602,10,245580493,675157,34184,860677961,287372020,0,853559934
1603,13,245580493,4692046,34179,758027517,1020050460,0,859420216
1604,1123,245580493,13509839,34165,860677961,228331561,0,921976988
1605,577,567770569,19013768,35907,758027517,591697262,0,926905212
1606,530,567770569,18409164,35535,758027517,439878312,0,498077922
1607,1493,567770569,22812453,35047,590808642,885952557,0,349120989
1632,659,567770569,27285459,35436,924311831,781522513,0,403926583
1633,143,567770569,7427627,34984,590808642,235630664,0,111931956
1634,689,567770569,20286617,35316,247522663,1009621959,0,726628429
1635,38,567770569,10728995,35472,924311831,992543266,0,335445732
1636,787,567770569,23203604,35596,924311831,252236510,0,922814949
1637,728,245580493,26491781,34736,758027517,716837086,0,464211159
1638,1390,567770569,22233055,35653,590808642,915900256,0,588673633
1639,44,567770569,15595346,34929,758027517,468819482,0,178330058
1664,640,567770569,22969392,35125,247522663,285253997,0,914822738
1665,757,245580493,721586,34460,590808642,99243347,0,733978789
1666,941,567770569,18746104,34988,247522663,269826860,0,461419706
1667,46,567770569,19369584,35711,590808642,913151119,0,1018209539
1668,1415,567770569,17869486,35621,758027517,35766703,0,1000698448
1669,19,567770569,4192271,35588,924311831,349226793,0,86047419
1670,245,567770569,12908205,35572,590808642,657186658,0,79262520
1671,343,567770569,15515794,35271,758027517,926404682,0,304267934
1696,35,567770569,15911093,35801,758027517,878568058,0,281285135
1697,758,567770569,17305470,35343,247522663,476435750,0,911127607
1698,395,567770569,21291929,35541,590808642,583649395,0,798011104
1699,835,245580493,8770483,34331,247522663,126960474,0,1046219398
1700,649,567770569,11804958,35229,924311831,736581427,0,31465408
1701,1285,245580493,9729023,33741,590808642,634802496,0,612177488
1702,655,1018611361,31339452,34824,590808642,325706879,0,623486864
1703,1334,245580493,15107526,33995,924311831,173914810,0,999557502
1728,631,567770569,18141594,35205,590808642,80541091,0,122126657
1729,1312,245580493,1689597,33741,590808642,462873989,0,1046062123
1730,1234,567770569,19657465,35998,860677961,554517957,0,844112594
1731,1279,567770569,27402371,35068,247522663,313799883,0,232889037
1732,1459,245580493,26100793,34300,860677961,816613464,0,694048718
1733,1475,567770569,19582898,35195,590808642,830609072,0,845088482
1734,64,245580493,5925030,34494,590808642,974419666,0,283537351
1735,206,245580493,12869848,33963,247522663,466569118,0,376530763
1760,1142,567770569,12283052,35200,860677961,873065774,0,662674207
1761,1049,245580493,31035921,34325,590808642,998033793,0,370071637
1762,767,245580493,29367475,34564,758027517,333488854,0,876482457
1763,1205,567770569,19426180,35365,590808642,502155216,0,220482315
1764,283,245580493,6885570,33686,247522663,923240893,0,170634213
1765,727,567770569,5192897,35034,758027517,936933415,0,167068387
1766,1385,567770569,6780359,35348,590808642,445719749,0,613039734
1767,247,1018611361,18464616,34770,590808642,51474997,0,1004510690
1792,472,245580493,17529911,34280,860677961,325596756,0,358335640
1793,178,245580493,10652758,33795,758027517,644132548,0,903051445
1794,1396,567770569,25957258,35699,247522663,418768591,0,185353748
1795,928,245580493,17818968,34410,590808642,476435750,0,760674876
1796,463,245580493,4189326,33927,590808642,656259587,0,1025793551
1797,1243,567770569,6318336,35190,924311831,225790701,0,291290457
1798,517,567770569,4551951,35637,247522663,342869974,0,169685736
1799,601,245580493,6059526,34398,758027517,327403435,0,901693751
1824,482,245580493,10758047,34457,247522663,13059923,0,303472111
1825,1465,245580493,20305719,34306,924311831,322825222,0,824633507
1826,814,245580493,15093179,33708,758027517,388187467,0,1059559841
1827,1051,567770569,32053708,35236,758027517,252293323,0,877752363
1828,314,245580493,19325378,34440,924311831,1030789472,0,894768825
1829,1114,245580493,13869103,34460,590808642,640934389,0,197405893
