U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE
21782,6,4,10,70911
21804,0,1,1,59910
22036,0,1,1,61121
22181,0,1,1,85451
22240,10,9,19,61948
22313,4,1,5,66113
22502,2,1,3,63466
22505,1,4,5,55876
22566,5,9,14,55001
22567,0,3,3,81506
22682,0,2,2,55252
22743,0,1,1,70385
22814,4,7,11,83944
23116,7,2,9,67118
23120,13,2,15,66591
23200,6,6,12,77323
23214,6,1,7,68839
23243,0,1,1,27428
23284,1,1,2,77392
23346,0,0,0,77412
23497,0,0,0,75096
23535,0,0,0,74129
23610,5,8,13,63061
23616,3,3,6,54107
23713,3,2,5,44531
23774,0,1,1,58235
23910,1,1,2,67079
23976,7,8,15,58370
23979,7,12,19,54168
24215,8,7,15,61057
24299,0,1,1,58709
24343,0,0,0,29173
24410,0,1,1,73471
24513,0,1,1,57539
24593,0,1,1,58723
24629,0,1,1,62549
24658,3,3,6,68972
24688,0,0,0,55347
24821,3,5,8,74049
24890,1,1,2,59207
24919,10,3,13,52379
25018,3,1,4,67741
25024,0,1,1,61942
25083,0,0,0,73762
25183,0,2,2,63724
25284,3,5,8,70251
25628,0,0,0,73275
25661,7,7,14,68848
25862,0,0,0,55409
25907,9,9,18,56392
26043,1,2,3,68336
26054,1,0,1,73630
26072,5,6,11,53002
26092,37,12,49,76607
26238,1,1,2,44138
26251,1,1,2,45462
26375,2,4,6,383
26398,30,11,41,69984
26417,4,2,6,57497
26486,14,1,15,49796
26629,5,3,8,30164
26963,3,4,7,72968
26972,1,1,2,59748
27202,0,0,0,58692
27252,7,4,11,57317
27357,1,1,2,55386
27381,5,3,8,23893
27394,2,2,4,81550
27484,17,2,19,78437
27676,5,1,6,75822
27682,0,1,1,80891
27818,2,1,3,78806
27916,0,1,1,73226
27959,0,1,1,55628
27983,1,1,2,21579
28107,2,3,5,73184
28245,1,3,4,56804
28254,4,1,5,55546
28331,0,2,2,76165
28333,0,1,1,55111
28383,3,4,7,57141
28390,9,4,13,81017
28539,1,1,2,66563
28548,7,3,10,78479
28572,0,1,1,86226
28578,1,1,2,79604
28596,0,1,1,66488
28673,7,1,8,67103
28829,0,1,1,43594
28866,1,3,4,21445
28951,6,15,21,79907
28958,0,2,2,71380
28962,13,19,32,13933
28993,3,2,5,71284
29012,8,3,11,82285
29021,6,8,14,16822
29343,0,0,0,25724
29459,0,2,2,55666
29559,0,4,4,38737
29648,10,13,23,82069
29767,0,0,0,64293
29919,0,0,0,71479
29963,0,1,1,76813
30030,3,5,8,36420
30096,3,4,7,57824
30097,2,1,3,59218
30351,1,1,2,77175
30422,0,1,1,59752
30437,1,0,1,64038
30539,4,3,7,53870
30671,0,2,2,76867
31032,0,1,1,63303
31082,0,1,1,71346
31140,2,3,5,50495
31187,3,4,7,44996
31351,5,2,7,62204
31436,1,1,2,65911
31607,3,0,3,78180
31850,4,5,9,28595
31961,1,2,3,73641
31987,0,0,0,60332
32433,1,2,3,76681
32641,3,1,4,75754
32772,1,2,3,85487
32780,2,2,4,62350
32806,0,0,0,38510
33097,0,2,2,61523
33142,0,2,2,60742
33356,1,1,2,73619
33360,1,1,2,79341
33463,0,0,0,8984
33548,3,4,7,56945
33551,3,2,5,56009
33728,2,0,2,48350
33833,8,12,20,6183
33849,1,1,2,71612
33946,2,0,2,1092
33962,0,1,1,55821
34148,1,2,3,73159
34167,0,2,2,76407
34523,0,0,0,83666
34790,3,5,8,7106
35015,0,1,1,72247
35170,1,0,1,31407
35184,7,7,14,61618
35207,3,4,7,73151
35209,1,1,2,76584
35245,0,1,1,74445
35249,0,1,1,74996
35619,0,1,1,50982
35809,6,7,13,61904
35839,20,23,43,58999
35985,0,1,1,72994
36474,0,3,3,83785
36521,4,4,8,65394
36634,2,3,5,55759
36705,1,2,3,66200
36810,8,4,12,57769
36914,1,1,2,75211
36950,1,1,2,55301
36970,0,1,1,35573
37001,6,3,9,55991
37240,0,1,1,55014
37265,2,2,4,40884
37308,3,2,5,73959
37318,2,0,2,74404
37361,0,1,1,43482
37412,0,1,1,67397
37657,2,2,4,55754
37694,1,4,5,55670
37983,1,2,3,60465
38198,0,0,0,73330
38204,1,1,2,75504
38327,3,5,8,68433
38517,4,2,6,9359
38532,0,1,1,60172
38599,0,2,2,82137
38602,9,2,11,70595
38819,6,4,10,5936
38937,2,2,4,34246
39089,21,12,33,35357
39124,18,10,28,71142
39514,1,0,1,77851
39606,0,2,2,73211
39885,18,13,31,70202
39889,27,8,35,66832
40056,0,1,1,76123
40176,1,1,2,82227
40249,0,0,0,71224
40255,1,1,2,71402
40581,4,7,11,67940
40819,0,0,0,22235
40851,0,1,1,55190
40973,38,40,78,67931
41051,0,2,2,60872
41152,2,2,4,61237
41378,0,2,2,64396
41399,0,0,0,76506
41633,0,0,0,61082
41988,0,0,0,86048
42119,0,2,2,73913
42137,1,4,5,50434
42179,3,4,7,20856
42180,4,5,9,21044
42251,1,2,3,69646
42289,0,1,1,42666
42311,0,1,1,73304
42335,3,2,5,50967
42418,2,2,4,21675
42831,8,12,20,24302
42850,0,10,10,48818
42909,12,14,26,72655
42913,0,0,0,48458
42959,1,2,3,55924
43055,2,2,4,71458
43056,2,2,4,73143
43322,2,1,3,72422
43332,0,3,3,7667
43352,0,1,1,50668
43420,0,3,3,59140
43515,6,2,8,36854
43597,6,2,8,82011
43676,2,1,3,55858
43693,0,0,0,53864
43712,1,2,3,70427
43716,4,4,8,78922
43810,1,1,2,80406
43812,1,1,2,80052
43896,1,1,2,74847
43899,0,1,1,76025
43939,1,1,2,73967
43996,1,3,4,71790
44086,1,3,4,81580
44119,1,4,5,73872
44308,5,7,12,84375
44316,2,4,6,72690
44415,0,1,1,77684
44524,2,1,3,63674
44726,1,1,2,22983
44784,0,0,0,44169
44798,0,0,0,68778
44799,1,2,3,59928
44933,6,1,7,75028
44989,1,3,4,74343
45308,0,0,0,19423
45431,3,3,6,73178
45463,2,2,4,71248
45677,0,2,2,58795
46031,0,3,3,68786
46053,0,0,0,54765
46056,3,5,8,49158
46260,0,1,1,75492
46317,0,0,0,79264
46418,5,2,7,59627
46733,4,10,14,74143
46996,1,1,2,6918
47140,0,0,0,77958
47220,0,1,1,66697
47223,1,1,2,47420
47309,1,1,2,59376
47321,2,1,3,85773
47402,1,1,2,63132
47460,8,7,15,68033
47469,0,0,0,64113
47498,4,4,8,28086
47499,6,1,7,12657
47517,2,4,6,9657
47519,1,0,1,28222
47615,1,2,3,66631
47619,0,1,1,2846
48084,0,1,1,58940
48226,8,8,16,58105
48344,0,0,0,21414
48768,9,1,10,66439
48985,0,1,1,54992
49184,5,5,10,71158
49217,1,1,2,67636
49605,0,1,1,59149
49841,0,0,0,61563
50041,0,2,2,63890
50114,1,5,6,62095
50218,10,10,20,44873
50219,8,12,20,2624
50222,1,1,2,6296
50231,5,4,9,6468
50241,4,14,18,79355
50266,3,2,5,65454
50295,3,5,8,5876
50315,2,4,6,71499
50319,2,2,4,73566
50322,1,3,4,73143
50353,4,3,7,74542
50434,13,3,16,60114
50512,1,1,2,26514
50570,0,2,2,74629
50862,1,1,2,83263
50910,12,14,26,29209
50952,1,2,3,60852
50962,3,8,11,31608
51071,0,2,2,73154
51166,8,1,9,69883
51177,12,7,19,46270
51241,6,8,14,47843
51319,12,21,33,67971
51580,1,1,2,79451
51638,0,0,0,62040
51652,2,3,5,55003
51682,0,1,1,71498
51702,0,0,0,73277
51816,1,0,1,71412
51853,2,1,3,54809
51856,2,3,5,48493
51992,0,1,1,73147
52013,0,0,0,63742
52093,0,0,0,76106
52210,1,1,2,72171
52293,3,4,7,73254
52322,1,3,4,71249
52361,1,0,1,73118
52730,1,1,2,59237
52936,1,4,5,15146
52944,0,1,1,57382
53100,0,1,1,79016
53144,0,1,1,65156
53189,1,2,3,73552
53243,0,0,0,71449
53281,0,1,1,71522
53302,0,2,2,74245
53393,0,1,1,60943
53478,3,3,6,73427
53575,5,10,15,64687
53613,1,0,1,71272
53718,3,1,4,67394
53787,4,4,8,67398
53800,8,7,15,67563
53810,3,3,6,68000
53819,4,4,8,68413
53859,8,8,16,67864
53967,17,4,21,22158
54028,0,0,0,72357
54312,0,1,1,68406
54656,0,4,4,70161
54738,0,1,1,55560
54755,2,9,11,43653
54873,1,1,2,9056
55807,0,1,1,58370
55976,1,4,5,74187
56132,0,3,3,55644
56426,20,3,23,34824
56536,0,2,2,83350
56543,0,1,1,71449
56903,1,2,3,55678
57114,1,0,1,42677
57254,5,6,11,73074
57367,2,4,6,82526
57434,1,1,2,77328
57473,0,0,0,71319
57623,1,1,2,35185
57648,5,6,11,54945
57721,1,1,2,59315
57977,3,5,8,71496
57993,2,2,4,71580
58294,7,0,7,29802
58488,1,1,2,57481
58711,0,0,0,75635
58769,0,3,3,59021
58870,1,1,2,71426
58939,1,3,4,71153
58990,0,0,0,78308
58994,0,0,0,39140
59000,23,29,52,33971
59072,1,1,2,54905
59173,1,1,2,42935
59343,7,6,13,7929
59356,2,1,3,71342
59549,0,0,0,77135
59602,0,1,1,77473
60049,2,6,8,38712
60201,1,2,3,50233
60587,1,1,2,59763
60845,3,4,7,45866
60857,3,2,5,56225
61142,0,0,0,27930
61293,3,3,6,75125
61687,0,1,1,77106
61732,3,1,4,59667
61740,0,5,5,73351
61742,0,1,1,75573
62001,2,3,5,73138
62086,1,2,3,12315
62118,0,1,1,66255
62353,3,4,7,64636
62455,0,0,0,60245
62551,1,1,2,76588
62564,1,2,3,72222
62576,0,1,1,76884
62877,1,3,4,68067
62883,0,2,2,70974
63070,1,3,4,70945
63090,0,1,1,74029
63144,2,1,3,21663
63279,1,0,1,66561
63365,0,1,1,80252
63386,0,1,1,71976
63406,0,0,0,56269
63480,2,2,4,73859
63483,0,1,1,65367
63486,2,2,4,76247
63644,2,2,4,67890
63839,2,2,4,30700
64257,1,2,3,72934
64327,1,1,2,73554
64367,0,2,2,68004
64375,0,1,1,4724
64413,0,1,1,42198
64528,2,2,4,55585
64606,1,1,2,58286
64723,1,2,3,73191
64729,6,7,13,71247
64911,26,29,55,17714
64965,24,1,25,75569
64987,7,7,14,47784
64998,0,2,2,13421
65032,3,3,6,68986
65106,0,1,1,67319
65159,0,3,3,76505
65187,1,1,2,61591
65223,0,1,1,76011
65253,0,1,1,71175
65474,1,2,3,58701
65528,0,1,1,66173
65644,1,4,5,85963
65774,3,5,8,74635
65851,1,1,2,67152
65919,4,3,7,21211
66002,1,1,2,78460
66279,6,5,11,73293
66383,4,5,9,10975
66917,1,3,4,78793
67062,9,2,11,74256
67371,4,7,11,26134
67382,29,6,35,14050
67503,4,0,4,20930
67504,8,23,31,82857
67515,4,3,7,36402
67517,11,17,28,21189
67601,0,1,1,70476
67614,0,0,0,55918
67868,1,1,2,23797
68221,0,1,1,59531
68223,1,2,3,31560
68391,0,0,0,49800
68498,1,1,2,43801
68539,2,2,4,75067
68939,2,1,3,62998
69034,0,1,1,75867
69269,3,3,6,63163
69308,0,2,2,67025
69515,0,0,0,55347
69642,12,13,25,74522
70057,0,2,2,47240
70071,0,0,0,55949
70111,0,1,1,58218
70301,6,9,15,11039
70408,2,2,4,69756
70524,1,1,2,74611
70629,0,1,1,71358
70654,0,1,1,71523
70889,0,1,1,78085
71072,2,2,4,74445
71133,1,1,2,78284
71148,0,1,1,51616
71246,1,2,3,73252
71430,2,4,6,58310
71485,7,2,9,71176
71729,0,0,0,40646
71897,1,1,2,58514
71909,2,2,4,69815
72135,0,1,1,64879
72252,3,3,6,58631
72388,0,2,2,75260
73034,2,1,3,84378
73365,15,18,33,80664
73367,18,19,37,17055
73371,0,2,2,59591
73442,0,1,1,67596
73591,0,2,2,68433
73604,0,0,0,83307
73709,4,6,10,76802
73710,7,6,13,76862
73725,0,2,2,46190
73788,0,2,2,57258
73813,4,4,8,59043
73861,2,2,4,76557
74376,1,3,4,76097
74713,0,0,0,56230
74745,1,1,2,66294
74765,1,3,4,68699
74936,1,3,4,56894
74938,2,1,3,55504
75083,5,10,15,932
75409,1,0,1,85874
75467,2,2,4,15078
75470,5,10,15,5791
75578,1,2,3,67040
75580,0,1,1,63705
75689,1,2,3,59518
76102,0,0,0,76594
76132,2,3,5,58590
76165,7,1,8,38371
76273,0,0,0,47454
76471,0,1,1,73149
76920,3,2,5,78136
76940,0,3,3,58330
77058,0,1,1,18908
77138,5,4,9,74201
77346,0,1,1,60696
77400,0,0,0,72261
77457,1,1,2,63155
77464,2,2,4,63553
77562,0,1,1,79406
77602,1,2,3,66804
77616,2,1,3,57907
77700,3,7,10,71366
77768,0,0,0,55067
77846,1,4,5,52243
77864,0,9,9,62276
77943,0,0,0,68416
77982,0,1,1,41542
77999,0,1,1,30155
78041,0,1,1,67424
78043,0,1,1,73564
78109,0,1,1,71874
78238,0,0,0,78778
78328,6,5,11,57563
78347,4,3,7,54984
78406,1,1,2,64867
78556,0,0,0,72314
78593,0,0,0,63457
78750,1,2,3,56045
78770,2,3,5,72506
79185,1,2,3,63235
79338,0,1,1,55676
79460,1,1,2,65827
79657,0,5,5,74452
79743,0,1,1,57095
80035,0,1,1,73667
80077,1,1,2,43738
80084,3,3,6,46190
80101,5,17,22,3830
80163,1,2,3,75288
80281,3,3,6,68942
80592,1,2,3,77009
80818,6,6,12,71712
80858,0,0,0,71199
80888,4,4,8,77129
80952,2,19,21,57147
81105,0,1,1,29668
81173,0,1,1,70526
81181,3,5,8,22713
81202,0,1,1,66632
81241,1,1,2,85657
81405,1,11,12,73222
81602,1,4,5,68058
81666,0,1,1,69982
81674,13,15,28,74699
81699,2,1,3,84162
81933,1,2,3,79095
82142,0,0,0,44515
82461,0,1,1,41710
82679,1,1,2,49657
82686,1,1,2,73319
82689,1,1,2,73106
82732,0,0,0,8147
82741,14,16,30,44030
82781,1,2,3,72786
82834,0,0,0,81999
82861,1,1,2,77791
83119,0,1,1,73094
83479,6,4,10,52224
83622,0,0,0,49892
83970,3,4,7,75275
84112,2,1,3,11320
84225,1,3,4,82864
84647,22,13,35,47062
84752,0,3,3,85327
84953,0,0,0,60750
85090,2,3,5,73671
85441,0,1,1,61243
85847,0,1,1,58174
86079,0,0,0,72812
86180,0,0,0,16121
86271,1,1,2,63346
86903,6,9,15,71387
86932,0,2,2,73392
86995,1,1,2,74673
87074,0,1,1,10157
87268,0,1,1,74580
87330,4,2,6,46929
87397,0,0,0,36694
87449,2,0,2,80467
87639,0,1,1,57439
87770,1,1,2,76375
87889,0,1,1,55924
87890,1,2,3,55761
87987,1,0,1,73240
88078,1,1,2,7250
88491,0,1,1,66028
88540,0,0,0,42207
88816,1,1,2,57378
88838,4,8,12,72020
88963,1,1,2,80612
89248,0,1,1,57669
89619,1,2,3,57001
89805,7,11,18,3670
89807,7,20,27,26185
89922,0,1,1,66707
90366,0,3,3,61335
90459,0,1,1,56280
91140,0,0,0,63742
91965,1,5,6,59864
91992,0,2,2,55967
92037,7,10,17,67302
92153,2,1,3,796
92219,1,2,3,65768
92221,2,4,6,72940
92274,19,6,25,36889
92499,0,1,1,74477
92528,0,0,0,59886
92688,5,8,13,51010
93106,6,6,12,74459
93171,13,22,35,34258
93195,0,1,1,56686
93249,0,1,1,75968
93252,12,9,21,11767
93269,6,1,7,2881
93274,14,17,31,14133
93279,15,11,26,59631
93293,12,15,27,40524
93294,0,2,2,77739
93308,16,16,32,14821
93314,11,10,21,32635
93317,6,6,12,16597
93321,8,12,20,17329
93336,3,6,9,22922
93337,14,15,29,11027
93339,2,2,4,41894
93480,3,4,7,74357
93481,3,3,6,74967
93488,7,7,14,65909
93596,0,1,1,74634
93601,6,2,8,73721
93620,0,1,1,60008
94062,2,3,5,72309
94269,1,1,2,49539
94830,1,4,5,30797
94880,8,2,10,66087
95037,1,1,2,72369
95235,6,1,7,73983
95455,1,1,2,55154
95586,1,1,2,47016
95644,0,3,3,57107
95660,2,1,3,74519
95697,1,2,3,47097
95728,0,2,2,25962
95829,1,1,2,73858
95835,1,0,1,74422
95848,5,16,21,37217
95935,0,0,0,76650
96291,14,19,33,58472
96537,0,1,1,21846
96734,1,1,2,74664
96823,0,0,0,71706
96937,0,1,1,66734
97154,0,1,1,10293
97227,0,1,1,71726
97293,2,2,4,57057
97301,1,2,3,57838
97382,0,1,1,82290
97385,1,1,2,82545
97560,1,0,1,55354
97871,0,0,0,80270
97881,0,1,1,80665
97979,1,2,3,73261
98075,0,0,0,62758
98100,2,2,4,74471
98311,1,1,2,74878
98430,1,3,4,77354
98453,2,16,18,31267
98473,0,0,0,66063
98625,0,1,1,73961
98639,4,5,9,73349
98829,0,4,4,74853
98831,0,0,0,70872
98863,0,0,0,75394
99258,0,2,2,463
99364,1,1,2,63075
99393,0,2,2,77747
99573,1,3,4,72869
99707,1,2,3,58700
99846,0,0,0,55498
99919,3,2,5,78684
100127,10,4,14,80229
100152,0,0,0,75381
100196,1,0,1,67766
100306,0,1,1,51060
100316,0,1,1,72128
100414,7,3,10,50157
100771,0,1,1,44038
100868,0,0,0,51859
101109,2,4,6,20267
101209,0,1,1,38235
101238,0,4,4,18849
101550,0,0,0,65214
101816,0,0,0,38972
101906,0,1,1,56931
101977,3,2,5,74576
102223,0,0,0,82720
102406,0,1,1,71349
102461,0,1,1,83598
102477,0,2,2,71162
102661,0,1,1,80748
102804,0,1,1,61570
103135,0,0,0,84994
103447,16,24,40,20064
103550,0,1,1,81988
103759,2,3,5,58790
103787,1,1,2,74552
104057,1,1,2,60745
104059,1,0,1,56324
104321,0,0,0,1994
104498,0,0,0,5639
104521,0,2,2,71128
104541,1,1,2,52868
104567,8,9,17,27945
104571,8,13,21,71559
104889,1,1,2,77486
105041,0,1,1,83015
105170,1,1,2,70356
105363,0,1,1,14983
105407,1,0,1,13499
105544,1,2,3,61081
105545,1,2,3,30045
105828,0,2,2,70797
105834,0,1,1,74163
106209,7,15,22,42714
106211,1,2,3,71002
106217,2,2,4,46120
106221,1,7,8,53313
106247,0,0,0,60193
106569,3,0,3,73447
106570,4,1,5,71117
106644,0,2,2,59689
106666,1,4,5,55426
106741,0,1,1,79121
106748,2,2,4,57100
106880,0,1,1,66459
107006,0,3,3,55328
107353,1,1,2,61284
107376,0,0,0,50973
107442,2,2,4,74500
107585,2,2,4,53095
107619,0,0,0,54888
107640,0,0,0,10292
107693,1,3,4,60926
107743,2,6,8,47928
108133,10,11,21,72774
108380,2,3,5,55404
108383,2,6,8,59562
108653,0,2,2,69749
108801,1,1,2,58034
108920,4,0,4,75013
109001,0,0,0,78301
109047,0,0,0,59487
109113,1,2,3,66434
109246,4,10,14,73896
109391,3,2,5,13702
109527,1,7,8,26296
109648,0,4,4,78960
109994,2,2,4,76195
110093,3,3,6,57908
110170,1,3,4,73416
110262,0,0,0,57045
110388,1,1,2,62774
110442,0,1,1,74522
110463,0,3,3,74592
110577,1,2,3,38779
110592,0,6,6,61628
111005,0,0,0,72868
111181,1,2,3,72400
111185,0,2,2,73469
111592,2,3,5,71538
111627,2,3,5,81274
111730,0,1,1,73295
111732,1,1,2,75781
111821,0,0,0,42327
112018,0,1,1,72383
112582,0,1,1,68230
112667,0,0,0,44874
112862,1,3,4,59004
113078,0,1,1,38681
113135,1,1,2,72890
113232,2,1,3,55602
113319,1,1,2,73170
113395,2,2,4,73383
113400,1,2,3,73279
113774,0,0,0,79671
114104,0,2,2,73250
114140,0,0,0,65137
114247,0,0,0,84877
114351,0,1,1,6242
114456,0,0,0,51451
114693,0,0,0,81469
114857,0,0,0,71585
115005,0,6,6,59194
115038,4,6,10,70065
115567,0,1,1,71991
115818,1,1,2,37404
115840,0,0,0,68173
115889,0,0,0,67007
115966,0,1,1,62988
116284,0,1,1,71183
116323,5,5,10,46468
116633,5,3,8,77392
116686,1,2,3,71736
116940,1,2,3,74235
117033,1,1,2,70372
117051,0,1,1,55853
117693,0,0,0,72476
118274,0,2,2,72759
118326,0,1,1,56051
118365,4,5,9,46320
118370,1,2,3,46501
118375,0,0,0,45362
118513,3,3,6,77266
118514,1,1,2,81895
118574,0,3,3,84843
118602,0,0,0,65233
118814,0,1,1,73572
118927,1,2,3,68354
118970,1,2,3,54917
118988,0,1,1,77654
119282,0,3,3,68524
119364,0,0,0,83469
119553,0,1,1,29346
119704,1,1,2,78557
119705,1,1,2,80981
119769,6,6,12,70418
119840,0,1,1,15998
120050,1,2,3,66962
120115,0,0,0,70715
120131,1,1,2,71757
120250,7,8,15,6520
120301,0,0,0,71151
120327,3,5,8,15066
121586,10,5,15,78992
121801,4,5,9,73870
121887,1,1,2,74483
121932,4,6,10,9668
122087,3,1,4,56479
122106,1,1,2,43591
122190,3,2,5,36425
122193,0,2,2,21971
122529,8,9,17,25761
122663,4,3,7,74194
122711,2,1,3,83056
122729,0,1,1,44824
122756,0,1,1,74131
122939,1,0,1,50929
123165,18,13,31,67999
123568,1,1,2,77626
123982,1,1,2,75198
124086,0,1,1,71605
124110,0,1,1,63808
124298,0,1,1,66114
124342,0,1,1,55660
124378,11,14,25,72635
124379,3,3,6,38025
124398,9,3,12,63936
124410,0,0,0,78809
124454,0,1,1,25169
124549,0,1,1,58709
124898,0,0,0,71199
124904,0,0,0,37506
125077,0,1,1,65732
125393,1,2,3,66511
125419,2,2,4,65995
125427,1,1,2,71555
125436,1,2,3,70622
125614,0,0,0,60251
125640,1,1,2,75539
126099,1,2,3,75882
126231,0,1,1,79503
126458,1,2,3,69883
126479,1,1,2,55803
126500,1,2,3,45930
126571,2,2,4,57827
126658,1,1,2,22783
126714,2,3,5,57133
126734,0,0,0,49274
126814,1,5,6,34817
126878,0,2,2,73503
127808,0,0,0,20035
128234,0,0,0,64228
128270,0,1,1,78109
128344,2,3,5,73209
128623,0,0,0,52527
128727,0,0,0,31338
128811,1,1,2,27055
128817,0,1,1,58894
128871,2,3,5,58114
129289,0,0,0,82657
129336,0,2,2,67939
129341,3,6,9,57113
129505,2,2,4,36030
129924,0,6,6,61080
129929,2,5,7,77236
130080,0,2,2,65835
130153,1,1,2,73429
130535,1,2,3,55397
130582,0,1,1,58476
130621,6,3,9,6016
130622,12,13,25,74568
130712,1,1,2,22150
130733,0,1,1,69365
130757,2,5,7,47272
130761,0,4,4,75486
130791,0,1,1,47585
