F1_FOLLOWER,F1_FOLLOWED,U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE,U2_USERKEY,U2_INDEG,U2_OUTDEG,U2_ACTIVITY,U2_JOINDATE,F2_FOLLOWER,F2_FOLLOWED
59000,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
60845,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
60845,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
60845,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
69642,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
69642,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
69642,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
81674,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
81674,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
81674,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
93106,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
93106,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
93106,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
96291,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
96291,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
96291,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
118365,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
118365,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
118365,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
124378,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
124378,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
124378,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
132827,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
132827,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
132827,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
143546,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
143546,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
143546,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
147997,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,119769
147997,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,53859
147997,123165,123165,18,13,31,67999,53810,3,3,6,68000,53810,228557
4310,4394,4394,5,3,8,58368,55807,0,1,1,58370,55807,510
16970,4394,4394,5,3,8,58368,55807,0,1,1,58370,55807,510
145918,4394,4394,5,3,8,58368,55807,0,1,1,58370,55807,510
158097,4394,4394,5,3,8,58368,55807,0,1,1,58370,55807,510
183976,4394,4394,5,3,8,58368,55807,0,1,1,58370,55807,510
4310,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
14544,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
33360,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
44989,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
50315,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
53281,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
63386,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
64729,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
71485,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
113400,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
115567,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
148526,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
243571,8702,8702,13,2,15,71341,59356,2,1,3,71342,59356,265408
57254,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,8755
57254,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,20358
57254,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,1805
57254,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,59356
57254,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,61732
66279,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,8755
66279,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,20358
66279,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,1805
66279,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,59356
66279,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,61732
93601,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,8755
93601,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,20358
93601,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,1805
93601,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,59356
93601,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,61732
121801,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,8755
121801,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,20358
121801,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,1805
121801,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,59356
121801,98639,98639,4,5,9,73349,61740,0,5,5,73351,61740,61732
45431,95829,95829,1,1,2,73858,63480,2,2,4,73859,63480,53478
45431,95829,95829,1,1,2,73858,63480,2,2,4,73859,63480,63486
