U1_USERKEY,U1_INDEG,U1_OUTDEG,U1_ACTIVITY,U1_JOINDATE,U2_USERKEY,U2_INDEG,U2_OUTDEG,U2_ACTIVITY,U2_JOINDATE,U3_USERKEY,U3_INDEG,U3_OUTDEG,U3_ACTIVITY,U3_JOINDATE
370624,0,2,2,67183,356993,0,0,0,67184,150704,0,1,1,67187
370624,0,2,2,67183,356993,0,0,0,67184,153386,1,5,6,67185
356993,0,0,0,67184,153386,1,5,6,67185,150704,0,1,1,67187
370624,0,2,2,67183,153386,1,5,6,67185,150704,0,1,1,67187
208505,0,0,0,67287,132829,14,22,36,67288,165573,0,0,0,67290
53718,3,1,4,67394,37412,0,1,1,67397,53787,4,4,8,67398
348573,0,1,1,67394,37412,0,1,1,67397,53787,4,4,8,67398
49217,1,1,2,67636,291044,0,1,1,67638,248899,0,1,1,67641
25018,3,1,4,67741,373515,0,1,1,67742,295413,0,1,1,67745
454814,0,1,1,67741,373515,0,1,1,67742,295413,0,1,1,67745
100196,1,0,1,67766,225122,0,1,1,67767,167739,0,2,2,67768
12641,7,2,9,68368,276745,0,1,1,68369,179622,4,9,13,68371
164031,0,0,0,69128,215785,0,1,1,69131,322465,0,1,1,69132
164031,0,0,0,69128,286355,0,0,0,69131,322465,0,1,1,69132
430600,0,1,1,69128,215785,0,1,1,69131,322465,0,1,1,69132
430600,0,1,1,69128,286355,0,0,0,69131,322465,0,1,1,69132
453599,0,0,0,69252,149249,0,1,1,69255,397128,1,2,3,69256
375746,0,0,0,69554,11876,33,15,48,69557,383308,0,2,2,69560
16433,1,1,2,70155,305864,0,0,0,70158,54656,0,4,4,70161
413395,0,0,0,70322,289650,0,1,1,70323,171763,2,2,4,70324
170787,0,0,0,71173,65253,0,1,1,71175,71485,7,2,9,71176
325810,0,0,0,71173,65253,0,1,1,71175,71485,7,2,9,71176
80858,0,0,0,71199,426445,0,0,0,71200,230147,0,0,0,71203
124898,0,0,0,71199,426445,0,0,0,71200,230147,0,0,0,71203
131538,1,3,4,71237,12042,4,4,8,71238,142408,0,1,1,71239
64729,6,7,13,71247,45463,2,2,4,71248,52322,1,3,4,71249
184039,1,1,2,71277,287057,0,1,1,71278,405667,0,0,0,71281
287057,0,1,1,71278,405667,0,0,0,71281,28993,3,2,5,71284
134853,0,0,0,71475,273748,0,0,0,71478,29919,0,0,0,71479
134853,0,0,0,71475,273748,0,0,0,71478,404617,1,1,2,71481
273748,0,0,0,71478,29919,0,0,0,71479,404617,1,1,2,71481
273748,0,0,0,71478,29919,0,0,0,71479,445427,0,1,1,71482
29919,0,0,0,71479,404617,1,1,2,71481,445427,0,1,1,71482
273748,0,0,0,71478,404617,1,1,2,71481,445427,0,1,1,71482
353709,0,0,0,71494,57977,3,5,8,71496,19535,1,1,2,71498
353709,0,0,0,71494,57977,3,5,8,71496,50315,2,4,6,71499
353709,0,0,0,71494,57977,3,5,8,71496,51682,0,1,1,71498
57977,3,5,8,71496,19535,1,1,2,71498,50315,2,4,6,71499
57977,3,5,8,71496,51682,0,1,1,71498,50315,2,4,6,71499
19535,1,1,2,71498,50315,2,4,6,71499,329378,0,1,1,71502
51682,0,1,1,71498,50315,2,4,6,71499,329378,0,1,1,71502
57977,3,5,8,71496,50315,2,4,6,71499,329378,0,1,1,71502
50315,2,4,6,71499,329378,0,1,1,71502,228557,1,2,3,71505
328165,0,0,0,71572,8794,1,0,1,71573,147322,0,0,0,71575
234955,0,2,2,71915,8897,2,3,5,71918,226133,0,0,0,71920
146284,0,0,0,72062,273680,0,0,0,72064,169614,2,3,5,72067
278548,0,0,0,72387,332563,0,1,1,72388,144568,0,1,1,72390
212363,0,1,1,72399,111181,1,2,3,72400,175065,3,4,7,72401
375626,0,1,1,72437,4884,2,2,4,72440,304826,0,0,0,72442
51992,0,1,1,73147,279049,0,1,1,73148,35207,3,4,7,73151
51992,0,1,1,73147,279049,0,1,1,73148,76471,0,1,1,73149
51992,0,1,1,73147,76471,0,1,1,73149,35207,3,4,7,73151
279049,0,1,1,73148,76471,0,1,1,73149,35207,3,4,7,73151
76471,0,1,1,73149,35207,3,4,7,73151,51071,0,2,2,73154
279049,0,1,1,73148,35207,3,4,7,73151,51071,0,2,2,73154
35207,3,4,7,73151,51071,0,2,2,73154,409193,0,0,0,73157
51071,0,2,2,73154,409193,0,0,0,73157,34148,1,2,3,73159
10091,3,2,5,73168,113319,1,1,2,73170,365400,0,1,1,73173
382529,0,0,0,73177,45431,3,3,6,73178,420683,0,1,1,73179
382529,0,0,0,73177,421925,0,0,0,73178,420683,0,1,1,73179
14333,0,1,1,73188,166476,1,4,5,73189,64723,1,2,3,73191
14333,0,1,1,73188,64723,1,2,3,73191,139726,2,6,8,73194
166476,1,4,5,73189,64723,1,2,3,73191,139726,2,6,8,73194
208641,2,1,3,73217,11992,1,1,2,73220,81405,1,11,12,73222
114104,0,2,2,73250,71246,1,2,3,73252,52293,3,4,7,73254
25628,0,0,0,73275,51702,0,0,0,73277,113400,1,2,3,73279
51702,0,0,0,73277,113400,1,2,3,73279,213792,0,3,3,73281
51702,0,0,0,73277,113400,1,2,3,73279,393956,0,1,1,73281
113400,1,2,3,73279,213792,0,3,3,73281,137059,0,2,2,73283
113400,1,2,3,73279,393956,0,1,1,73281,137059,0,2,2,73283
422010,0,1,1,73347,98639,4,5,9,73349,61740,0,5,5,73351
53478,3,3,6,73427,191510,0,4,4,73428,14544,1,1,2,73431
53478,3,3,6,73427,191510,0,4,4,73428,130153,1,1,2,73429
53478,3,3,6,73427,130153,1,1,2,73429,14544,1,1,2,73431
191510,0,4,4,73428,130153,1,1,2,73429,14544,1,1,2,73431
214025,4,4,8,73445,106569,3,0,3,73447,394570,0,1,1,73449
393373,1,2,3,73455,405864,1,1,2,73456,379028,0,0,0,73457
111185,0,2,2,73469,153003,0,1,1,73470,24410,0,1,1,73471
111185,0,2,2,73469,153003,0,1,1,73470,212866,0,1,1,73471
111185,0,2,2,73469,153003,0,1,1,73470,337558,0,1,1,73471
111185,0,2,2,73469,294978,0,0,0,73470,24410,0,1,1,73471
111185,0,2,2,73469,294978,0,0,0,73470,212866,0,1,1,73471
111185,0,2,2,73469,294978,0,0,0,73470,337558,0,1,1,73471
53189,1,2,3,73552,64327,1,1,2,73554,159620,1,4,5,73556
426569,0,0,0,73552,64327,1,1,2,73554,159620,1,4,5,73556
399920,0,0,0,73684,272273,0,1,1,73685,270306,0,1,1,73688
95829,1,1,2,73858,63480,2,2,4,73859,1160,3,3,6,73860
319162,0,2,2,73904,435474,0,1,1,73905,18973,0,1,1,73908
18906,2,3,5,74168,244093,0,1,1,74169,195555,0,1,1,74172
244093,0,1,1,74169,195555,0,1,1,74172,298696,1,1,2,74175
264874,0,2,2,74540,50353,4,3,7,74542,448155,0,2,2,74543
103787,1,1,2,74552,339266,0,1,1,74555,178634,0,1,1,74556
286030,1,1,2,75022,411443,0,1,1,75025,44933,6,1,7,75028
133841,0,0,0,75085,330384,0,1,1,75088,220557,0,0,0,75091
405525,0,0,0,76414,311589,0,1,1,76416,370877,0,2,2,76419
62551,1,1,2,76588,170844,0,0,0,76589,452423,0,0,0,76590
30671,0,2,2,76867,202479,2,1,3,76869,419191,0,1,1,76871
332366,0,0,0,76867,202479,2,1,3,76869,419191,0,1,1,76871
1118,5,4,9,77230,138739,0,0,0,77233,129929,2,5,7,77236
284882,0,1,1,78920,43716,4,4,8,78922,8760,0,0,0,78923
216365,1,1,2,79926,2325,2,3,5,79929,243643,1,2,3,79931
20411,0,0,0,81271,111627,2,3,5,81274,198907,0,1,1,81276
