F2_FOLLOWER,F2_FOLLOWED
12042,33551
33642,14064
33642,33648
33962,4
34300,6940
34300,14064
34300,7551
34300,30225
13720,34523
13720,34531
13720,34537
5695,621
5695,4
35077,4
35077,3360
35077,35090
35077,2417
35077,16210
28102,2948
28102,28115
28102,35265
28102,7551
28102,26043
28102,20947
28102,31797
28102,35304
3117,4
3117,3120
3117,88
3117,2753
3117,3994
3117,35652
3533,14907
3533,35722
3533,3604
3533,35727
3533,3013
3533,35729
3533,15513
3533,2177
3533,35731
3562,4619
3562,7394
3562,9304
3562,4514
3562,7801
3562,32746
3562,36474
13937,438
13937,10985
13937,7617
13937,20876
6193,3262
6193,4
6193,6184
6193,389
6193,36950
6193,1385
6193,308
6193,4129
6193,36956
23414,28375
2301,2298
2301,1262
2301,14392
39410,9305
39410,11036
39410,88
39410,2753
39410,6081
39410,11050
39410,8391
39410,4364
39410,26370
39410,4378
39410,3998
39410,22236
39410,8122
8633,2149
8633,4
8633,16901
8633,6329
8633,24954
8633,24370
8633,16571
8633,40201
22869,2445
22869,1357
22869,9731
22869,40851
22869,26067
22869,40857
22869,40861
15013,25988
15013,16038
15013,41136
15013,30030
15013,2746
41146,7684
41146,41152
41146,4567
3952,4
3952,1043
3952,1357
3952,3962
3952,461
3952,4475
3952,1912
3952,71
3952,2417
41378,3369
41378,16649
41384,7551
41384,88
2426,228
2426,4
2426,1309
2426,22446
2426,7377
2426,1357
2426,1609
2426,42137
2426,2465
2426,2325
2426,1118
2426,308
2426,1551
2426,40176
2426,42160
19335,4
19335,88
19335,2696
44119,4
44119,37318
44119,37325
44119,88
44119,38572
44119,43867
44119,38602
44119,22814
44119,44141
5524,4
44492,44493
45091,88
9090,9311
9090,37785
2303,4
2303,25706
2303,88
2303,11991
2303,13798
2303,7501
12045,88
12045,308
12045,885
12045,912
22727,38572
22727,46726
22727,46730
22727,46733
22727,22808
22727,46754
22727,46759
45898,1262
45898,32806
47179,4
32772,2298
32772,5265
32772,15688
32772,1262
32772,47868
5948,4
5948,29710
5948,461
5948,48438
5948,48441
5948,30311
5948,47885
5948,21929
5948,25291
5948,13116
5948,550
5948,48453
5948,48455
5948,4378
5948,7271
5948,41655
5948,6053
5948,27676
5948,48485
49040,18852
49040,49041
49040,308
4407,3262
4407,4
4407,5265
4407,22450
4407,439
4407,11036
4407,1276
4407,461
4407,468
4407,7476
4407,308
4407,5226
4407,49080
4407,49082
4407,492
4407,502
4407,49086
4407,42069
4407,511
4407,49090
4407,4177
4407,319
4407,48277
4407,3603
4407,5137
4407,30153
4407,26398
4407,11677
4407,5281
4407,15196
4407,23956
4407,27816
4407,71
4407,13123
4407,11135
4407,42815
4407,24704
4407,3013
4407,13516
4407,1999
4407,44883
4407,13820
4407,14957
4407,38804
4407,49125
4407,49131
4407,49138
49249,88
49249,71
49249,11569
49249,49254
33833,50216
33833,4665
33833,50217
33833,50218
33833,46283
33833,50219
33833,1276
33833,88
33833,50222
33833,468
33833,3972
33833,3604
33833,8855
33833,50227
33833,43722
33833,50231
33833,553
33833,3994
33833,2173
33833,50241
33833,50242
33833,50244
33833,26091
33833,26092
33833,50250
33833,50265
33833,50266
33833,14957
33833,50279
33833,40191
33833,50286
33833,9021
33833,38819
33833,27723
33833,50295
33833,35376
33833,50300
33833,9036
6982,50882
6982,22450
6982,2369
6982,11036
6982,2374
6982,88
6982,5226
6982,42984
6982,47460
6982,22458
6982,12745
6982,4412
6982,492
6982,18309
6982,6078
6982,13773
6982,50897
6982,7779
6982,2753
6982,50899
6982,50901
6982,511
6982,4177
6982,26072
6982,3603
6982,8391
6982,50910
6982,23956
6982,18086
6982,553
6982,23958
6982,36093
6982,9964
6982,13123
6982,23960
6982,13798
6982,13131
6982,50930
6982,2175
6982,12751
6982,13808
6982,18506
6982,19284
6982,13139
6982,35184
6982,2177
6982,50938
6982,9604
6982,50940
6982,17185
6982,23973
6982,50948
6982,50952
6982,50962
6982,23976
6982,48281
6982,37001
6982,23979
6982,24215
50882,11036
50882,511
50882,51166
50882,8391
50882,15196
50882,13798
50882,13139
50882,2177
50882,51176
50882,51177
1455,4
1455,32495
1455,6329
1455,411
1455,9311
1455,1272
1455,36805
1455,16429
1455,461
1455,3099
1455,88
1455,51423
1455,5392
1455,1170
1455,9672
1455,5191
1455,51430
1455,45350
1455,51436
1455,531
1455,26398
1455,2567
1455,19604
1455,28860
1455,51445
1455,51449
1455,1805
1455,13798
1455,51460
1455,50940
1455,15458
1455,29855
1455,51472
1455,5500
1455,30573
51810,35105
51810,51811
51810,51816
51810,6588
52058,14907
52058,2369
52058,5189
52058,88
52058,6078
52058,2753
52058,6081
52058,23956
52058,71
52058,10853
52058,13808
52361,6940
52361,7551
8755,33171
8755,28067
8755,28107
8755,35101
8755,52321
8755,35105
8755,6940
8755,33849
8755,8811
8755,52490
42311,531
27569,52700
27569,1262
27569,52709
52944,4
52944,1455
52944,411
52944,52947
52944,2417
53144,4
53144,3962
18395,9672
18395,53393
18395,22808
18395,46530
18395,46754
15439,3262
15439,4
15439,48271
15439,18966
15439,53930
15439,5087
15439,2369
15439,4665
15439,50219
15439,1276
15439,28548
15439,88
15439,468
15439,308
15439,3972
15439,5226
15439,11991
15439,26067
15439,9672
15439,53936
15439,5123
15439,492
15439,21929
15439,511
15439,26072
15439,10650
15439,5137
15439,531
15439,26398
15439,832
15439,2563
15439,53944
15439,41136
15439,19604
15439,2696
15439,15196
15439,5143
15439,28860
15439,50118
15439,10853
15439,53950
15439,16649
15439,3994
15439,19605
15439,2173
15439,12022
15439,13808
15439,3998
15439,26092
15439,5155
15439,5157
15439,44973
15439,53962
15439,53964
15439,49125
15439,53966
15439,40190
15439,27311
15439,53967
15439,18368
15439,51613
15439,36982
232,228
232,4
232,43064
232,1357
232,1276
232,28462
232,88
4125,2779
4125,1276
4125,36805
4125,3013
7394,4
7394,3562
7394,9514
7394,54735
7394,28390
7394,71
31976,4
31976,9508
31976,2369
31976,4665
31976,18608
31976,461
31976,88
31976,468
31976,3972
31976,27791
31976,11342
31976,2940
31976,27484
31976,885
31976,3603
31976,3604
31976,2567
31976,19604
31976,5143
31976,43815
31976,1999
31976,4378
31976,22051
16115,29710
16115,26762
16115,34324
16115,931
16115,54060
16115,54992
16115,23208
16115,27452
16115,51983
16115,54999
16115,55007
16115,46418
16115,55021
16115,44080
16115,55030
233,228
233,71
233,2417
1694,2298
1694,1945
1694,1711
1694,1262
55939,35436
55939,27741
21565,17748
21565,50353
21565,38204
56699,27474
56699,308
56699,7457
56699,56702
56869,16431
56869,531
56869,2696
56869,56873
37603,3369
28103,57254
28103,57256
28103,38161
28103,57277
7520,54344
7520,14064
7520,44946
7520,57556
7520,19048
7520,14611
7520,14615
7520,43322
8324,16901
8324,1357
48781,2940
48781,19047
48781,3598
2430,1945
2430,2480
2430,43492
2430,88
2430,308
2430,57747
2430,25771
2430,57748
26407,7684
26407,71
26407,5500
31172,8568
33171,8755
33171,43925
33171,11255
33171,5226
33171,26764
33171,31797
33171,14615
33171,59312
33171,59314
59499,88
28067,4
28067,8755
28067,7520
28067,33171
28067,14543
28067,27730
28067,31709
28067,14544
28067,54344
28067,43934
28067,35105
28067,6940
28067,8811
28067,14064
28067,7551
28067,59993
28067,21782
28067,31740
28067,43313
28067,60003
28067,35339
28067,2696
28067,44446
28067,14589
28067,35131
28067,37808
28067,60021
28067,14044
28067,43996
28067,52468
28067,14611
28067,60035
28067,53286
28067,60049
28067,44024
28067,18223
28067,60059
14543,8702
14543,14064
14543,7551
14543,44446
14543,22073
14543,14609
14543,14615
3120,4
3120,19860
3120,510
3120,36854
23278,4
23278,6338
23278,1276
23278,23301
23278,88
23278,4412
23278,492
23278,502
23278,832
23278,27687
23278,24025
23278,40973
23278,10044
23278,25781
23278,39782
23278,60347
23278,40996
23278,12806
19890,4
19890,88
19890,2417
19890,36989
19890,60453
19890,60465
19890,60466
19890,60469
48164,21265
28107,8755
28107,35101
28107,2948
28107,60555
28107,54352
28107,1118
28107,8711
28107,7551
28107,26043
28107,57731
28107,14615
28107,60395
28107,35304
28107,57136
9508,6329
9508,14130
9508,18608
9508,1276
9508,14164
9508,5191
9508,60739
9508,492
9508,502
9508,71
9508,53921
9508,2417
9508,5500
61029,7551
50303,7551
50303,50335
50303,50349
31082,8755
31082,6940
27730,8755
27730,6940
27730,8711
27730,8811
27730,7551
27730,61293
27730,14589
27730,14611
45405,6940
61395,1945
61395,308
61395,3360
61395,4926
61395,2696
61536,88
29710,26762
29710,18973
29710,54060
29710,4127
29710,54992
29710,16429
29710,40201
29710,26764
29710,16431
29710,502
29710,531
29710,16433
29710,61816
29710,37582
29710,61817
29710,45006
29710,3289
29710,27917
29710,43914
29710,61005
29710,36989
29710,61833
29710,61856
62080,4
62080,1276
62080,88
62080,13811
9792,62439
9792,2753
9792,62445
9792,9964
9792,13808
9792,62455
9792,22236
9792,62480
35101,8755
35101,28107
35101,27730
35101,43925
35101,52321
35101,62551
35101,6940
35101,8811
35101,7551
35101,88
35101,52490
35101,40550
35101,62564
35101,52165
35101,62576
19504,3952
19504,6269
63067,308
63067,63070
63067,531
63067,50469
39606,33171
39606,8711
39606,14064
39606,14615
39606,53613
39606,31857
39606,63143
39606,63144
43925,63386
43925,50309
43925,24821
43925,50346
43925,50347
22907,88
22907,2567
22907,71
22907,2417
1043,24593
1043,63644
1043,13609
1043,9311
1043,22750
1043,461
1043,16766
1043,502
1043,63652
1043,885
1043,51513
1043,328
1043,22051
63677,88
63677,8855
27766,439
27766,1276
27766,88
27766,308
27766,14166
27766,11991
27766,22924
27766,492
27766,502
27766,511
27766,48277
27766,3604
27766,8391
27766,832
27766,3547
27766,19604
27766,5143
27766,13123
27766,9972
27766,24704
27766,13516
27766,12022
27766,1999
27766,13808
27766,13811
27766,63930
27766,40429
5265,3262
5265,4
5265,2944
5265,32772
5265,4407
5265,1262
5265,492
389,4718
389,4310
389,13609
389,9096
389,1385
389,88
389,4514
389,11336
389,64065
389,28964
389,60245
389,18309
20457,12038
20457,2173
44576,64347
16723,16721
16723,8755
16723,6940
54343,14064
23116,12641
23116,65032
31709,8755
31709,28067
31709,6940
31709,8711
31709,7551
31709,31740
31709,20949
31709,65216
31709,14589
31709,65219
31709,65223
31709,34227
31709,65224
31709,14609
31709,21006
31709,33765
31709,44013
31709,21062
31709,65253
31709,65254
31709,65256
43610,23472
43610,65312
56259,8711
56259,14064
65560,51021
65560,17538
65619,4
65619,1945
65619,1262
65619,88
65619,308
65619,42900
4582,65644
4582,1262
4582,13384
66262,54258
66262,9107
55226,228
55226,1309
55226,38001
55226,38010
55226,2866
55226,2881
55226,492
55226,2882
55226,511
55226,3604
55226,38028
55226,2892
55226,66782
55226,66784
55226,2925
41609,308
41609,3546
41609,3369
41609,4974
41609,18675
41609,8266
41609,11569
39106,4
39106,54344
39106,6940
39106,8794
39106,8711
39106,7551
39106,308
39106,71
39106,14609
39106,14615
14544,54344
14544,43934
14544,8702
14544,8711
14544,7551
14544,67740
14544,14586
36950,4
36950,25706
30294,7551
30294,57453
54344,28067
54344,39106
54344,14544
54344,43934
54344,7551
54344,88
54344,35738
54344,44446
54344,14588
54344,14609
54344,14611
54344,60035
54344,57105
54344,14615
54344,47015
13315,1579
13315,37650
13315,60739
13315,5137
13315,1999
13315,51613
63386,33171
63386,43925
63386,8702
63386,65548
37308,1309
37308,22727
37308,23148
37308,5393
37308,22808
37308,46530
37308,50175
37308,62353
23279,4
23279,88
23279,1170
23279,63598
23279,2733
23279,1805
23279,33825
51682,16514
51682,7551
51682,14570
51682,14589
3186,1945
3186,9391
3186,88
3186,511
3186,27252
3186,21715
70612,28059
70612,70617
6329,1455
6329,9508
6329,24593
6329,18608
6329,40050
6329,16766
6329,45350
6329,17270
6329,71005
6329,71006
6329,2351
71133,19535
71133,71134
37113,28107
37113,6940
37113,71206
37113,8711
37113,7551
37113,54319
37113,14570
37113,20952
37113,832
37113,14589
37113,14609
37113,14611
37113,14615
37113,37122
37113,30225
37113,60395
37113,35304
37113,16547
27357,4
27357,52784
27357,1357
27357,9731
27357,43877
27357,11981
27357,9398
27357,39903
27357,16973
27357,9972
27357,9586
27357,2417
34553,1276
34553,461
34553,46525
34553,71
34553,2417
34553,43597
34553,20327
72540,25661
72540,40581
72596,4
72639,2180
72639,5500
57963,56022
57963,72648
57963,35361
57963,58179
8760,8591
8760,3533
8760,65219
1054,1945
9304,2149
9304,3562
9304,9311
9304,2465
9304,1487
9304,24341
9304,7476
9304,8291
9304,511
9304,2173
9304,38804
9304,33360
11255,33171
11255,14130
11255,7551
11255,30831
11255,73394
11255,30840
24140,4
24140,6940
24140,43939
24140,7551
24140,88
24140,56022
24140,43772
24140,14611
24140,14615
24140,18223
11971,48617
11971,74068
26762,74559
26762,4127
26762,531
26762,71
26762,43912
26762,43914
4165,5226
4165,7406
4165,2753
4165,4177
4165,8391
4165,13798
4165,13808
4165,2177
74635,2696
38001,228
38001,4
38001,233
38001,55226
38001,38007
38001,38010
38001,2866
38001,28462
38001,74691
38001,54446
38001,74701
38001,55902
38001,2881
38001,2882
38001,38028
38001,74713
38001,52862
38001,2916
69041,88
69041,9672
69041,54222
47936,4
47936,1255
47936,13609
47936,75054
12304,19890
12304,3437
12304,12340
12304,75427
12304,23866
12304,40618
12304,12281
12304,66423
12304,75441
12304,75446
70439,1309
70439,29961
70439,42866
70439,308
70439,4528
70439,47140
70439,2746
76162,88
76162,68307
76162,54222
76162,68308
76162,76165
76162,76166
76162,71339
49661,4
49661,1400
76533,308
76646,88
76646,29078
76646,66731
45641,2940
10945,14368
10945,23610
10945,10950
10945,3584
10945,23635
10945,7801
10945,66917
10945,46456
10945,77457
10945,77464
10945,77472
75546,9800
75546,3359
75546,17939
75546,77846
75546,38456
75546,77848
75546,26454
78071,63816
78071,15741
78071,63817
78109,88
78109,58870
78109,58874
78109,78114
78238,68307
78238,68308
78238,71339
46713,5226
46713,885
46713,22051
6232,4
6232,2301
6232,308
6232,531
11256,29388
11256,2369
11256,21507
11256,32229
11256,66371
11256,14166
11256,51853
11256,55660
11256,18309
11256,12651
11256,6078
11256,55526
11256,79156
11256,9964
11256,9972
11256,36521
11256,79168
11256,79175
11256,64967
11256,79185
11256,73608
11256,30096
11256,79194
79288,38602
70408,63644
70408,88
70408,4475
70408,71
79359,7551
72077,72080
72077,65375
25243,1609
25243,88
25243,308
25243,21929
25243,531
11029,11036
11029,10837
11029,6078
11029,11050
79983,79986
79983,77634
79983,2417
79983,80009
43693,88
43693,2696
11257,22450
11257,88
11257,9299
11257,26092
11257,25065
48271,15439
48271,2330
48271,2333
48271,51853
48271,19047
48271,25907
48271,69451
48271,63983
48271,3547
48271,2563
48271,11677
48271,5143
48271,18086
48271,80881
48271,19178
48271,30478
48271,2173
48271,37384
48271,13820
48271,13153
48271,38804
48271,80888
48271,33376
48271,80895
48271,80900
29871,28327
29871,88
29871,28331
29871,12806
9305,2417
81358,4
55975,1487
55975,2567
25088,4
25088,14721
25088,468
25088,11876
25088,885
25088,3604
25088,50200
25088,22051
17915,4
17915,11029
17915,9731
17915,11264
17915,13383
17915,11176
17915,11036
17915,24341
17915,88
17915,28375
17915,5226
17915,4346
17915,6078
17915,7779
17915,2753
17915,6081
17915,16978
17915,57623
17915,11049
17915,8391
17915,4364
17915,2696
17915,10853
17915,18183
17915,4378
17915,2417
17915,36521
17915,2177
17915,4381
17915,22236
17915,66829
17915,81990
17915,73725
17915,82000
17915,40245
50353,21565
50353,21608
50353,23713
50353,82019
82406,1272
82406,88
82406,17939
82406,9351
82406,16649
82406,79247
82810,7551
82810,82811
82810,82813
82810,82814
4310,3533
4310,23414
4310,28757
4310,389
4310,9417
4310,47309
4310,8702
4310,11979
4310,2369
4310,43751
4310,88
4310,7617
4310,28375
4310,1665
4310,492
4310,14170
4310,1633
4310,3369
4310,17111
4310,541
4310,9947
4310,3289
4310,2173
4310,14489
4310,47329
4310,4381
4310,33376
4310,4394
82781,4
82781,3360
82781,7779
82781,2753
82781,48314
82781,16578
82781,15794
82781,9972
83722,14615
20849,48929
81274,88
81274,5226
81274,84328
78126,7551
78126,52159
78126,14615
25667,84731
25667,26757
9417,4
9417,4310
9417,5339
9417,53930
9417,16038
9417,2779
9417,17240
9417,1276
9417,1142
9417,8568
9417,468
9417,28375
9417,5226
9417,3360
9417,9672
9417,26417
9417,3593
9417,492
9417,16973
9417,502
9417,84736
9417,511
9417,4177
9417,48277
9417,3603
9417,84739
9417,3547
9417,15196
9417,550
9417,84745
9417,11135
9417,3013
9417,22555
9417,12751
9417,13808
9417,2417
9417,580
9417,13153
9417,84752
9417,7501
9417,19880
9417,46754
9417,51177
9417,49138
9417,13879
9417,46842
85648,12281
24593,4
24593,6329
14054,14064
14054,7551
14054,510
3320,1945
3320,308
21339,14130
21339,1276
21339,1912
21339,47321
21339,17111
21339,40698
23055,18309
23055,9972
3724,23148
3724,85461
53517,32315
77969,88
87889,87890
35378,88
35378,3603
35378,24629
35378,12751
35378,13808
35378,2417
35378,3998
35378,2177
63644,1043
63644,70408
63644,4475
63644,3013
88207,28673
88207,40698
77346,4
52784,2369
52784,80163
89377,30091
89377,89381
2440,88
2440,89698
77156,1357
77156,9731
77156,13383
77156,1276
77156,22502
77156,468
77156,48039
77156,11876
77156,511
77156,550
77156,70491
77156,73227
77156,6039
77156,9972
77156,2417
77156,8266
77156,19880
77156,8122
77156,12806
77156,88843
4876,63777
4876,88
4876,5226
4876,50319
4876,47015
23148,4
23148,37308
23148,3724
23148,1471
23148,44644
23148,5444
23148,89751
23148,43597
23148,67132
23148,38908
89752,1276
89752,88
89752,19862
89752,511
89752,832
89752,2696
89752,71
89802,88
89802,56968
89802,11991
89802,20378
89802,885
89802,3603
89802,3604
89802,8391
89802,3547
89802,89803
89802,11677
89802,43742
89802,89805
89802,39885
89802,89807
89802,12751
89802,13808
89802,2177
89802,9704
89802,10112
89802,30097
89802,27723
89922,88
89922,16649
34324,931
34324,88
34324,15184
34324,55030
34324,52936
90298,18034
90298,308
90298,18036
19919,6940
19919,510
90356,461
90356,29455
90356,68307
90366,308
90366,3369
90366,510
90366,832
90366,16649
9727,308
9727,90556
9727,53117
9727,2417
90732,308
89341,8568
89341,308
89341,1999
89341,5500
30671,4
30671,88
30671,531
30671,18223
82700,1262
82700,1276
82700,308
65644,2298
65644,4582
65644,1262
65644,1400
8374,1945
8374,88
8374,10691
8374,48314
8374,42182
52700,27569
91891,43327
91916,4
91916,1357
91916,3369
92036,92037
92036,26502
92036,2417
92193,6940
92193,7551
92193,14609
92193,18223
50862,92219
55938,24954
55938,1945
55938,11979
55938,308
55938,885
55938,2696
55938,1999
92528,88
92528,4974
85847,4
85847,88
931,4
931,1309
931,16115
931,34324
931,42166
931,511
931,531
931,2567
931,42173
85211,67119
85211,43867
41674,2480
41674,43422
41674,308
41674,1654
41674,93076
27959,4
93476,88
93476,11991
93476,19604
93476,93480
93476,26158
93476,93481
93476,10053
93476,23910
93476,13811
93476,26092
93476,2177
93476,9704
93476,93485
93476,93487
93476,93488
93476,5163
93476,67382
19920,53174
19920,39502
19920,93523
43064,232
43064,1276
43064,71
43064,64899
43064,2912
43064,93593
43064,93594
93596,6940
93596,93601
5339,4
5339,9417
5339,40957
5339,46148
5339,1170
94179,24025
61481,308
61481,4412
64528,4
64528,26486
64528,4378
2948,28102
2948,8755
2948,1262
2948,20947
2948,53286
2948,39514
2948,61753
90278,22727
90278,94422
90278,94427
90278,46759
11744,4
11744,2753
11744,531
11744,2696
11744,71
11744,41281
11744,21715
1471,4
1471,3533
1471,23148
1471,18966
1471,1357
1471,9731
1471,6992
1471,1262
1471,42777
1471,94830
1471,18666
1471,46439
1471,83810
1471,71
1471,10044
1471,10053
1471,2417
1471,38908
94969,1999
411,4
411,1134
411,86491
411,16766
411,531
31201,8711
31201,7551
31201,1276
31201,88
31201,2567
31201,14589
31201,8903
31201,2417
31201,14609
31201,14611
31201,14615
31201,35304
31201,95306
50216,33833
50216,6940
50216,50218
50216,46283
50216,14064
50216,1276
50216,88
50216,86898
50216,38815
50216,4412
50216,492
50216,77555
50216,50227
50216,13790
50216,44446
50216,24025
50216,23958
50216,27741
50216,35348
50216,9299
50216,61322
50216,10817
50216,8992
50216,50265
50216,30639
50216,95429
50216,9021
50216,46996
50216,38819
50216,95435
95455,4
95455,2369
95455,88
95455,71
2445,4
2445,1309
2445,22869
2445,438
2445,308
2445,27381
2445,21929
2445,5899
96030,4
96030,411
96030,1379
96030,88
96030,2417
13488,308
38927,8098
36773,1945
36773,25706
36773,88
36773,308
36773,505
89290,21416
89290,88
89290,6078
89290,2753
89290,18057
89290,8391
89290,77778
96537,88
96537,43742
96537,42180
64879,13765
64879,64899
64879,93593
97045,35245
97045,97049
97203,88
97319,88
97319,9672
97319,6493
59261,97382
45677,4
45677,1262
45677,1774
61193,97756
61193,97757
14130,4
14130,14123
14130,21339
14130,11979
14130,2369
14130,88
14130,8460
14130,25907
14130,510
14130,30355
14130,40191
34523,13720
34523,2567
34523,34537
72388,5948
72388,98056
72388,461
72388,88
72388,3360
72388,30311
72388,885
72388,7271
72388,2417
72388,6053
72388,1654
72388,27676
29961,4
29961,70439
29961,4665
29961,4514
29961,4528
60555,4
60555,37318
60555,44644
60555,38572
60555,43867
60555,38602
60555,98100
60555,98104
98239,98240
98239,2940
98239,885
98239,98243
47309,4310
98473,88
98636,98639
44644,23148
44644,22814
44644,98728
44644,43597
44644,98734
44644,67132
44644,67135
44644,20327
44644,77052
98945,88
3125,21218
3125,1185
58488,4
52321,8755
52321,35101
52321,6940
52321,35339
52321,43975
52321,40550
24954,8633
24954,6338
24954,1945
24954,2480
24954,88
24954,308
24954,3972
24954,17647
24954,2940
24954,885
24954,3604
24954,76911
24954,99280
24954,2570
24954,24955
24954,86100
24954,8966
24954,2602
24954,99292
97301,4
97301,99364
97301,6081
18965,51542
18965,2480
18965,308
18965,29487
32315,53517
32315,24370
32315,88
32315,2567
42119,4
42119,3604
1255,4
1255,3533
1255,47534
1255,2779
1255,9217
1255,9223
22743,4
22743,48278
73371,4
73371,1276
73371,88
73371,492
73371,7801
73371,49090
18966,15439
18966,77156
18966,1471
18966,1276
18966,5393
18966,94830
18966,5899
18966,73227
18966,50047
18966,10044
18966,5550
18966,36989
18966,42900
18966,64965
18966,34838
18966,2746
18966,100700
18966,40996
18966,100703
1357,1152
1357,1774
1357,23159
1357,5387
1357,1170
1357,26067
1357,41849
1357,58898
1357,4475
1357,100941
43934,28067
43934,27730
43934,14544
43934,54344
43934,8702
43934,6940
43934,8711
43934,8811
43934,14064
43934,7551
43934,28462
43934,44446
43934,14588
43934,97210
43934,14609
43934,52468
43934,14611
43934,14615
43934,44024
78653,5087
78653,1276
78653,88
78653,468
78653,5226
78653,9672
78653,10853
78653,12751
78653,9704
101033,6940
101238,11036
101238,1276
101238,88
101238,5226
101238,38815
101238,11991
101238,15489
101238,12745
101238,39124
101238,3604
101238,8391
101238,37162
101238,3547
101238,19604
101238,43742
101238,553
101238,13798
101238,26153
101238,50242
101238,12022
101238,12751
101238,2417
101238,3998
101238,13811
101238,2177
101238,101244
101238,19880
101238,39782
101238,50279
101238,9021
101238,27723
101238,35376
101238,67382
101238,9036
1358,1359
1358,1276
1358,1386
1358,88
1358,5226
18077,1142
18077,308
18077,3360
18077,6078
18077,2417
18077,102266
65636,14615
62551,35101
62551,94062
62551,70064
53930,4665
53930,11036
