L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
101,164,9,2,3600,3830976,0,1,146356532,777177650,35202,35184,35218,749443834,365042431,612843356
101,139,5,3,1200,1246956,6,2,146356532,777177650,35151,35173,35165,785149710,431484053,863010232
102,89,10,1,3700,3659596,6,0,146356532,777177650,35633,35642,35647,862871618,407419891,713217198
102,170,5,2,3400,3638578,3,8,146356532,777177650,35649,35637,35666,862871618,407419891,66389849
102,183,4,3,2500,2707950,1,1,146356532,777177650,35640,35633,35657,106211174,250142940,82521107
102,62,7,4,1500,1443090,7,7,146356532,777177650,35581,35622,35583,749443834,407419891,148856520
103,195,9,1,600,657114,3,5,146356532,777177650,35347,35269,35364,106211174,944913022,474926244
103,11,5,2,3700,3370737,2,7,146356532,777177650,35323,35271,35326,862871618,431484053,966363462
103,29,10,3,2300,2136746,1,4,146356532,777177650,35317,35324,35332,106211174,944913022,698774868
103,30,9,4,3200,2976096,1,7,146356532,777177650,35274,35281,35279,106211174,250142940,358416912
128,107,10,1,3800,3826980,6,1,449642453,330563436,33846,33841,33876,862871618,944913022,258087975
129,3,6,1,4600,4153800,8,2,378580043,330563436,34013,33991,34031,785149710,86983390,604844358
129,186,7,2,3600,3910248,1,2,449642453,330563436,33931,33961,33945,862871618,1001693018,147821321
129,40,6,3,3300,3102132,4,6,449642453,330563436,33975,34012,33996,785149710,407419891,467901294
129,136,7,4,3400,3522842,0,1,378580043,330563436,33996,34012,34008,785149710,431484053,271377843
129,32,8,5,2400,2236872,6,0,449642453,330563436,33943,33969,33947,862871618,944913022,137356558
129,78,6,6,2200,2151754,6,1,378580043,330563436,34013,33998,34022,785149710,407419891,960626524
129,169,6,7,100,106916,5,4,378580043,330563436,33993,33975,34022,749443834,944913022,2133634
130,129,10,1,1400,1440768,8,5,449642453,330563436,33829,33808,33858,785149710,250142940,521318320
130,2,5,2,4800,4329600,3,2,378580043,330563436,33784,33795,33807,106211174,365042431,536637511
130,12,3,3,1800,1641618,4,8,449642453,330563436,33787,33767,33812,749443834,431484053,304368590
130,116,6,4,1300,1320943,9,2,378580043,330563436,33779,33812,33788,106211174,944913022,77850163
130,70,7,5,3100,3007217,6,5,378580043,330563436,33846,33801,33847,862871618,250142940,505507214
131,168,7,1,4500,4806720,10,2,378580043,330563436,34589,34577,34609,106211174,944913022,297909626
131,45,8,2,5000,4725200,2,4,449642453,330563436,34592,34554,34596,106211174,407419891,166824867
131,190,1,3,400,436076,4,3,449642453,330563436,34595,34574,34598,785149710,1001693018,117708672
132,141,8,1,1800,1874052,0,8,378580043,330563436,34158,34184,34161,106211174,86983390,379064473
132,120,1,2,4300,4386516,1,8,378580043,330563436,34211,34195,34232,106211174,86983390,1068891846
132,115,6,3,3200,3248352,4,4,449642453,330563436,34160,34184,34184,785149710,86983390,224489072
132,29,2,4,2300,2136746,10,0,449642453,330563436,34134,34206,34141,749443834,365042431,44491948
133,104,7,1,2700,2711070,0,2,146356532,777177650,35783,35847,35789,862871618,431484053,692234844
133,177,5,2,1200,1292604,2,6,146356532,777177650,35764,35808,35791,749443834,1001693018,818119498
133,118,8,3,2900,2952519,9,8,146356532,777177650,35852,35823,35861,749443834,250142940,92028351
133,90,1,4,1100,1089099,6,1,146356532,777177650,35873,35808,35887,749443834,1001693018,609460531
134,1,2,1,2100,1892100,0,3,449642453,330563436,33800,33791,33809,785149710,407419891,592480724
134,165,2,2,3500,3728060,6,7,449642453,330563436,33837,33754,33838,106211174,431484053,596346109
134,189,10,3,2600,2831868,9,6,449642453,330563436,33773,33795,33799,106211174,250142940,421093687
134,145,6,4,4700,4912158,5,0,449642453,330563436,33830,33789,33842,106211174,1001693018,276264237
134,36,7,5,1200,1123236,5,2,449642453,330563436,33786,33754,33794,785149710,86983390,251384756
134,134,10,6,1200,1240956,0,0,449642453,330563436,33822,33790,33834,862871618,944913022,118880611
135,109,10,1,4700,4742770,6,8,146356532,777177650,35111,35063,35118,785149710,250142940,538830611
135,199,3,2,2100,2308299,0,7,146356532,777177650,35104,35074,35106,749443834,407419891,107853490
135,158,10,3,3300,3491894,2,0,146356532,777177650,35065,35022,35094,862871618,431484053,948925550
135,68,7,4,3400,3291404,2,3,146356532,777177650,35074,35081,35098,106211174,86983390,753525063
135,137,8,5,2000,2074259,1,4,146356532,777177650,35087,35021,35102,106211174,431484053,447886411
135,115,5,6,1300,1319643,4,2,146356532,777177650,35013,35053,35018,106211174,944913022,422105013
160,15,2,1,3600,3294036,7,1,146356532,777177650,35498,35498,35507,785149710,431484053,992376884
160,87,8,2,2200,2171576,0,4,146356532,777177650,35477,35492,35492,785149710,250142940,587645907
160,21,10,3,3400,3131468,1,5,146356532,777177650,35459,35500,35473,106211174,944913022,325311661
161,103,10,1,1900,1905890,1,1,449642453,330563436,34679,34655,34692,749443834,86983390,81370145
162,190,1,1,200,218038,2,1,146356532,777177650,34942,34865,34948,785149710,944913022,554029173
163,168,3,1,4300,4593088,1,0,146356532,777177650,35690,35751,35704,785149710,1001693018,776997268
163,121,2,2,1300,1327456,1,4,146356532,777177650,35743,35719,35769,749443834,86983390,864789215
163,37,3,3,2700,2529981,4,8,146356532,777177650,35788,35760,35798,785149710,1001693018,285803956
163,193,5,4,500,546595,2,0,146356532,777177650,35749,35710,35767,749443834,86983390,848690952
163,127,2,5,1200,1232544,10,0,146356532,777177650,35780,35727,35784,785149710,86983390,352547186
163,191,4,6,2000,2182380,0,7,146356532,777177650,35698,35747,35708,862871618,944913022,335522586
164,92,4,1,2600,2579434,9,4,449642453,330563436,33971,33927,33974,106211174,250142940,231897398
164,19,6,2,2400,2205624,5,5,378580043,330563436,33958,33933,33973,106211174,365042431,952238784
164,126,9,3,3800,3899256,3,6,378580043,330563436,33940,33929,33969,862871618,365042431,766872229
164,18,2,4,3200,2937632,5,1,378580043,330563436,33957,33959,33964,785149710,250142940,768970311
164,148,1,5,4300,4507002,6,1,378580043,330563436,33932,33970,33944,785149710,250142940,837741390
164,109,10,6,2700,2724570,10,4,378580043,330563436,33959,33983,33977,749443834,365042431,411672624
164,4,7,7,2300,2079200,9,4,449642453,330563436,33909,33938,33918,106211174,1001693018,328073626
165,34,5,1,300,280209,1,8,378580043,330563436,34055,34032,34069,749443834,1001693018,539330769
165,162,7,2,4300,4567288,8,5,378580043,330563436,34025,34076,34029,749443834,86983390,914049257
165,59,1,3,1500,1438575,0,5,378580043,330563436,34067,34055,34088,785149710,407419891,352255149
165,140,1,4,4900,5096686,7,6,449642453,330563436,34018,34059,34036,785149710,1001693018,479879763
165,156,4,5,2700,2851605,1,4,378580043,330563436,34084,34030,34100,106211174,431484053,617335017
166,65,2,1,3700,3570722,9,3,146356532,777177650,35017,34987,35044,106211174,431484053,516059547
166,167,8,2,1300,1387308,9,5,146356532,777177650,35010,35019,35015,785149710,407419891,143723142
166,100,2,3,4100,4100410,7,3,146356532,777177650,35014,35008,35039,785149710,944913022,434097458
166,46,3,4,800,756832,5,2,146356532,777177650,35061,35030,35091,749443834,250142940,558177322
167,102,3,1,2800,2805880,6,1,378580043,330563436,34017,34014,34029,749443834,86983390,5302543
167,172,2,2,2700,2894859,9,0,378580043,330563436,34088,34057,34118,862871618,944913022,710785741
192,98,1,1,2300,2295607,0,0,146356532,777177650,35829,35830,35859,862871618,365042431,971456578
192,162,7,2,2000,2124320,7,1,146356532,777177650,35865,35826,35883,862871618,1001693018,532811282
192,111,8,3,1500,1516665,9,1,146356532,777177650,35823,35834,35847,862871618,86983390,707473520
192,197,1,4,200,219438,6,2,146356532,777177650,35858,35827,35876,785149710,407419891,591600705
192,83,4,5,2500,2457700,2,3,146356532,777177650,35839,35804,35869,785149710,86983390,992716555
192,142,9,6,4500,4689630,0,5,146356532,777177650,35863,35802,35886,106211174,431484053,963830548
193,93,5,1,900,893781,6,6,449642453,330563436,34227,34248,34240,785149710,86983390,588109903
193,154,6,2,1500,1581225,2,7,378580043,330563436,34293,34249,34306,862871618,407419891,250601823
193,94,6,3,2300,2286407,6,5,449642453,330563436,34200,34251,34212,749443834,86983390,640209960
194,3,6,1,1700,1535100,5,4,378580043,330563436,33746,33744,33752,785149710,365042431,617061347
194,184,5,2,100,108418,4,6,378580043,330563436,33722,33740,33745,106211174,1001693018,453134475
194,66,1,3,1300,1255878,8,8,449642453,330563436,33729,33771,33732,106211174,365042431,265438254
194,146,7,4,3600,3766104,0,5,378580043,330563436,33743,33740,33749,862871618,250142940,1007732623
194,57,2,5,800,765640,4,0,378580043,330563436,33789,33778,33794,785149710,944913022,941089957
194,149,6,6,1600,1678624,6,3,449642453,330563436,33736,33767,33743,862871618,86983390,443910774
194,168,7,7,2100,2243136,2,1,378580043,330563436,33728,33742,33729,785149710,1001693018,780901405
195,85,6,1,600,591048,4,2,449642453,330563436,34341,34418,34360,785149710,1001693018,741749500
195,94,8,2,4100,4075769,5,7,449642453,330563436,34387,34374,34411,106211174,86983390,288626355
195,86,7,3,3400,3352672,8,8,378580043,330563436,34363,34374,34375,106211174,86983390,538193275
195,86,7,4,4100,4042928,6,4,378580043,330563436,34405,34404,34431,785149710,250142940,899628469
196,136,7,1,1900,1968647,3,2,378580043,330563436,34074,34114,34087,106211174,407419891,837986819
196,10,3,2,1500,1365015,3,4,449642453,330563436,34153,34095,34154,862871618,407419891,497655333
197,99,1,1,3900,3896451,2,4,146356532,777177650,34899,34879,34923,862871618,365042431,458395352
197,178,8,2,800,862536,9,2,449642453,330563436,34804,34879,34814,749443834,407419891,729247598
197,156,4,3,1700,1795455,6,2,146356532,777177650,34911,34871,34912,785149710,1001693018,917410377
197,18,5,4,2500,2295025,4,1,146356532,330563436,34861,34840,34872,862871618,944913022,924192486
197,42,9,5,1400,1318856,9,1,378580043,330563436,34825,34841,34829,862871618,250142940,828843678
197,106,1,6,100,100610,7,5,146356532,777177650,34893,34869,34920,785149710,250142940,722477264
198,57,8,1,3300,3158265,7,2,146356532,777177650,35798,35872,35803,862871618,86983390,691941478
198,16,10,2,2000,1832020,3,0,146356532,777177650,35808,35883,35818,749443834,944913022,631846047
198,149,2,3,1500,1573710,4,2,146356532,777177650,35895,35850,35898,785149710,431484053,801767372
198,11,5,4,3500,3188535,8,2,146356532,777177650,35851,35875,35866,862871618,250142940,622487469
198,102,3,5,3300,3306930,2,1,146356532,777177650,35874,35864,35897,749443834,407419891,578783431
199,133,9,1,5000,5165650,2,0,146356532,777177650,35226,35217,35248,749443834,431484053,270051312
199,134,5,2,3000,3102390,8,5,146356532,777177650,35149,35212,35167,106211174,86983390,936322287
224,151,2,1,1600,1681840,4,0,449642453,330563436,34545,34543,34571,749443834,431484053,918452148
224,109,2,2,3400,3430940,4,8,378580043,330563436,34526,34569,34544,785149710,86983390,936804263
224,190,1,3,4100,4469779,7,4,449642453,330563436,34576,34590,34577,862871618,407419891,881578496
224,167,4,4,1200,1280592,8,6,378580043,330563436,34617,34573,34625,749443834,431484053,449137055
224,94,7,5,4500,4473405,7,7,378580043,330563436,34558,34577,34571,785149710,365042431,782519394
224,51,3,6,400,380420,2,0,378580043,330563436,34583,34568,34609,749443834,944913022,589025986
225,172,3,1,400,428868,9,7,146356532,777177650,34914,34928,34943,862871618,407419891,74996037
225,131,7,2,300,309339,0,8,146356532,777177650,34903,34886,34926,749443834,1001693018,501914826
225,199,2,3,4500,4946355,6,1,146356532,777177650,34926,34929,34939,862871618,944913022,357162575
225,147,4,4,2400,2513136,0,6,146356532,777177650,34963,34914,34986,785149710,431484053,771707248
225,8,5,5,3100,2814800,4,6,146356532,777177650,34869,34902,34882,862871618,944913022,1033011883
225,132,8,6,1200,1238556,0,0,449642453,330563436,34852,34893,34856,785149710,431484053,577247013
225,142,1,7,4400,4585416,10,6,146356532,777177650,34962,34925,34992,106211174,1001693018,294125113
226,97,9,1,400,398836,0,0,378580043,330563436,34057,34087,34067,106211174,86983390,36845040
226,138,4,2,4600,4775398,6,1,449642453,330563436,34154,34081,34161,785149710,944913022,162275341
226,38,4,3,3500,3283105,9,3,449642453,330563436,34057,34105,34058,106211174,250142940,1020890324
226,41,10,4,4500,4234680,10,2,378580043,330563436,34074,34114,34098,749443834,365042431,718380533
226,118,8,5,200,203622,7,2,378580043,330563436,34052,34070,34077,862871618,407419891,1055654338
226,83,4,6,4800,4718784,2,0,449642453,330563436,34129,34102,34137,106211174,1001693018,503310613
226,118,8,7,1400,1425354,9,0,378580043,330563436,34107,34123,34114,785149710,431484053,45041727
227,166,1,1,1900,2025704,5,6,146356532,777177650,35041,35092,35057,106211174,250142940,998402576
227,175,3,2,2400,2580408,7,7,146356532,777177650,35096,35055,35105,785149710,407419891,1055284558
228,5,8,1,300,271500,10,8,449642453,330563436,34107,34065,34113,749443834,407419891,495722360
229,84,5,1,2000,1968159,2,3,378580043,330563436,34343,34363,34358,749443834,1001693018,962431874
229,129,10,2,2900,2984448,7,0,449642453,330563436,34406,34393,34417,785149710,407419891,171499647
229,79,10,3,2800,2741396,2,2,378580043,330563436,34373,34365,34401,749443834,944913022,384040934
229,177,6,4,300,323151,2,8,378580043,330563436,34413,34415,34426,749443834,1001693018,154606750
229,156,1,5,3300,3485294,3,6,378580043,330563436,34416,34374,34435,106211174,944913022,157266120
229,106,9,6,2900,2917690,4,0,378580043,330563436,34346,34379,34354,106211174,944913022,18452680
230,186,7,1,4600,4996428,9,0,378580043,330563436,34366,34347,34386,862871618,407419891,973046456
230,195,7,2,600,657114,3,8,449642453,330563436,34358,34357,34376,106211174,1001693018,1051433010
230,8,5,3,100,90800,7,6,378580043,330563436,34354,34335,34368,862871618,250142940,389520578
230,10,3,4,4400,4004044,8,6,378580043,330563436,34372,34350,34402,106211174,431484053,782992487
230,19,9,5,800,735208,9,6,378580043,330563436,34274,34352,34282,862871618,86983390,644010437
230,34,10,6,800,747224,0,5,378580043,330563436,34292,34337,34320,862871618,944913022,659638924
231,159,10,1,1600,1694640,4,8,378580043,330563436,34656,34634,34683,862871618,365042431,1034232675
231,84,5,2,4600,4526768,4,5,378580043,330563436,34679,34668,34680,749443834,407419891,703283949
231,199,1,3,5000,5495950,9,1,449642453,330563436,34677,34680,34679,106211174,250142940,459860196
231,57,8,4,3100,2966855,8,2,449642453,330563436,34641,34693,34666,862871618,407419891,138036358
256,89,10,1,2200,2175976,9,2,378580043,330563436,34344,34329,34358,785149710,944913022,139294684
256,119,6,2,4000,4076440,10,1,449642453,330563436,34301,34314,34303,106211174,944913022,590271218
256,130,9,3,4500,4635585,2,8,378580043,330563436,34346,34349,34373,785149710,407419891,1032482320
257,147,8,1,700,732998,5,2,146356532,777177650,35962,35928,35971,785149710,944913022,288925337
258,107,4,1,800,805680,0,7,378580043,330563436,34352,34412,34372,106211174,1001693018,79323621
258,197,1,2,4000,4388760,10,1,449642453,330563436,34404,34386,34427,749443834,944913022,228814624
258,162,3,3,4500,4779720,7,7,378580043,330563436,34395,34376,34421,749443834,86983390,306585448
258,133,9,4,3100,3202703,2,5,449642453,330563436,34442,34411,34450,785149710,1001693018,397034975
258,36,2,5,2500,2340075,8,2,449642453,330563436,34435,34389,34451,862871618,86983390,608970950
258,147,4,6,3600,3769704,9,4,449642453,330563436,34343,34395,34350,749443834,365042431,10563180
259,99,10,1,1400,1398726,0,8,449642453,330563436,34318,34310,34332,785149710,407419891,83971505
259,162,1,2,1400,1487024,3,5,378580043,330563436,34281,34291,34288,749443834,944913022,645506442
259,24,5,3,4200,3880883,9,0,378580043,330563436,34260,34289,34283,106211174,86983390,489198530
259,196,10,4,300,328857,8,6,378580043,330563436,34244,34278,34254,862871618,407419891,814642176
259,193,6,5,600,655914,0,5,378580043,330563436,34306,34323,34322,785149710,86983390,975996182
260,156,7,1,5000,5280750,7,8,146356532,777177650,35511,35468,35538,862871618,1001693018,52191172
260,183,4,2,2600,2816268,2,7,146356532,777177650,35409,35465,35412,106211174,86983390,311702119
260,42,1,3,2700,2543508,5,8,146356532,777177650,35510,35474,35540,862871618,250142940,480636283
260,6,1,4,2900,2627400,10,6,146356532,777177650,35502,35442,35531,106211174,431484053,766629672
260,96,9,5,4400,4382796,1,5,146356532,777177650,35513,35462,35537,749443834,431484053,909548689
261,2,7,1,3400,3066800,5,8,378580043,330563436,34197,34234,34199,785149710,1001693018,725193683
261,66,7,2,2000,1932120,0,6,378580043,330563436,34261,34181,34275,749443834,250142940,580939778
261,174,3,3,2800,3007676,8,3,378580043,330563436,34172,34199,34184,785149710,365042431,572906272
261,119,3,4,4900,4993639,4,5,378580043,330563436,34222,34210,34247,785149710,407419891,890001088
261,61,6,5,4900,4709194,1,8,449642453,330563436,34239,34218,34241,785149710,407419891,56338634
