FO_FROM,FO_TO
18852,3369
31961,35207
31961,121887
122087,122106
44316,4
44316,4665
44316,16970
44316,16770
33849,8755
34148,24658
34148,531
36634,12843
36634,14517
36634,7801
118365,3604
118365,40973
118365,53967
118365,80101
118365,123165
11978,21782
11978,43996
4319,4
4319,23116
4319,3369
4319,8497
43896,531
15911,1262
55976,68939
55976,7801
55976,531
55976,39885
31351,16578
31351,48226
19535,71133
18987,129929
130791,786
131538,50218
131538,86903
131538,39124
12843,4
12843,11744
12843,6078
12843,1805
4665,5087
4665,44316
4665,439
4665,50219
4665,5114
4665,5123
4665,11876
4665,27484
4665,3604
4665,26398
4665,92153
4665,104567
4665,121586
4665,13808
4665,88963
4665,5157
4665,109246
4665,81405
23774,4
92221,1711
92221,541
92221,10053
92221,132596
104521,3369
104521,16649
69308,1551
69308,510
133810,3369
439,4665
439,11876
439,3604
439,26398
439,75083
439,43716
439,13123
439,12751
439,13808
439,57648
4884,56426
4884,16528
128811,59173
118326,4
18906,531
18906,123982
18906,134352
2325,4
2325,2426
2325,1805
1118,621
1118,4
1118,2426
1118,9514
19860,531
19860,36914
137188,510
1379,4
1379,1551
50218,33833
50218,131538
50218,50231
50218,42251
50218,8897
50218,50241
50218,138591
50218,38819
50218,50295
50218,49184
97385,15717
1126,4
140970,4
40851,4
17244,4
17244,23120
17244,8497
17244,141253
56426,39124
56426,57993
56426,89805
42289,43515
142408,531
142644,4
23616,23610
23616,3919
23616,77464
62086,22566
62086,531
51652,4
51652,14170
51652,134290
111627,12891
111627,18895
111627,105170
68539,148421
68539,531
148526,8702
74936,4
74936,8755
74936,52322
149346,4
24821,8755
24821,14570
24821,64987
24821,21006
24821,132125
80077,80084
50219,33833
50219,5087
50219,4665
50219,5114
50219,5123
50219,25907
50219,6835
50219,27484
50219,149691
50219,89805
50219,98453
50219,8966
119840,3604
131430,26486
43420,4
43420,3369
43420,510
150704,3369
13968,1711
13968,5114
13968,104571
12641,23116
12641,65032
152095,510
113232,22566
783,8497
23120,3369
23120,8497
457,621
457,6999
457,13808
120050,153386
120050,58294
50315,8702
50315,43939
50315,50319
50315,61732
73788,4
73788,531
79338,510
48084,19048
99364,97301
2374,4
2374,5123
2374,43716
2374,78328
155471,4
786,4665
786,783
786,57721
15717,1262
15717,15911
15717,97385
15717,16431
22566,4
22566,2303
22566,62086
22566,113232
22566,37657
22566,5393
22566,26486
22566,1805
22566,137490
26043,8755
26043,28107
22036,18057
1386,1358
1386,1359
22567,4
22567,5695
22567,510
28548,6338
28548,56903
28548,40973
1147,4
1147,1160
1147,531
157276,5695
87890,4
87890,1262
20488,4
20488,4475
20488,8966
27682,2298
67601,3369
71148,1912
158315,4
158315,16770
86903,56426
86903,11876
86903,3604
86903,121586
86903,138591
86903,64911
86903,31850
86903,84647
86903,67382
159981,159983
93252,6645
93252,6658
93252,69269
93252,3066
93252,130621
93252,73367
93252,6672
93252,93279
93252,6701
154573,93269
154573,6669
154573,121932
154573,160038
154573,93314
154573,6704
154573,160055
154573,93336
154573,93337
154573,154584
107006,4
107006,26486
107006,100196
61687,3369
35619,23200
25661,12042
25661,7856
25661,42418
25661,33548
25661,160612
25661,129929
25661,40581
161069,510
101209,30030
68939,3604
162536,3369
162536,16649
128344,57254
128344,66279
128344,162569
54738,510
143704,531
28572,1262
133528,99573
155105,4
155105,3604
20031,17520
22502,28673
59602,8755
153566,1805
37657,22566
37657,37694
165791,6658
165791,6708
82861,23284
35985,4
165957,4665
6645,93252
6645,6658
6645,3066
6645,130621
6645,93274
6645,6669
6645,73367
6645,130622
6645,6672
6645,160038
6645,6677
6645,93293
6645,9231
6645,6692
6645,39089
6645,93308
6645,6701
6645,93321
6645,165978
9131,4
166842,3369
50222,33833
44989,8702
44989,167290
44989,49184
6551,4
6551,5114
77982,6053
17600,26486
17600,140089
168124,3369
168124,16649
168623,83479
168623,9351
168623,24919
144568,4475
169031,3369
169031,531
24658,34148
24658,36705
24658,6053
1160,531
1160,23200
1160,3919
61293,83970
61293,45431
61293,107442
7617,4310
170141,26486
5114,2298
5114,28548
5114,5123
5114,26092
110592,4
110592,457
110592,68939
110592,26486
110592,43676
110592,531
28951,439
28951,5192
28951,3604
28951,26398
28951,28993
28951,23200
28951,39885
28951,12751
28951,13808
28951,64911
28951,10179
28951,29021
28951,103447
28951,100127
28951,67382
30422,1400
9288,100414
54656,4
54656,2298
54656,1262
54656,3604
21782,4
21782,11978
21782,171691
21782,43322
160176,531
43055,43056
43055,71909
172534,3369
172534,531
14164,7801
14164,11135
5393,22566
22505,4
22505,78347
22505,3066
22505,9208
142069,16431
175911,4412
175911,170661
176388,3369
35209,35207
78347,4
78347,22505
78347,28254
80592,4665
80592,26092
47460,6982
47460,78770
47460,13123
47460,15508
47460,12751
47460,67371
47460,39889
97382,43676
18626,168365
18626,6078
18626,26375
18626,28673
18626,26398
18626,27394
18626,29012
18626,171145
64257,51816
64257,64327
179239,510
2517,37265
2517,104567
2517,170702
2517,40973
2517,132829
2517,64965
2517,144338
2517,128871
2517,93488
2517,179622
2517,35839
2517,42909
2517,60845
2517,123165
2517,81674
121801,57254
121801,66279
121801,98639
121801,93601
121801,179799
43899,43896
89619,4
89619,106666
70629,71485
71897,19640
24513,510
180842,3369
180842,510
12879,29648
12879,12891
12879,10179
12879,29021
87770,179322
80084,4
80084,5087
80084,80077
52730,108380
18861,510
11992,531
1551,4
43056,43055
43056,71909
17513,42418
27381,5393
27381,2733
27381,76920
75578,3369
75578,76920
145550,510
145550,5157
145550,123568
42418,25661
42418,17513
4519,41152
4519,31436
71072,101977
71072,26963
183569,4
16801,53575
16801,92274
16801,3604
16801,121586
16801,39885
16801,89807
16801,12751
16801,13808
16801,39889
16801,64911
16801,103447
16801,67382
134023,3369
134023,16649
26417,42959
26417,36810
28958,12891
28958,28993
63365,31607
87639,4
5123,4665
5123,27484
5123,3604
5123,26398
5123,2173
5123,106570
5123,53967
5123,51177
5123,84647
38937,9208
38937,123165
57254,128344
57254,121801
57254,66279
57254,98639
57254,80818
57254,93601
137059,3604
137059,24919
28383,6338
28383,5393
28383,62001
28383,166945
29648,12879
29648,12891
29648,65774
29648,52293
29648,29012
29648,36521
29648,10179
29648,84225
29648,29021
29648,67504
29648,44308
29648,67515
29648,75470
26486,4
135916,4
4475,4
4475,70408
4475,63644
1912,5123
1912,2173
16970,11029
16970,44316
16970,6078
16970,7801
16970,11050
16970,13123
16970,4394
7684,510
16431,2298
16431,15717
16431,169614
16431,16770
16431,531
16431,16433
16431,126099
28962,6338
28962,12891
28962,44933
28962,65774
28962,65919
28962,40973
28962,29012
28962,10053
28962,10168
28962,10179
28962,67503
28962,10241
28962,67504
28962,35839
28962,15885
28962,44308
28962,67515
28962,57367
28962,67517
89248,4
57977,4884
57977,56426
57977,16528
57977,95037
57977,49184
14570,16528
53189,8755
53189,50319
190403,4
190403,531
51853,5087
191005,94880
183449,11876
149249,3369
138041,531
192017,3369
27983,64911
192414,50512
66279,121801
66279,57254
66279,98639
66279,93601
66279,179799
114351,1711
192913,3369
192913,16649
4412,118370
4412,40973
4412,58294
4412,35839
79657,37308
79657,87330
79657,43597
79657,77138
79657,20327
47321,32433
92274,3604
92274,109994
92274,12751
92274,13808
92274,103447
92274,53967
130080,510
130080,8497
30351,28578
194408,177943
16528,4884
16528,56426
16528,57977
16528,14570
16528,39124
194952,531
174678,195517
174678,195518
174678,195520
50319,50315
50319,53189
79743,6078
196530,3369
196530,196531
196530,16649
44799,6078
44799,91965
197061,86903
197061,26486
14170,4310
14170,51652
14170,510
25907,53575
25907,439
25907,50219
25907,28548
25907,80084
25907,11876
25907,6835
25907,26092
25907,5157
145287,47498
197923,14170
197923,152400
28331,11876
28331,3604
28390,7394
28390,28245
28390,11876
28390,109527
28333,4
110442,8755
196130,47499
196130,9208
125640,67062
133265,3369
133265,16649
19048,4
19048,76132
42335,83479
42335,24919
3369,23120
3369,182979
3369,16649
53393,4
88078,3369
200645,199226
46031,23116
46031,3369
46031,16649
94830,4
94830,18966
94830,51652
94830,5393
65106,3369
118370,4412
118370,3604
188676,3369
201307,531
201308,4
201308,510
128817,510
83970,61293
83970,171691
83970,39514
83970,107442
130535,510
130535,107353
202476,202479
202476,202480
202476,202482
14517,4
90459,510
139198,3604
139198,12751
171049,3369
5021,60587
5021,10284
5021,138663
5021,138666
5021,25018
168365,18626
168365,26375
178008,3369
64987,56426
64987,24821
64987,16528
64987,39124
64987,64729
64987,132125
64987,73813
187094,3369
138766,4665
138766,11876
138766,3604
138766,26398
138766,73710
138766,13808
138766,106569
138766,10179
138766,204932
1400,4
1400,26972
17520,4
17520,20031
17520,72252
17520,108801
35245,8755
6078,11029
6078,11050
6078,50910
6078,35809
58870,510
98829,4
98829,531
98829,16649
98829,16022
133017,4
133017,1358
133017,1359
133017,1386
148421,68539
200881,132436
11876,4665
11876,183449
11876,92274
11876,25907
11876,28390
11876,207704
11876,3604
11876,75083
11876,11135
11876,13808
11876,207707
11876,171000
11876,51177
11876,80101
11876,207711
207933,3369
39124,8755
39124,56426
39124,16528
39124,64987
39124,148237
39124,182906
39124,64729
39124,31850
39124,208328
39124,116323
68498,11135
169614,16431
169614,16770
169614,531
199981,7394
31140,97293
31140,136726
31140,16022
73861,171071
73861,80163
209664,3369
209664,16649
198531,50434
198531,204290
26375,4
26375,18626
26375,27381
26375,168365
182007,531
210904,4
210904,3604
171050,3369
171050,42831
211369,12751
78041,3369
97154,9208
212363,3369
212726,26963
212805,149346
17561,4
17561,1805
16936,4
16936,7394
16936,6835
16936,1805
16936,16091
510,4
213439,3369
213518,213519
7801,36634
7801,14164
7801,16970
7801,16770
7801,2173
7801,13808
7801,3636
7801,145888
78043,510
55807,510
130582,510
24890,214857
214999,3369
176199,13790
19640,71897
19640,11135
207704,11876
207704,23200
43676,4
11047,11050
11047,173131
97293,31140
97293,136726
216211,4
216211,138173
51071,5393
51071,51177
171071,73861
216817,510
16770,158315
16770,16431
16770,169614
16770,7801
16770,67371
103759,13123
103759,12751
103759,13808
146704,3604
146704,106570
6835,4
6835,25907
6835,16936
78770,47460
78770,92274
78770,15508
43810,43812
219218,24919
27484,4665
27484,12751
32641,1551
65187,510
219774,510
133250,14570
118988,4
162855,11029
162855,26629
162855,16091
162855,10335
220523,100414
144977,3369
26072,13123
26072,12751
26072,18506
26072,220796
26072,26092
26072,37001
50041,3604
50041,84647
88816,27252
124298,3369
53100,3604
221496,3369
221496,16649
5899,4
221823,4
148122,8497
57623,51580
12792,621
16869,6999
222421,43597
139112,12751
139112,39889
205891,3369
31187,50910
31187,13790
31187,16304
31187,13808
62118,3369
140815,223914
37265,2517
37265,96291
215024,101977
77602,3369
77602,156007
44524,78328
62877,3546
62877,3369
62877,118927
85441,223914
133574,3369
133574,6053
51166,39889
42959,4
42959,26417
225122,3369
98625,531
209129,13123
22682,4
22682,510
225714,12751
18057,48226
28673,171145
182424,3604
47402,32780
81181,25907
81181,89805
81181,12751
81181,26092
81181,224595
3604,439
3604,92274
3604,11876
3604,26398
3604,121586
3604,13808
3604,64911
3604,84647
3604,124398
107743,31351
107743,6078
107743,11050
107743,1805
107743,51241
107743,23979
144815,31351
11050,11029
11050,16970
11050,6078
11050,48226
148602,3369
148602,510
228379,3369
51856,6338
51856,6269
51856,19643
81602,3369
81602,42831
81602,64965
81602,186184
16578,82781
16578,31351
16578,17183
16578,23979
167547,3369
229706,3369
19643,51856
37412,3369
230276,3369
134283,3604
230462,510
29459,4
29459,510
230753,4
33548,12042
33548,7856
33548,25661
33548,33551
32780,2298
32780,47402
159983,7394
136726,31140
136726,23976
60857,122711
60857,144247
18665,11876
18665,3604
18665,531
18665,36810
6658,93252
6658,6645
6658,3066
6658,130621
6658,6669
6658,73367
6658,6672
6658,6677
6658,93279
6658,9231
6658,39089
211529,3369
225572,12751
28829,11135
131388,4412
131388,164744
131388,59000
131388,40973
131388,132829
131388,82741
131388,147993
131388,96291
131388,64965
131388,42909
9324,2149
9324,6078
50910,6982
50910,6078
50910,11876
50910,31187
50910,35809
50910,160629
50910,26629
50910,13123
50910,39885
50910,12751
50910,18506
50910,57648
50910,24215
50910,16022
63070,3369
63070,92037
63070,2173
173781,4
212866,51166
36705,24658
36705,3369
50114,32641
50114,26398
50114,16091
50114,39889
50114,22240
34167,510
34167,27484
40176,2426
26398,4665
26398,439
26398,92274
26398,3604
26398,115038
26398,104567
26398,13808
26398,64911
26398,53967
26398,84647
26398,67382
149691,5087
149691,4665
149691,50219
149691,5123
149691,4412
149691,27484
149691,51166
149691,3604
149691,73710
149691,12751
149691,26092
149691,39889
149691,92688
149691,106209
93106,59000
93106,147993
93106,108133
93106,168935
93106,69642
93106,123165
181364,104059
69269,93252
69269,27818
69269,9231
51580,57623
186030,214025
237221,3369
50570,37318
50570,68539
137584,78750
185374,4665
185374,26486
185374,16649
185374,169664
141722,3369
50322,4
50322,531
50322,45431
182979,3369
182979,238481
65474,4
65474,73813
238911,3369
238911,16649
99707,15885
99707,177265
239052,4
151045,67382
239144,3369
37361,4
115038,26398
115038,13808
115038,104571
115038,42831
115038,16016
115038,22240
93195,4
43812,43810
96937,3369
173391,3369
173391,173392
75083,5087
75083,4665
75083,439
75083,5123
75083,11876
75083,3604
75083,13790
75083,2173
75083,12751
75083,13808
41152,4519
41152,24215
242089,4
195555,531
33551,7856
33551,33548
242626,3369
35809,6078
35809,50910
35809,27818
35809,44933
35809,51241
35809,134107
35809,18506
541,3369
541,51319
541,80888
164744,4412
164744,131388
24629,510
168677,3369
168677,16649
43716,4
43716,439
43716,26398
43716,53967
27252,88816
27252,64606
27252,16016
27252,30096
104541,39885
195886,103447
49605,5123
245543,77616
92037,3369
92037,63070
92037,16649
92037,245607
92037,96734
92037,216374
92037,138089
92037,243643
92037,15885
92037,11962
75580,1400
213163,223789
16433,16431
50434,3369
50434,198531
50434,16649
78328,5123
78328,44524
78328,72252
78328,46418
78328,138663
53478,63480
53478,63486
53478,113395
81173,2733
28993,28951
28993,229691
2733,27381
2733,1805
2733,27394
14375,14368
247996,147324
247996,147325
72252,17520
72252,78328
72252,35184
248156,510
248466,9288
248466,100414
248489,26963
248527,3369
248971,4
248971,1262
147228,17283
249095,510
129336,3369
129336,510
244093,5114
13790,439
13790,27484
13790,31187
13790,3604
13790,13123
13790,12751
13790,13808
13790,51177
250519,3369
78750,510
78750,137584
68221,50910
190284,3369
190284,81181
190284,190296
48768,3369
30539,23120
30539,151979
30539,107585
185591,510
252235,3369
144646,51166
144646,12751
160629,6078
160629,50910
160629,18506
77700,92221
77700,5393
77700,64965
77700,35839
77700,42909
77700,10284
77700,93339
223914,140815
223914,18057
196531,196530
196531,16649
252636,3369
252636,16649
23200,4665
23200,1160
23200,28951
23200,92153
23200,13808
23200,39889
50231,33833
50231,50218
50231,104571
50231,38819
215785,3369
253403,3369
92153,4665
175567,3369
63480,53478
63480,63486
66917,10945
66917,23120
66917,8497
76920,28548
76920,75578
255055,510
255217,3369
150912,57114
154833,4
256016,73813
183768,16649
185057,4
173392,3369
173392,173391
173392,16649
104567,4665
104567,2517
104567,5123
104567,26398
104567,16304
104567,104571
104567,22240
104567,232850
104567,101109
187918,439
187918,11876
187918,3604
187918,26398
187918,13790
187918,12751
187918,18506
187918,51177
187918,22240
187918,206354
46260,50353
42251,50218
42251,31607
202648,3369
9951,51319
9951,59000
9951,40973
9951,132827
9951,132829
9951,82741
9951,147993
9951,164151
9951,186184
9951,108133
9951,35839
9951,15885
9951,168935
9951,69642
9951,25284
9951,147997
9951,93171
9951,143554
9951,123165
9951,81674
229230,3369
229230,25018
242386,258313
242386,258317
258526,3369
258538,3369
115005,4
115005,5123
115005,28390
115005,3604
115005,16649
115005,53967
56903,28548
56903,5393
81202,23120
259593,3369
259593,16649
28596,219303
73709,27484
73709,168585
73709,51241
73709,17172
73709,26092
73709,74765
16304,31187
16304,50910
16304,75083
16304,104567
16304,104571
16304,22240
172473,510
217029,439
217029,53967
147324,247996
112582,3369
40056,531
110093,129341
110093,128871
110093,81933
51319,6338
51319,2517
51319,4412
51319,541
51319,9951
51319,59000
51319,40973
51319,132827
51319,132829
51319,82741
51319,147993
51319,96291
51319,64965
51319,144338
51319,108133
51319,35839
51319,42909
51319,69642
51319,261145
51319,123165
51319,81674
261212,2298
261212,261698
95586,135555
47498,145287
47498,3066
47498,121932
47498,9229
142826,80281
142826,53800
142826,53859
198639,81181
198639,15885
262151,3369
262258,3369
68223,20358
68223,182043
122711,60857
70524,101977
195059,6658
195059,3066
262576,3369
222831,50434
168585,73709
168585,26092
83479,42335
83479,9351
83479,24919
83479,242840
230483,3369
130153,531
264874,3369
264874,510
166476,3369
166476,531
166476,214025
166476,189779
158065,531
265367,3369
265367,50434
47499,196130
224237,531
265531,3369
265813,265816
116940,122663
116940,108920
266037,3369
4798,71246
163684,14570
163684,62564
22313,94880
8897,50218
8897,531
8897,47615
266557,189779
31032,50434
266825,2298
73710,4665
73710,5123
73710,138766
73710,26092
73710,5157
73710,106569
208355,48768
9351,12751
9351,24919
170702,2517
170702,3369
170702,510
170702,120250
26629,50910
26629,12751
26629,30097
267206,3369
3066,4
3066,93252
3066,6658
3066,47498
60201,26486
60201,134290
58769,4
58769,5123
58769,3604
160612,25661
160612,12751
171691,21782
171691,83970
191049,1262
40255,57993
214025,186030
214025,166476
214025,93480
214025,182497
81699,3369
268170,4
268263,23116
268263,22502
268263,15885
268545,3369
47615,23120
47615,8897
46733,37308
46733,53575
46733,5114
46733,3604
46733,38602
46733,22814
46733,7185
46733,26092
46733,62353
46733,74376
27818,31607
52210,111592
270306,3369
192128,56426
255849,4
44933,3604
201649,3369
93269,93337
272099,48768
86932,531
86932,167
132436,64528
132436,200881
272273,3604
119704,119705
272348,272349
272516,3369
199234,531
272765,3369
13123,6982
13123,11029
13123,439
13123,16970
13123,6078
13123,11876
13123,103759
13123,27484
13123,26398
13123,13790
13123,51241
13123,12751
13123,13808
13123,18506
13123,39889
13123,50962
13123,57648
13123,51177
273860,4
65774,29648
65774,28962
65774,12891
65774,10168
65774,10179
274049,3369
105828,4
105828,531
138173,36810
261698,261212
87268,6078
129924,4665
129924,28390
129924,11876
129924,3604
129924,13123
129924,12751
11135,14164
11135,11876
11135,68498
11135,19640
11135,18895
275554,23120
1805,12843
1805,5393
1805,1551
1805,20358
1805,6078
1805,16936
157599,6078
106880,12510
219490,16801
219490,11876
219490,3604
219490,39885
219490,12751
219490,13808
219490,39889
219490,64911
219490,103447
219490,166174
219490,84647
198128,69269
198128,9208
198128,9231
101977,71072
101977,70524
26972,1400
199748,510
24410,531
100771,1912
276745,3369
133854,531
133854,98430
277329,3369
277659,3369
277659,50434
255911,3369
255911,16649
36970,12891
16649,457
16649,3369
59000,6338
59000,4412
59000,131388
59000,93106
59000,9951
59000,51319
59000,40973
59000,48226
59000,132827
59000,132829
59000,82741
59000,124378
59000,143517
59000,96291
59000,64965
59000,34790
59000,144338
59000,108133
59000,122529
59000,35839
59000,42909
59000,15885
59000,168935
59000,143546
59000,93171
59000,143554
59000,123165
59000,10381
59000,81674
278040,3369
278040,16649
80163,73861
80163,531
278775,510
77846,42335
77846,9351
77846,211640
77846,24919
142835,162721
142835,131640
142835,53859
73365,6645
73365,6658
73365,170925
73365,93274
73365,6672
73365,160038
73365,6677
73365,93279
73365,6692
73365,204518
73365,39089
73365,93308
73365,93314
73365,6701
73365,6704
73365,95848
73365,154584
73365,224480
136801,278251
279050,3369
279143,3369
57993,56426
57993,40255
108383,108380
108383,4412
108383,3369
108383,16649
108383,12751
108383,107585
126658,42831
124549,4
119705,119704
260997,279602
160633,6078
160633,40581
279771,3369
53718,53787
279805,3369
233404,5123
233404,75083
233404,26092
233404,94269
280425,3369
280425,16649
27394,18626
27394,2733
202689,3604
202689,26398
202689,84647
280645,3369
15508,47460
15508,78770
15508,76132
107693,4412
107693,82741
107693,84647
281188,3369
38599,43597
38599,162268
206507,3369
281493,4
258313,242386
258313,258317
100306,9288
282095,3369
282200,94880
278251,136801
278251,43597
278251,20327
27916,531
74938,135427
164493,8755
44086,3604
44086,282758
44086,84647
37983,92274
37983,3604
283284,3369
283284,16649
142002,531
142002,66002
283614,3604
283614,13808
283614,53967
93249,3369
62883,4
62883,4665
176481,4665
176481,3604
176481,23214
176481,124398
178396,71485
45431,61293
45431,50322
45431,95829
143579,4
3624,4
284917,50434
116633,118513
116633,234621
116633,95235
32433,47321
32433,26092
38602,7185
38602,26092
286005,3369
286005,16649
153386,120050
153386,4412
153386,5192
153386,12891
153386,531
286094,3369
99573,133528
99573,1912
99573,3369
247775,4
131967,23116
131967,3369
131967,16649
47220,13808
287068,3369
287068,16649
26963,71072
26963,4475
26963,212726
26963,248489
21608,50353
21608,122663
287700,3369
43515,27484
43515,13808
22814,44119
22814,3604
22814,162268
22814,77138
22814,62353
22814,53967
22814,84647
82686,82689
288008,3369
87330,77138
87330,162325
170925,6645
170925,6658
121887,46418
60587,5021
66383,5393
66383,27381
66383,70301
66383,186184
66383,110577
33097,5123
33097,3604
65919,14825
65919,28962
65919,67517
50512,192414
87074,6658
129341,6338
129341,6078
129341,510
129341,110093
129341,126714
129341,147993
289650,3369
103787,35207
77562,50241
153003,531
155034,3369
155034,6078
290717,3369
290717,16649
119769,85090
119769,53810
119769,53819
119769,131640
119769,53859
119769,142992
264041,4665
199845,228311
167290,44989
139359,4
40973,12042
40973,6338
40973,118365
40973,28548
40973,5393
40973,2517
40973,28962
40973,4412
40973,131388
40973,9951
40973,51319
40973,59000
40973,48226
40973,132827
40973,139726
40973,62001
40973,132829
40973,82741
40973,124378
40973,96291
40973,64965
40973,144338
40973,93488
40973,186184
40973,108133
40973,67504
40973,137652
40973,122529
40973,35839
40973,42909
40973,15885
40973,168935
40973,120250
40973,60845
40973,69642
40973,200332
40973,147997
40973,93171
40973,123165
40973,10381
292033,292035
129929,25661
129929,6078
129929,12751
129929,26092
129929,67382
158289,2912
292933,3369
47223,30030
293156,74938
109994,92274
109994,3604
152407,33728
152407,439
152407,146642
293802,3369
214087,43515
63483,35809
98100,201893
98100,145501
234955,3369
234955,16649
82461,38602
295227,4
295413,15885
48226,31351
48226,18057
48226,11050
48226,40973
48226,175569
48226,16091
48226,30096
48226,23979
295742,3369
295761,3369
22181,1262
295866,149268
92499,531
295958,295959
56536,27357
56536,122711
296119,296120
148232,8755
118970,4
118970,167306
47619,4
9208,38937
9208,3604
9208,9231
9208,71430
297081,3369
91992,78347
91992,28254
79460,209567
76132,19048
76132,15508
76132,12751
93480,214025
93480,182497
93480,189779
93480,93488
130621,93252
130621,6658
130621,9231
59072,78406
118574,4
118574,4412
118574,53718
102661,67062
112862,2374
112862,78328
112862,138663
74745,210119
299557,94880
2173,4310
2173,5123
2173,26092
89805,4
89805,439
89805,56426
89805,3604
89805,13123
89805,51241
89805,12751
89805,13808
89805,26092
89805,64911
89805,67382
93274,6645
93274,6658
93274,73365
93274,130621
93274,6669
93274,6672
93274,271995
93274,160038
93274,93279
93274,93293
93274,6692
93274,39089
93274,93308
93274,6701
93274,93321
93274,160055
93274,93337
73442,4412
300580,3369
6669,6645
6669,6658
6669,130621
6669,73367
6669,130622
6669,6672
6669,6677
6669,93279
6669,93293
6669,6692
6669,39089
6669,93308
3919,23610
3919,23616
3919,1160
3919,531
3919,195096
64367,4475
64367,3604
83119,28673
302219,531
302527,286030
132827,4412
132827,9951
132827,16649
132827,59000
132827,40973
132827,132829
132827,124378
132827,42831
132827,64965
132827,144338
132827,108133
132827,35839
132827,168935
132827,69642
132827,143554
132827,123165
132827,10381
132827,81674
245607,3369
245607,92037
245607,16649
121586,3604
121586,12751
121586,39889
121586,64911
121586,84647
215859,16649
197024,303664
233730,4
303711,3369
73367,93252
73367,6645
73367,6658
73367,69269
73367,130621
73367,6669
73367,130622
73367,6672
73367,6677
73367,93279
73367,93293
73367,9231
73367,6692
73367,39089
73367,93308
73367,6701
73367,93321
73367,95848
73367,93337
304001,3369
50241,439
50241,50218
50241,16801
50241,92274
50241,3604
50241,43716
50241,13790
50241,13123
50241,39885
50241,12751
50241,13808
50241,247125
50241,134333
50241,22240
144247,60857
134290,60201
108801,17520
304552,3369
51241,107743
51241,35809
51241,27252
51241,73709
51241,13123
51241,89805
51241,12751
51241,13808
65851,3369
305110,3369
78406,59072
