U5_USERKEY,U5_INDEG,U5_OUTDEG,U5_ACTIVITY,U5_JOINDATE,U5_REGTIME
2034,0,1,1,138901,138901
2149,8,9,17,34125,34125
2171,4,0,4,135531,135531
2173,67,11,78,84067,84067
2175,70,16,86,142710,142710
2177,433,13,446,160644,160644
2180,36,2,38,138218,138218
2203,2,7,9,144145,144145
2230,52,29,81,148671,148671
2294,2,6,8,167606,167606
2298,17,11,28,62237,62237
2301,5,3,8,142806,142806
2303,3,6,9,34371,34371
2325,10,13,23,79929,79929
2330,6,13,19,132282,132282
2333,11,7,18,170088,170088
2351,36,2,38,133322,133322
2369,74,39,113,128815,128815
2374,13,21,34,56863,56863
2417,987,11,998,165630,165630
2426,9,15,24,81863,81863
2430,3,8,11,159339,159339
2440,1,2,3,134029,134029
2445,6,8,14,143811,143811
2465,7,20,27,130479,130479
2480,85,55,140,101068,101068
2491,2,1,3,158850,158850
2517,46,41,87,85731,85731
2563,27,29,56,155959,155959
2564,1,10,11,150656,150656
2565,5,3,8,154800,154800
2567,191,6,197,127845,127845
2570,7,5,12,143842,143842
2579,2,3,5,161057,161057
2602,5,8,13,166063,166063
2615,0,3,3,170893,170893
2696,288,0,288,138294,138294
2733,27,15,42,3908,3908
2746,75,1,76,132152,132152
2753,168,3,171,105230,105230
2779,12,14,26,108944,108944
2862,11,9,20,139802,139802
2866,24,15,39,129718,129718
2881,16,13,29,129827,129827
2882,28,19,47,130605,130605
2891,13,8,21,141007,141007
2892,9,9,18,129859,129859
2911,27,4,31,147998,147998
2912,8,10,18,39084,39084
2916,7,15,22,150485,150485
2925,16,11,27,130239,130239
2940,78,1,79,135674,135674
2944,5,6,11,86476,86476
2948,12,7,19,92395,92395
2960,0,1,1,88046,88046
3013,45,79,124,98082,98082
3064,1,7,8,98115,98115
3066,15,6,21,8576,8576
3099,4,11,15,160493,160493
3104,10,19,29,151396,151396
3117,1,6,7,155135,155135
3120,1,4,5,148797,148797
3125,5,2,7,133501,133501
3172,1,5,6,44375,44375
3182,0,2,2,153399,153399
3186,2,6,8,119955,119955
3206,2,15,17,163344,163344
3214,13,20,33,142338,142338
3248,0,0,0,61895,61895
3262,5,8,13,131522,131522
3287,3,30,33,135731,135731
3289,48,21,69,134753,134753
3295,8,7,15,95791,95791
3320,0,2,2,133217,133217
3347,11,4,15,170761,170761
3353,46,8,54,140797,140797
3359,27,4,31,136436,136436
3360,146,3,149,155802,155802
3369,812,10,822,65963,65963
3437,11,16,27,166035,166035
3533,40,9,49,133694,133694
3542,15,21,36,151286,151286
3546,18,0,18,18456,18456
3547,191,75,266,136327,136327
3562,11,7,18,144930,144930
3584,14,4,18,130790,130790
3593,18,30,48,142456,142456
3598,26,42,68,137195,137195
3603,197,54,251,103399,103399
3604,509,28,537,62646,62646
3623,3,0,3,127396,127396
3624,1,3,4,57846,57846
3629,16,8,24,132898,132898
3636,7,12,19,58527,58527
3724,10,2,12,97690,97690
3742,6,4,10,123140,123140
3759,4,3,7,118626,118626
3807,68,15,83,155941,155941
3845,9,1,10,141433,141433
3882,10,13,23,143107,143107
3891,0,2,2,142464,142464
3905,0,2,2,144710,144710
3919,7,11,18,73797,73797
3933,1,8,9,62852,62852
3947,1,8,9,138946,138946
3952,2,9,11,167205,167205
3962,4,1,5,167477,167477
3972,177,79,256,138900,138900
3994,262,29,291,138280,138280
3998,444,2,446,134083,134083
4024,1,2,3,103146,103146
4034,1,2,3,150013,150013
4069,7,2,9,143418,143418
4125,0,4,4,132724,132724
4127,24,4,28,155342,155342
4129,16,1,17,148196,148196
4165,4,8,12,156528,156528
4177,128,106,234,134957,134957
4310,16,28,44,75287,75287
4319,1,5,6,55208,55208
4346,27,5,32,122630,122630
4348,5,24,29,117343,117343
4364,11,3,14,157686,157686
4378,118,6,124,122562,122562
4381,7,5,12,151017,151017
4394,11,5,16,58368,58368
4407,30,47,77,142568,142568
4412,88,11,99,78442,78442
4456,1,1,2,109819,109819
4475,34,14,48,67926,67926
4490,1,2,3,151860,151860
4514,29,4,33,89181,89181
4519,10,15,25,66213,66213
4528,20,12,32,151369,151369
4561,9,9,18,151469,151469
4564,9,17,26,89589,89589
4567,13,10,23,152098,152098
4570,18,13,31,154726,154726
4582,2,3,5,61516,61516
4619,12,16,28,131162,131162
4665,214,72,286,2064,2064
4690,3,2,5,94429,94429
4718,24,32,56,116186,116186
4732,18,1,19,133468,133468
4798,1,1,2,73327,73327
4804,1,2,3,73597,73597
4839,0,0,0,105134,105134
4876,3,5,8,97573,97573
4884,6,8,14,72440,72440
4926,1,2,3,152908,152908
4974,54,15,69,102434,102434
5021,12,14,26,68301,68301
5054,1,0,1,154234,154234
5087,49,48,97,76946,76946
5114,46,28,74,71971,71971
5122,1,2,3,153985,153985
5123,134,38,172,58906,58906
5137,160,99,259,88153,88153
5143,89,63,152,169701,169701
5155,72,54,126,147325,147325
5157,28,1,29,77838,77838
5163,116,14,130,147757,147757
5186,48,13,61,122103,122103
5189,42,7,49,107999,107999
5191,35,3,38,131632,131632
5192,18,0,18,63603,63603
5222,0,1,1,145502,145502
5226,1257,164,1421,111466,111466
5237,4,5,9,159973,159973
5265,5,7,12,89072,89072
5281,60,38,98,117064,117064
5310,5,0,5,71960,71960
5339,2,5,7,141396,141396
5377,1,10,11,137510,137510
5387,6,26,32,115610,115610
5392,6,6,12,149602,149602
5393,78,5,83,1863,1863
5444,2,8,10,15388,15388
5455,1,2,3,140776,140776
5500,100,23,123,136090,136090
5506,2,5,7,73746,73746
5524,0,1,1,139809,139809
5537,7,12,19,155305,155305
5550,16,4,20,97171,97171
5664,43,0,43,167056,167056
5695,3,2,5,70435,70435
5753,6,13,19,154647,154647
5843,16,23,39,134400,134400
5847,0,1,1,121367,121367
5851,7,15,22,152031,152031
5899,6,1,7,55624,55624
5948,70,19,89,160462,160462
6029,3,6,9,139221,139221
6039,26,22,48,132778,132778
6053,39,3,42,75147,75147
6072,7,25,32,119926,119926
6078,89,15,104,57007,57007
6081,97,10,107,128626,128626
6104,25,19,44,134373,134373
6130,2,2,4,142290,142290
6150,22,10,32,167866,167866
6184,4,5,9,148450,148450
6193,2,9,11,148416,148416
6232,1,4,5,128302,128302
6269,11,14,25,55517,55517
6329,22,11,33,134320,134320
6338,83,46,129,48478,48478
6443,1,2,3,66740,66740
6477,1,14,15,153124,153124
6493,7,4,11,87258,87258
6520,2,6,8,142022,142022
6551,5,9,14,73356,73356
6568,1,2,3,142860,142860
6578,2,0,2,166022,166022
6588,4,13,17,146392,146392
6590,15,8,23,128100,128100
6625,3,8,11,118029,118029
6637,4,2,6,102509,102509
6642,38,9,47,101216,101216
6645,69,34,103,9872,9872
6658,73,22,95,13064,13064
6662,32,34,66,135884,135884
6668,33,17,50,101444,101444
6669,27,24,51,8491,8491
6672,41,3,44,11843,11843
6674,72,21,93,119767,119767
6677,44,7,51,22490,22490
6688,14,13,27,127329,127329
6692,37,32,69,23947,23947
6701,36,33,69,12052,12052
6704,18,58,76,37459,37459
6707,19,15,34,100862,100862
6708,22,38,60,20114,20114
6759,10,6,16,161094,161094
6817,8,16,24,150930,150930
6821,2,3,5,102106,102106
6835,17,12,29,56806,56806
6882,10,9,19,148166,148166
6940,368,56,424,111471,111471
6944,0,0,0,113275,113275
6963,43,2,45,152764,152764
6982,45,59,104,60818,60818
6992,2,8,10,130714,130714
6999,6,6,12,55025,55025
7020,1,10,11,145952,145952
7091,2,6,8,134866,134866
7100,12,7,19,156573,156573
7121,4,9,13,151773,151773
7185,4,2,6,70531,70531
7200,2,5,7,155714,155714
7245,1,3,4,58343,58343
7257,0,3,3,145134,145134
7259,15,22,37,148006,148006
7271,36,7,43,136407,136407
7281,1,3,4,136273,136273
7319,1,6,7,128678,128678
7320,5,4,9,158345,158345
7360,1,0,1,160077,160077
7377,10,21,31,118830,118830
7394,8,6,14,55027,55027
7406,80,48,128,162514,162514
7457,4,11,15,155427,155427
7462,22,25,47,99318,99318
7476,25,23,48,130630,130630
7501,165,45,210,149815,149815
7520,7,8,15,146702,146702
7551,690,51,741,146443,146443
7614,8,13,21,106119,106119
7617,5,5,10,75509,75509
7684,4,1,5,82328,82328
7695,0,2,2,117061,117061
7779,28,23,51,147418,147418
7801,26,36,62,77958,77958
7811,1,1,2,135609,135609
7856,5,7,12,55951,55951
7882,3,1,4,134267,134267
8004,1,1,2,108512,108512
8098,1,1,2,162772,162772
8122,52,5,57,127987,127987
8247,0,0,0,142424,142424
8253,0,1,1,145656,145656
8266,22,8,30,140699,140699
8291,2,2,4,137564,137564
8324,0,2,2,165174,165174
8352,8,13,21,98036,98036
8374,0,5,5,157291,157291
8391,241,31,272,136644,136644
8410,21,3,24,112551,112551
8431,0,2,2,135652,135652
8437,0,1,1,134124,134124
8442,0,0,0,163202,163202
8451,4,3,7,163097,163097
8454,12,26,38,170325,170325
8460,27,4,31,168506,168506
8497,15,2,17,78767,78767
8568,13,3,16,164578,164578
8591,7,18,25,152214,152214
8592,4,5,9,137068,137068
8633,1,8,9,85759,85759
8655,0,3,3,150082,150082
8702,50,10,60,71341,71341
8711,225,7,232,147727,147727
8755,79,10,89,73048,73048
8760,1,3,4,78923,78923
8794,3,3,6,71573,71573
8811,25,7,32,146634,146634
8846,1,0,1,90037,90037
8855,17,16,33,138433,138433
8864,2,6,8,148820,148820
8897,4,11,15,71918,71918
8903,108,23,131,141942,141942
8966,14,96,110,69401,69401
8992,26,15,41,162834,162834
9011,3,17,20,131508,131508
9021,62,66,128,138539,138539
9036,48,49,97,139225,139225
9060,2,6,8,134143,134143
9090,5,2,7,137873,137873
9096,11,15,26,155590,155590
9099,0,4,4,147538,147538
9102,6,1,7,127414,127414
9107,36,15,51,131805,131805
9129,10,3,13,108769,108769
9131,1,1,2,56617,56617
9161,16,26,42,123147,123147
9186,7,23,30,102389,102389
9206,8,8,16,95346,95346
9208,41,10,51,25547,25547
9210,7,7,14,101842,101842
9217,11,9,20,134067,134067
9223,9,4,13,105392,105392
9229,11,9,20,7802,7802
9231,28,2,30,10158,10158
9232,2,16,18,144853,144853
9254,30,11,41,119214,119214
9288,8,1,9,50838,50838
9299,24,15,39,151475,151475
9304,12,12,24,167453,167453
9305,10,1,11,148807,148807
9311,13,27,40,145382,145382
9312,2,3,5,130857,130857
9324,1,4,5,73781,73781
9351,30,11,41,58292,58292
9380,1,12,13,137065,137065
9384,4,2,6,105345,105345
9385,5,4,9,137807,137807
9391,2,1,3,134033,134033
9398,2,1,3,151187,151187
9417,22,46,68,118915,118915
9445,0,0,0,152673,152673
9476,4,18,22,114179,114179
9494,4,7,11,167465,167465
9508,43,13,56,169106,169106
9514,10,31,41,77983,77983
9539,0,9,9,100496,100496
9586,2,5,7,109135,109135
9596,7,17,24,132201,132201
9604,55,23,78,132991,132991
9605,62,30,92,161923,161923
9672,84,4,88,149178,149178
9681,2,2,4,133904,133904
9704,94,6,100,107256,107256
9727,3,4,7,142392,142392
9731,61,6,67,135977,135977
9756,1,3,4,170505,170505
9792,5,8,13,155030,155030
9800,26,6,32,139801,139801
9815,11,4,15,126138,126138
9816,9,16,25,137365,137365
9861,2,2,4,164212,164212
9874,3,7,10,155615,155615
9883,1,1,2,134017,134017
9920,2,0,2,129210,129210
9931,2,2,4,169219,169219
9940,3,7,10,134598,134598
9941,27,39,66,97242,97242
9947,24,8,32,140602,140602
9951,40,40,80,69062,69062
9960,30,45,75,163464,163464
9964,162,23,185,102582,102582
9972,155,29,184,161423,161423
10013,10,24,34,136817,136817
10017,4,5,9,149954,149954
10021,4,4,8,131761,131761
10044,52,4,56,168154,168154
10053,32,9,41,44670,44670
10084,3,4,7,142098,142098
10087,4,38,42,134722,134722
10091,8,7,15,73168,73168
10105,1,10,11,153740,153740
10112,2,0,2,155571,155571
10140,16,1,17,108289,108289
10168,12,10,22,74301,74301
10179,37,52,89,46374,46374
10193,15,14,29,140528,140528
10224,12,15,27,133105,133105
10241,4,16,20,29526,29526
10269,12,5,17,54890,54890
10273,11,21,32,82009,82009
10282,1,2,3,136311,136311
10284,8,25,33,1230,1230
10305,3,15,18,163225,163225
10309,11,3,14,155168,155168
10319,7,5,12,97706,97706
10333,6,18,24,119046,119046
10335,13,40,53,21843,21843
10343,7,23,30,29636,29636
10350,6,26,32,159632,159632
10351,2,5,7,160722,160722
10352,4,5,9,136354,136354
10367,6,7,13,10570,10570
10381,9,25,34,23116,23116
10385,1,8,9,150963,150963
10650,53,32,85,148026,148026
10691,5,2,7,157113,157113
10816,15,21,36,104535,104535
10817,14,9,23,161630,161630
10837,6,6,12,129127,129127
10853,161,78,239,117471,117471
10925,37,24,61,118725,118725
10941,2,2,4,117594,117594
10945,7,11,18,63090,63090
10950,2,4,6,63560,63560
10985,5,6,11,140249,140249
11029,16,4,20,48935,48935
11036,228,53,281,105743,105743
11047,0,5,5,38975,38975
11049,4,5,9,147957,147957
11050,22,4,26,47873,47873
11094,7,5,12,152263,152263
11135,26,25,51,43276,43276
11176,68,1,69,151445,151445
11197,28,7,35,149799,149799
11208,6,12,18,162524,162524
11223,0,2,2,45920,45920
11255,4,6,10,143670,143670
11256,16,23,39,57044,57044
11257,5,5,10,91334,91334
11264,8,12,20,157924,157924
11315,4,4,8,125814,125814
11336,25,6,31,100416,100416
11342,32,16,48,142108,142108
11375,4,10,14,155606,155606
11393,15,3,18,125910,125910
11474,0,1,1,107833,107833
11506,1,1,2,130717,130717
11516,10,11,21,53771,53771
11521,7,10,17,118124,118124
11530,4,19,23,154011,154011
11542,24,29,53,108544,108544
11547,16,4,20,133477,133477
11569,70,8,78,142014,142014
11622,6,3,9,98811,98811
11656,12,18,30,147874,147874
11677,171,25,196,118166,118166
11692,21,36,57,115558,115558
11744,2,7,9,73323,73323
11760,1,15,16,155509,155509
11769,5,11,16,148578,148578
11844,28,0,28,158823,158823
11856,1,8,9,130811,130811
11876,96,47,143,69557,69557
11892,0,2,2,140868,140868
11901,0,1,1,169410,169410
11905,28,103,131,108598,108598
11962,11,12,23,83286,83286
11971,2,2,4,160135,160135
11978,16,6,22,71032,71032
11979,22,6,28,164740,164740
11981,87,15,102,131646,131646
11991,348,53,401,132728,132728
11992,2,2,4,73220,73220
12022,143,43,186,141903,141903
12038,2,9,11,133455,133455
12042,4,5,9,71238,71238
12045,0,4,4,137691,137691
12122,0,5,5,132817,132817
12132,1,2,3,142756,142756
12159,3,6,9,141354,141354
12281,207,2,209,152654,152654
12304,6,10,16,146642,146642
12340,3,6,9,153080,153080
12383,2,9,11,155492,155492
12462,17,16,33,123145,123145
12468,3,2,5,150942,150942
12477,11,31,42,108595,108595
12510,59,0,59,20609,20609
12554,0,0,0,152726,152726
12580,0,1,1,66082,66082
12619,3,7,10,133135,133135
12641,11,2,13,68368,68368
12651,40,53,93,137132,137132
12692,0,8,8,83490,83490
12700,12,11,23,159126,159126
12715,41,11,52,167474,167474
12745,16,9,25,149669,149669
12751,275,68,343,57592,57592
12792,2,3,5,77935,77935
12806,42,30,72,138500,138500
12843,3,12,15,73951,73951
12879,15,16,31,83269,83269
12891,42,0,42,80053,80053
12959,2,9,11,149183,149183
13013,4,2,6,58438,58438
13084,6,4,10,163728,163728
13116,29,25,54,136205,136205
13123,127,55,182,27021,27021
13131,36,15,51,124167,124167
13139,52,20,72,159395,159395
13149,2,19,21,151759,151759
13153,21,72,93,149259,149259
13163,67,75,142,131711,131711
13179,3,2,5,165116,165116
13235,27,27,54,160764,160764
13239,8,6,14,135134,135134
13244,6,11,17,145939,145939
13254,0,1,1,101199,101199
13315,2,6,8,125291,125291
13354,7,10,17,153457,153457
13383,38,10,48,102619,102619
13384,8,4,12,121804,121804
13394,0,1,1,122111,122111
13405,0,1,1,85694,85694
13468,4,2,6,125110,125110
13488,0,1,1,159367,159367
13502,54,27,81,151093,151093
13505,91,49,140,151103,151103
13506,103,46,149,151997,151997
13508,45,35,80,150785,150785
13509,52,26,78,151766,151766
13510,51,41,92,150792,150792
13511,51,105,156,151000,151000
13512,2,2,4,163893,163893
13516,134,45,179,149028,149028
13537,1,2,3,65230,65230
13567,3,7,10,100052,100052
13577,2,5,7,122722,122722
13578,0,3,3,74464,74464
13609,23,17,40,109195,109195
13625,0,5,5,172214,172214
13627,21,1,22,97806,97806
13720,1,3,4,159865,159865
13754,12,23,35,162496,162496
13765,57,8,65,132869,132869
13766,44,25,69,147278,147278
13769,0,0,0,149594,149594
13773,28,38,66,111999,111999
13778,28,29,57,116837,116837
13790,48,33,81,29797,29797
13798,208,57,265,153745,153745
13808,261,58,319,32392,32392
13811,269,85,354,112841,112841
13815,0,2,2,74640,74640
13820,99,71,170,137111,137111
13852,1,2,3,168373,168373
13865,1,3,4,143913,143913
13874,9,18,27,140935,140935
13879,49,29,78,133725,133725
13881,6,11,17,136739,136739
13898,1,4,5,142700,142700
13937,4,4,8,148091,148091
13968,2,22,24,59389,59389
14044,6,4,10,147949,147949
14054,7,3,10,55271,55271
14064,168,24,192,146242,146242
14108,0,2,2,123217,123217
14123,9,0,9,99221,99221
14130,5,11,16,165160,165160
14133,2,4,6,115518,115518
14164,11,10,21,43661,43661
14166,114,54,168,150253,150253
14167,12,4,16,154678,154678
14170,10,15,25,73143,73143
14173,5,2,7,154248,154248
14193,4,1,5,138318,138318
14219,3,1,4,145868,145868
14241,6,4,10,138430,138430
14289,2,2,4,153658,153658
14294,2,1,3,99982,99982
14299,4,3,7,155702,155702
14333,3,5,8,73188,73188
14368,2,2,4,57675,57675
14375,2,4,6,76341,76341
14392,9,16,25,169505,169505
14415,6,0,6,148983,148983
14436,0,2,2,167739,167739
14444,4,1,5,168635,168635
14473,10,22,32,158112,158112
14489,6,9,15,106039,106039
14511,0,1,1,142039,142039
14517,3,6,9,55674,55674
14543,25,7,32,149621,149621
14544,10,7,17,73431,73431
14563,2,4,6,154237,154237
14570,81,16,97,71306,71306
14585,2,3,5,146672,146672
14586,5,4,9,139854,139854
14588,36,61,97,146526,146526
14589,171,19,190,148430,148430
14609,131,9,140,146229,146229
14611,166,58,224,121452,121452
14615,435,36,471,147097,147097
14628,14,17,31,120911,120911
14699,3,5,8,156283,156283
14721,72,28,100,124950,124950
14797,20,21,41,133263,133263
14825,11,13,24,32436,32436
14844,17,20,37,120441,120441
14861,0,6,6,138413,138413
14899,2,3,5,155992,155992
14907,131,11,142,115478,115478
14910,0,6,6,149158,149158
14947,10,9,19,129515,129515
14957,120,98,218,132457,132457
14960,9,7,16,164160,164160
14966,1,1,2,83132,83132
15013,3,5,8,142052,142052
15016,4,4,8,134191,134191
15169,9,13,22,130473,130473
15184,64,23,87,140853,140853
15188,86,36,122,154849,154849
15196,214,34,248,154512,154512
15221,1,0,1,168274,168274
15277,1,1,2,107877,107877
15294,4,10,14,101388,101388
15376,1,4,5,133433,133433
15410,0,2,2,167196,167196
15439,16,62,78,136800,136800
15458,85,11,96,129914,129914
15483,6,9,15,163588,163588
15489,146,13,159,157948,157948
15508,16,15,31,16734,16734
15513,65,9,74,147440,147440
15555,0,2,2,136509,136509
15596,9,1,10,131741,131741
15687,16,18,34,129402,129402
15688,4,5,9,133900,133900
15694,2,4,6,133022,133022
15717,3,5,8,68953,68953
15722,0,2,2,166884,166884
15741,23,27,50,153844,153844
15794,33,39,72,146734,146734
15814,3,4,7,141656,141656
15871,4,10,14,155199,155199
15885,60,1,61,67416,67416
15911,2,1,3,85704,85704
15934,15,7,22,131301,131301
15975,4,6,10,162662,162662
15976,2,2,4,98692,98692
16016,10,11,21,57043,57043
16022,19,0,19,64999,64999
16025,3,10,13,151221,151221
16038,5,6,11,136948,136948
16091,34,4,38,15211,15211
16115,2,15,17,104503,104503
16140,5,15,20,133957,133957
16155,5,13,18,97048,97048
16210,22,2,24,159860,159860
16231,0,0,0,137227,137227
16303,19,33,52,148167,148167
16304,5,19,24,55577,55577
16309,1,3,4,72874,72874
16326,1,3,4,155845,155845
16363,0,1,1,58799,58799
16405,0,2,2,137329,137329
16429,32,26,58,89389,89389
16431,15,16,31,68799,68799
16433,8,2,10,70155,70155
16460,45,2,47,159903,159903
16511,0,1,1,150770,150770
16514,30,14,44,126379,126379
16528,35,37,72,71527,71527
16536,14,0,14,155703,155703
16547,66,19,85,146880,146880
16549,10,5,15,165136,165136
16571,5,5,10,126368,126368
16578,9,11,20,62316,62316
16649,192,4,196,59439,59439
16682,3,2,5,145631,145631
16721,1,1,2,136372,136372
16723,1,3,4,130658,130658
16758,0,5,5,157420,157420
16766,21,20,41,128203,128203
16770,23,13,36,40196,40196
16772,37,9,46,154015,154015
16801,47,49,96,20364,20364
16822,18,6,24,135179,135179
16824,33,7,40,112587,112587
16869,1,1,2,71454,71454
16901,3,9,12,120997,120997
16927,8,3,11,149603,149603
16936,2,9,11,57044,57044
16959,0,0,0,105606,105606
16970,13,36,49,43526,43526
16973,6,9,15,123784,123784
16978,53,18,71,137058,137058
16990,8,11,19,118091,118091
17035,8,8,16,149250,149250
17111,9,9,18,146726,146726
17133,5,19,24,148510,148510
17172,6,6,12,17273,17273
17183,10,8,18,62489,62489
17185,49,49,98,106165,106165
17191,11,30,41,128354,128354
17192,7,12,19,133676,133676
17193,5,35,40,154658,154658
17205,1,4,5,135433,135433
17240,11,8,19,141992,141992
17244,2,11,13,81765,81765
17270,5,1,6,136179,136179
17283,1,5,6,37770,37770
17346,2,3,5,132040,132040
17448,0,2,2,158184,158184
17487,12,2,14,105724,105724
17513,5,7,12,64104,64104
17520,7,9,16,56046,56046
17527,14,46,60,132277,132277
17531,16,7,23,160122,160122
17538,34,3,37,168825,168825
17555,5,8,13,158574,158574
17561,4,7,11,58638,58638
17568,1,7,8,162133,162133
17573,9,14,23,137733,137733
17600,0,3,3,52592,52592
17647,9,18,27,90186,90186
17705,2,1,3,123704,123704
17708,2,3,5,139477,139477
17748,1,3,4,103476,103476
17808,2,5,7,112793,112793
17856,0,0,0,142353,142353
17915,15,35,50,123216,123216
17926,2,2,4,163572,163572
17939,57,17,74,140405,140405
17991,1,0,1,134408,134408
18034,10,0,10,137969,137969
18036,22,9,31,130772,130772
18040,20,38,58,155346,155346
18057,8,1,9,58155,58155
18065,1,7,8,155348,155348
18077,3,6,9,168425,168425
18086,32,31,63,147869,147869
18097,45,48,93,151859,151859
18183,6,0,6,120250,120250
18223,46,4,50,146709,146709
18270,0,3,3,55284,55284
18309,35,39,74,164598,164598
18318,5,5,10,160482,160482
18368,5,2,7,151692,151692
18395,5,5,10,159495,159495
18506,40,28,68,53917,53917
18526,15,7,22,164652,164652
18598,1,4,5,161867,161867
18600,4,8,12,136228,136228
18602,2,3,5,85984,85984
18608,23,12,35,134210,134210
18624,9,16,25,163867,163867
18626,4,22,26,3406,3406
18641,14,8,22,148678,148678
18665,10,26,36,55607,55607
18666,23,36,59,155810,155810
18674,1,6,7,167323,167323
18675,17,20,37,133976,133976
18712,15,6,21,137573,137573
18719,1,0,1,142843,142843
18764,2,7,9,128227,128227
18777,2,2,4,161808,161808
18852,1,2,3,66131,66131
18861,0,1,1,56646,56646
18863,0,7,7,140599,140599
18895,7,11,18,78553,78553
18906,3,5,8,74168,74168
18965,4,4,8,160729,160729
18966,6,19,25,34448,34448
18973,4,8,12,73908,73908
18975,0,1,1,69567,69567
18979,0,1,1,159794,159794
18987,1,5,6,49155,49155
19002,1,17,18,136399,136399
19010,1,5,6,167942,167942
19023,0,1,1,161561,161561
19047,19,7,26,150112,150112
19048,8,5,13,58618,58618
19074,4,4,8,141120,141120
19113,1,1,2,58284,58284
19143,2,4,6,157815,157815
19166,0,1,1,104764,104764
19178,17,43,60,164974,164974
19246,2,6,8,141559,141559
19262,4,34,38,136260,136260
19265,10,9,19,145723,145723
19284,5,7,12,149116,149116
19295,0,2,2,59643,59643
19331,0,3,3,105941,105941
19335,0,3,3,59231,59231
19347,6,5,11,134433,134433
19431,5,0,5,151326,151326
19504,1,2,3,104471,104471
19535,4,2,6,71498,71498
19563,5,9,14,154285,154285
19570,3,3,6,131939,131939
19574,0,3,3,170674,170674
19593,23,13,36,129369,129369
19604,404,18,422,132878,132878
19605,28,25,53,164251,164251
19640,2,4,6,51782,51782
19643,5,5,10,52880,52880
19792,5,6,11,138740,138740
19808,10,7,17,162163,162163
19827,0,1,1,61438,61438
19837,10,17,27,121524,121524
19860,5,3,8,73336,73336
19862,19,15,34,139200,139200
19880,68,23,91,142889,142889
19886,6,8,14,117965,117965
19890,6,8,14,114734,114734
19919,1,2,3,153787,153787
19920,6,3,9,148998,148998
20031,1,6,7,58020,58020
20072,5,4,9,160797,160797
20073,9,21,30,104502,104502
20188,0,2,2,136990,136990
20219,1,6,7,122392,122392
20261,6,10,16,122967,122967
20265,6,6,12,120671,120671
20273,19,22,41,151534,151534
20327,17,9,26,74404,74404
