P1_P_PARTKEY,P1_P_NAME,P1_P_MFGR,P1_P_BRAND,P1_P_TYPE,P1_P_SIZE,P1_P_CONTAINER,P1_P_RETAILPRICE,P1_P_COMMENT,nonce
428658746,506660852,-1167262669,-555940813,-785818121,1814388605,649396717,-2060858860,1565097344,1555
876540571,-2084799108,273757046,-733717692,205465993,296279483,93365384,-513329506,-627693304,1556
1374685196,-1151808925,1103316638,-2142264297,1700485157,-939290510,1844588732,-1240120007,-268941178,1557
-2122462268,660629726,801637620,-125083110,185958978,-1013651094,157603108,-1434949891,-222240858,1558
2082551653,-443958264,1527288482,-842532857,863446160,719365481,1380873462,-1547685700,1671612152,1559
-1045687880,1052583384,993630712,-1174788168,832433471,-1871734914,-303935316,-1642603932,1848903767,1560
-1790389162,758522854,-950915680,-2050901340,1457065210,2076181125,-101545231,-1240068935,306455270,1561
-466545540,1438322619,922424840,1721399016,1046039187,-1731401187,1938613052,-60690105,-376797481,1562
1697281539,-1543146953,-291010239,427096988,644064315,778520948,1280583430,586686563,287163898,1563
-540006726,696039673,884893537,935215565,-236614394,-540065131,321663521,-715659093,1394322197,1564
-714622481,-102113483,-832985335,1674438684,-363599715,-1668765848,1355779740,70480332,825692832,1565
-1910868117,1155985557,205611839,1802465494,-34078402,-1159367745,-1031778769,-1362940826,1556268013,1566
-155237476,1866161700,-798264163,1501231523,-2097279652,926107482,113203254,452666702,-1936575872,1567
-1588725371,1002175627,-737509657,-1417487904,426243284,-654035882,-1338417066,300697947,1414984707,1568
2053290804,-840573557,374741610,-196167318,-1561809676,740403002,1291547570,2075424033,-1232145584,1569
-705698620,-18824638,270741766,-1130434078,489995452,240519947,-1851442127,-2037067570,1401116147,1570
-590062468,-1354785948,-943848366,263151715,1399863398,1279228111,-862917203,-2107319763,-1711199824,1571
1581460062,859535929,455475334,438232823,464783441,1276794884,-308973182,350974478,843049540,1572
-1737713046,1686092712,1621487282,1473864034,1950061383,-426002263,945267916,-2081666349,-2103172416,1573
560936144,-1132346976,-815923257,254367656,801784581,1616061402,-2074133452,1149496883,-757082774,1574
-1445496729,2058391582,623549736,861556598,-2023825648,303468361,-1657992051,947580143,-1067138355,1575
-1665776864,968823726,-848257716,498664104,71862535,160838151,1893897617,1920847605,-636634927,1576
1528560662,918165682,-1158099040,686937632,2133554829,835319275,580791836,771255752,-1624655927,1577
865145215,1330637815,-1449401763,-1279411410,-77017645,211393717,-415470751,695039253,-1458748746,1578
-574625400,-1426959926,-2141143264,288499364,1703942302,-1269523654,1385257017,-995152334,954505639,1579
-1492826830,342817067,1038420348,-695262424,1956330330,1556618889,-221233149,637267989,-1062549876,1580
320766474,-253420776,1763672565,-1216743295,2105328597,1967858885,1586135741,-534084440,1365108414,1581
778526388,1096692488,2006744102,-1053164648,-647927914,-1331104617,1567262275,64438162,278653675,1582
1637097144,359477848,-870012941,-2493227,1492270494,225117277,1133770556,1451721064,1516292455,1583
-1059031976,256539839,1536307793,-1205459700,536237269,-177319607,-1109756083,-768435924,548456520,1584
-1163609431,-210592449,-143920340,-1594042696,451233363,-1995003565,838336581,-1305910286,1599030471,1585
-1255674304,701276590,1037007075,-625474205,-2135489278,939338015,-1715966731,-261102841,227741166,1586
382350286,-216361165,1069332738,-2102201538,2014452778,-1985071439,870473210,941642688,-1707114386,1587
-1569483957,-1444392397,-258554747,-262654166,1145296728,108438542,-514402420,-367160971,-947337856,1588
-368822571,72465433,678172459,1886558849,347202721,1816388025,2021300959,627520546,-447388821,1589
-2001511864,-2086528857,625879104,-1243539472,-1377041948,-380562331,-1115702317,165932045,2075275398,1590
2140202636,1207862708,1133548144,-1528685115,1398163545,-1844098880,-1499289260,1534072988,95443496,1591
271002033,-1295605988,-813550144,854903407,-994893411,-961120601,1776235544,1576600474,-668680403,1592
573723234,847754236,404045976,-2062602385,-581188508,-928976330,126756787,956383687,-181055817,1593
1764267089,624026295,-807783016,-342548940,-1926321019,269302983,-2114859862,1315204200,1474689193,1594
-1709437994,897020988,1351896066,-55175203,1577834887,-1909927256,1337385414,-838121916,648590871,1595
1644915137,-1183770158,2094680879,1157377120,-1652460060,369698414,-1685813279,334629254,480887968,1596
-276837581,-397594457,2118763809,1521652935,440123620,774364552,1883578270,927840306,-1782737797,1597
1875630937,2124142901,315612473,-910095468,-1396968813,1614069629,-1294652293,-1750609803,1541085736,1598
-788920015,1431074679,-500861881,-208876422,-9320450,1468358069,-1057005712,-962469044,-863339003,1599
-2040722897,-1477890989,84764232,-1016281803,-929780635,1447086496,-1982448607,1981288437,2101140946,1600
167537958,-2107278720,-1768373224,-938564511,-941337636,1629549262,-795379205,494929979,-1170658363,1601
810671429,561393514,-931167759,-1161582633,1429306517,-272411141,38805274,425409769,-1165785871,1602
-479077096,458633137,-1952673438,1877888742,-2096361156,2057497079,1067519454,-354730403,1211535958,1603
-140256325,-1933843414,1488856366,-1526820058,-831987326,368046477,-1123153348,-875842759,118599781,1604
174481620,2114966292,1776413538,1822782464,-562508167,-1287888814,1367091334,-23882177,-846726855,1605
1514929001,-161670133,-849304096,231110031,-927557427,789321161,871687357,184994279,1250970233,1606
-247857574,-492761583,1234648957,1068960866,2059031491,1091181145,523020899,-149753842,-716471044,1607
-1268176166,5355103,-1857442311,280165110,-1201664076,-710123167,-1110729693,-292972503,-1011005951,1608
-1372755429,624647418,-2105419642,421033763,745464685,-1805911449,1523736719,-307212120,-526317557,1609
997967951,223446853,1131597447,-1098032714,1225560404,-2039533775,427326726,970060293,-1028019970,1610
-2018534281,-835454598,873653490,559451779,647572076,626681578,-488983075,1327913246,-1325720375,1611
-1854352861,-1742966947,1025028522,1472020971,378928232,-1638040305,1763936534,-1723909079,-845939995,1612
1772895279,82040859,1348436597,-301888099,1891267376,492519625,-776136853,1498187394,-1709420108,1613
1188486640,-1410770414,1008103433,-942734293,989392324,-1903982701,-176762242,-104185206,531338846,1614
973022766,444023550,1190553060,-1881841407,-1961270039,259129856,776659800,1416023971,139794807,1615
1955604481,435295941,1472452615,2008025413,-150096034,1899395279,-49879672,-655672332,-10507111,1616
2049552579,895020717,1499082588,1530424508,2104562549,1361190945,-1065702579,822263987,78683691,1617
2136881771,-306036877,-761844238,1372634708,2138090004,-630802249,1786347823,773718634,1926869432,1618
2138974015,-528291154,-74120421,1685627192,1127787440,-167025999,1869577557,526336702,658307898,1619
-560951747,1020557025,-1720113114,1084860608,-1396664316,-171024841,-1955009918,-1302137214,443448976,1620
175456193,-1157303211,-1887070495,24096092,1538741723,-2021290252,1304577721,209585573,1207417126,1621
1368404713,24822096,-453163109,2103127032,-699277920,-1384023388,-202455720,1673907068,-1559766338,1622
993382438,-1204622700,1611863989,-1664838286,1445004717,1002092987,-713024432,-1458008961,62979454,1623
-363322944,277569861,-1319492359,1885996492,1648799698,-1969954855,-1416312166,888359789,-951996511,1624
767141740,1450802563,-708627079,-1560358625,-2136217807,1527572007,810591085,-1564409774,-40002853,1625
-1939443702,-907869524,1674185975,169196675,85193658,-1229579653,34183872,-295386527,736880051,1626
2035319458,-676134178,-733245759,1959234197,1002682422,-817780886,1673437331,443613130,895471505,1627
-1243439498,1541784309,-808681353,-1557805716,1108173547,581247195,-467900679,1697470710,-739484714,1628
-1444722540,1478274047,-98353872,-1367620112,532445406,1738566375,1868180691,97469745,880641858,1629
1577752828,-683058014,-877932419,1071859831,-1362882620,-365050544,1447335129,-1538966030,1624405121,1630
959841242,-999775722,1525479288,-366802265,-922048320,1968988052,694123594,1793258908,513347610,1631
-1631562033,-652946829,-2065605363,-266884378,-1394394440,1351493134,886603752,436908110,951431535,1632
-1589700179,-1365458822,-603869058,-2042589710,-2002869059,1291475950,-1485795291,-1525973975,-1346430395,1633
-360451081,1817143006,1554154854,1996380973,1878088731,-1167242624,957376607,3509002,503911351,1634
252578728,-57406506,-1516473159,-618354378,-454548556,-1202341818,-253895417,-191927351,-493928342,1635
-996935130,1791460394,23212908,-1665767657,1471149820,1350751355,-1653696407,-456728758,-667929641,1636
252148922,-2060699686,-1545825345,-477653921,-456886711,-1901127570,-279181287,-1833835583,849208798,1637
1763176931,1341480843,917907837,1191223645,-199080480,-1481071282,-432265705,1679286413,-1647366002,1638
-1715572470,1133649919,1552868316,-75886886,-1126752980,1419675790,1191932416,-1759588893,-1109092438,1639
919699436,-1684327242,-2110031370,-1506012620,1366528184,-1768723144,953730420,-183538223,1377229239,1640
-1983151949,-529298537,806704472,-626058621,1230381275,-1782058795,-7934404,672172491,-78416657,1641
-157382887,-495582710,-1141159991,2095366278,-1172391545,-142120596,1185597109,998956639,1896269181,1642
1429360067,-1327920468,-411126659,-1883083197,-1581556744,-1019419885,-1667565838,-1046502415,1277215820,1643
709190677,-812440084,128474651,218545255,-1784497882,2127166250,-1868598775,-1999534371,439495489,1644
165251200,1614878413,-1623223103,-1624176572,-241236004,1126574444,2058048002,1791673106,-1284785196,1645
1393927494,-468944484,-1768893659,-1091090991,-634764439,2101428021,1818809906,783963265,1168187005,1646
1235501234,617792524,-1552104876,1516195202,-967742179,-552353352,1714170334,-493062277,-533822787,1647
394095356,1249490334,-541237742,1357662709,834767986,-707973645,-1836790645,1086713745,553351826,1648
1004344201,1167379707,-2003701592,-1423560460,-1871137981,-973905214,-1456379392,1779737776,-1371913877,1649
-575705137,-308629101,1315775057,713681443,-689612633,18951275,-1131438395,-427318741,-183563943,1650
-828005960,580434898,-1968590304,-756260541,171763696,1242079552,-959549467,2033934602,803938754,1651
-1726227952,275796334,-1148829058,-556276976,-1017051756,-703678481,875475944,1648857854,-1141760849,1652
-1640779255,1646788604,1102471457,-1793033104,-1136781636,1621124671,1229963241,988830805,-446423776,1653
-1995605659,-135043649,318526800,1395399611,-1903686926,-1789844842,1285375473,-857112857,-208748717,1654
-1720611421,-564857983,760538936,436324753,-277193500,-388184336,1674906056,1412264921,-716257802,1655
32241861,255376800,-2003814748,-151794089,772394304,-623555446,721713593,-420781485,-330183083,1656
-137976766,-1457720773,319390553,1678820695,-1142550871,-528431165,1602746173,-1472749233,-1284848123,1657
-1254249346,261090260,2099361417,1630085847,-354501050,-1907313732,-1513800708,-155023591,-1608239938,1658
-2140421354,-1118694344,-1657830551,1262981760,-1586650670,1408711433,189267354,-437284759,1072385225,1659
-1014971376,5330678,472671385,2141913738,968061388,1232090491,282907430,1375659616,1589340547,1660
1405159229,1907517339,-22321161,1229676354,-1221756533,1083616004,-1593493557,1862187408,1524818326,1661
271522595,-415782611,-220979884,-799441472,2097371083,-1216456613,1807367751,407621696,-1883102602,1662
1005424629,869681512,-319612399,1534620076,-645957522,-925534680,-1216036834,-1318490026,-1329019891,1663
-636589757,1102163157,-234223025,413023981,86849219,1365218150,-359040307,496490599,-1578163721,1664
1555926156,-388483225,-1237598547,-1687834956,-1327398788,-664097771,1036662395,-1868422403,-237816603,1665
1571349383,322142916,-792650499,-1977302972,-319475844,-1221894891,-6249951,-547782482,-418559947,1666
1855624702,-1517411405,66480129,-1520634831,1052272713,-1043197407,-1475218598,488591613,-33343165,1667
-1362965107,779875974,883688807,352247971,-290235192,-1817754935,1785801186,-240260465,-721629881,1668
203698757,11986101,-1525376219,-1646103355,-69163428,1034822770,690556974,1134495043,17716350,1669
-238214147,-937531759,1842581158,1007455274,-508021222,-866061405,-627265470,-1697275521,-601744014,1670
1723775683,201543172,-1311895694,-1491478775,-82911881,-1545537771,441492971,-968413399,89332657,1671
-579331205,-2020591052,-774692085,-225773753,-2051481056,1224681823,1537928353,-1364708915,-627521777,1672
205851180,-1885603721,-790754273,1851623940,-1756967819,692653914,47830224,1518938359,-2062399178,1673
1387123657,-243666103,-2075685047,327215290,950238331,2021480985,1029116110,772910716,736935852,1674
562164024,1508095835,286651473,-307416197,-788139331,1260384457,1950664245,-143666508,-1583435930,1675
-1388766421,975114456,-1404760621,786824394,1415949895,-1862473374,-965064522,1566769711,-1713697560,1676
444659277,1973289528,-1507474277,-1481913056,-691698904,127504098,49217175,-1517165879,544373099,1677
-1081672104,2080498252,-116631389,-2047715301,408350944,709259064,1815430059,482456309,-133190031,1678
-1848656199,1687717779,-201461191,1889843295,-1351310994,-415075079,-2004161836,1161925812,-1465750555,1679
994654465,1655200394,1750972709,2130251162,87731951,-1279928747,-495485643,-518985198,661140108,1680
1510018442,1361697796,-103400334,-1811199657,-759330000,2128268443,-2099858895,-1641506099,2114138821,1681
-94524718,-1046668794,927583213,101382878,-361465931,2029869039,-1436622859,1178387242,778808825,1682
1444693068,2058102555,-504779366,874482182,-2045961671,551453111,-70298934,1785364811,25764275,1683
-631863470,-1960734515,1109633714,-1931528659,-2119321706,-108112095,29579617,-1288893044,-960890296,1684
488617303,1748603072,-1410489755,-776825130,46702149,-2003398990,1705647522,487888445,1050873640,1685
-290816169,-427153774,-369057277,1807773278,681865206,-1222049210,-19187460,2008977004,-1103236021,1686
-97425152,407861716,1120125502,-391467264,1889424382,1274100859,-65988734,-390787114,749604013,1687
639216711,-2125687361,270700818,298666091,-1461001392,-1059687347,224111853,2136697196,1033132906,1688
1825301585,1396397924,-1735280383,1347057054,1891426692,382451247,2004630616,-1486458737,-420860235,1689
1376304089,1305767737,1813719395,-1693771301,-1709576300,1762501234,550134048,68312657,239626900,1690
221399942,1730017304,1404903192,-1641944811,-829477113,-1795894210,-543287085,506877279,958149352,1691
1717385391,241334609,-1812976872,1069494116,-1564947924,1848799550,1654304869,831905926,1824492836,1692
281405787,-1776623690,-1763725527,-1950541136,607098771,2041844671,-1842108612,-1656025840,-1402127513,1693
376465867,-1149118342,-1882549865,1696137010,1997854767,1070526331,71931014,-1385568642,-1303757116,1694
-624218952,-1977052583,-894499371,-1428241398,-1415686729,1534969194,1683083884,1819510862,-1632828566,1695
-42616079,-1519137168,333059674,-131588869,-2062217106,-814411938,-632535,-217689400,665933747,1696
1755240832,-632452249,-1674628115,1348459151,1077400143,-1030126081,-1229895584,-173079298,-1552496944,1697
2031719971,997838374,-2048235371,933331934,-1410226648,-915888666,28341240,880294153,-429385161,1698
-1600147171,1886569718,2007254885,780704562,-571435571,718358909,1561200454,221599836,-557100511,1699
-687265741,-1766595606,-677047698,-1953502179,-303685389,-1103277591,-1988229697,846330221,881523447,1700
831945264,316446879,-2046315110,2023273296,1620061539,1581963369,-114713085,555528521,1948334419,1701
1431700131,249098467,701237815,-1151866884,-557661303,1917950552,1171831183,1135811393,-1549601927,1702
-435694836,-1816191778,-75661906,-1707803431,614276231,-459772782,861618357,1682614599,582582528,1703
1971880648,878340687,-379742899,1315338875,546119905,-2039713381,-334379998,733611328,-309981484,1704
-1484442202,943904805,982719693,186408806,1517205729,1220661302,1829214451,1210576131,974100906,1705
1985661688,977009608,1657206751,1195369572,-786608582,-1584779689,604872764,-1967145221,-1898402217,1706
-370850412,-124163414,-347766992,570439233,1824577013,995832127,-1002624226,-380316629,1422099572,1707
1074007414,-914336076,-403524945,1259919166,-1647827743,-1398492384,700044429,1967576801,1818357668,1708
-178991383,1498844643,1279716171,393387034,-356720586,-1910772177,-1725300425,808950410,542853585,1709
-1570892022,1309280309,1143674537,1005613222,-1676348547,-38058509,1521409247,-555465018,-1268869580,1710
657802697,528854340,-1951644307,-1429054841,2105373341,1137848832,-904194714,1245160939,-990296954,1711
-808723970,-1588329763,61732367,-1771921292,1039506896,1059045255,1877476394,-75285486,-640190799,1712
-1696476255,-2011704941,-844241306,-1557054532,-231079516,-590960076,-1214424687,1621770806,-1371321955,1713
1338899133,136796684,-1177960531,1858266201,1431305666,-299219329,-1735867130,-235572264,1879935415,1714
932695284,1021674086,-918312668,-643891719,-61390264,-90269246,-726854110,-489073538,343138885,1715
-329875208,1013563226,-355154984,-451165142,-1534333493,1289964776,138339536,607203297,-1460559525,1716
1996467788,1301887288,1649254161,-263663923,1510819858,-432751036,184955385,-2134113356,-1311160219,1717
-357156794,860072669,1080116039,377286051,1847071774,-143931929,-2119264714,-1334046798,885736669,1718
-1208169001,-1145640102,1117950410,691261232,-1103725064,1199656718,-1349496233,-809521723,492306286,1719
605833021,1177099179,-2081511397,989804737,-1661667122,-151561707,-1405497454,2103786936,-1795274196,1720
697268570,-2070259081,975515662,472035667,88728868,-353753392,-2095362487,122559909,827496335,1721
-2108557466,2127986873,-1171863764,94087042,1047768422,-1435319946,-35259984,2132361179,-2110855330,1722
-246897722,-805936993,-1160663215,581030193,-464377830,-710246153,-1030236576,-595862971,1896003354,1723
1906906717,1931694081,1288238835,-1054429044,-432584910,1200750207,844668867,1564849469,1953002033,1724
-964893844,1776811804,-1618044978,1051969108,1401774892,-1172724693,-870086837,-1043316193,643386746,1725
-1383874911,-743247790,-1117116771,-1215155551,168935376,-405745679,-323281623,-2132488421,143266884,1726
-1734757138,546126565,-147418026,623205287,-734445470,-1119641754,160925760,-1411086412,-1970120969,1727
727565007,1059958205,-393066440,-1899294444,1294809111,-958697997,-1443489892,600458461,982413637,1728
-2049218723,1661912434,425705460,86240401,349919064,1885957434,-652093733,2006420739,2093953225,1729
-1234067065,838234255,1387425483,1934321503,-741770135,-1431590767,453712188,-142676220,1529649134,1730
-1880834873,365109220,124789856,-578450163,-248093064,153299333,1798196292,-602170066,-1297957766,1731
312367598,-727568750,-422250988,-1913295960,1395265864,-476389290,1604455503,1209833907,1533921960,1732
1807001687,-751175251,-2074752242,-2110324005,582165779,239564283,-1851860531,727488335,2073095216,1733
1695727389,-1537015637,-1697816447,-180541998,-1999077927,-2010986378,1209823828,871933918,-2028126738,1734
-1052785803,-644922077,2022009619,-1613450308,-1006567401,575052363,1192416565,-806447593,-62520281,1735
