L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT,nonce
1135633704,1106449182,-1419959041,482792642,994870976,-313377448,-1654185272,-1293777139,-1024099222,-396594163,1506878564,-608709153,-438268141,-1334016392,1760498440,-2074988557,2990
-464602996,1875488360,-859293178,-1339272468,-2025490602,144426084,-1993635283,-1658794934,20189532,-1678675925,-701207238,1044721401,-1707986441,324258392,-294451985,-251709133,2991
-1466097047,373872818,1624961017,-495204944,-1167158232,1468013597,-811036159,974382453,1899898964,-1696729659,6779965,82096142,848463701,-929784519,2002113575,-801267967,2992
1694741494,-1091059716,-547513379,-1310025423,383292449,-449712717,1456413508,377653460,-2098749821,-1203413488,421918746,373835232,-1856823304,1338093854,-975134752,1997640543,2993
138048817,1897842092,186998018,1043598832,579652303,980532552,-653835659,-1801257289,-1695925065,1785896120,120242158,-146958709,878685389,448353284,2046725194,-1514763154,2994
-1388275573,-490954641,181472199,-2052620165,755252074,-2136479580,-397240336,1951247018,-1232817888,-728685546,-1068082918,-531108728,1639217006,-587604379,-1609240769,-946268102,2995
589975742,-841646369,442714746,1479128416,1348299932,1681899842,-1933825228,240326262,-1764244144,-293225420,255052398,-727185798,1779551997,846597481,-1783201895,2010437878,2996
340718856,434633783,714915648,-1104252245,564828754,-526366658,-1641809879,-1184680057,861357235,301759208,2132734310,255385187,-2542142,-847985274,1975920927,736041372,2997
649890896,-878048084,-1412598268,131831214,-1069446745,180013385,592050763,-778663745,1684329944,-228438828,1506588492,483725131,2046437116,-1742012847,1952594143,1512326133,2998
2136594106,-1816767467,-1893226836,517071736,1557312820,-383482087,-654483481,-790135288,-1265750676,-1153436646,-2054931887,1136624182,209989380,-1057178470,-602050381,1434605663,2999
-594104717,368369203,501058376,425633713,1357714617,-140505898,1363711754,-1565101764,680792643,750557583,1340988508,145080016,-1690331056,-865618748,1189355608,-1315076975,3000
2099017783,-900174611,601126528,-106370455,-673612892,-1279729727,-1385019516,-1374149434,772963336,535837564,-1196880525,-694767609,38456316,120768766,-1753590987,256501759,3001
1797265022,-1436969673,-1901405396,442369193,1849947517,-1544160016,-753250221,-2114609775,-2031084411,-1902358045,1702335778,625727512,105836066,-176517913,88193371,-2125184039,3002
59865471,1395143238,687971320,-1928788106,-76202094,1548921353,-1747181042,-1982127811,-1082333411,-894497746,222826767,-229003069,-1898139776,2014142236,1175475299,-1685737382,3003
817080562,-9929907,-1039914694,-1404502150,-163271364,-138756099,-1616743681,-889861745,210937368,-1626354960,1968272285,-1103060316,983250531,-263458248,276254116,-1032730828,3004
881991790,1991390693,248856711,-799070929,-1719357365,1783662396,-452291650,2092830926,-190445715,-372033947,-1763589770,705806052,-1806414830,1769310435,441530564,-1511210311,3005
1448731078,667051304,-343718871,-8333461,-442717215,1054964711,723717274,-1920058709,1197863549,-1812153377,-441112845,-314710551,1954254455,-427512745,-189010143,1406267838,3006
1085372519,-133694796,-628488754,-1703173223,-45128538,1314299303,-1640085722,-1796470273,-68648785,-1654346856,-1957450582,1739326915,-58040157,2101980816,1154213624,-1836032875,3007
-23804097,-1031316650,1343891307,-1940284169,604703690,551172489,1547788333,1301740074,302930525,-1023531024,91237337,-57407187,1797174901,800924022,657137568,-303864035,3008
1804717492,1269315635,1302577719,261743851,-627335092,50242044,483502530,-266884702,-1579019477,919469661,-879284902,2067332907,1672236788,-38715871,1222851092,115900905,3009
1038835492,1714001137,-1190079171,1647901374,-1682278047,-584046043,-345215436,1668506787,-884962820,-1577926514,600200255,-1588470478,-1118017364,1969106793,237122263,-1196154827,3010
1654364504,1598377490,-601032005,1245107014,-1870468343,1021506677,-932602594,206326136,-1760864193,299650710,-30929920,452210010,-8680579,-743901211,-1589416759,-2027127411,3011
845768050,2135314252,1886544605,868219185,-1276591731,873315296,1282485980,-236210578,-148866493,1858432831,-1417930363,1406913745,-1735236950,-1548029090,-953298014,476490461,3012
-1665022879,-586213128,201772966,1977754997,1655877160,1356741678,1833056164,1976000825,-152566339,1622659547,-531725361,561022808,-2055061083,1196414516,223658792,2023363001,3013
550071678,-1285936967,715746606,-179325280,-2110633956,278384898,-1267431845,-1048019104,1596027562,1491111065,1027566786,-1945894514,-2042409152,-1779730036,-1478968203,1108134138,3014
-796714226,-496551287,737366343,-1284565503,-105029175,-1812704732,886601730,540017741,-494700942,166125288,-305590331,1988818808,-1647073958,-406622829,1281222053,315243229,3015
-1793416508,9690979,-118491854,-1298374752,1434419623,-1554010435,-65968956,-457516135,1129361191,-1061120317,1880992693,-304325952,273882734,1859682018,-1849044008,219117598,3016
1630656637,-1882894579,-592086868,-1325795907,-1919131296,1555288321,378988176,830360972,-500936,1478211605,-1451488504,-1065344879,-2021527874,1612142795,1902871267,-233758030,3017
-220442101,-1571800678,1718986154,-1244717884,1199894136,659593789,-398085074,-1736022249,348683892,1196823966,-655474127,-745967451,-1586369511,1290710770,1830572953,902841408,3018
2062843325,1703295367,1919023566,-676200588,920025568,373446803,906727031,-1803739311,-2032642640,-164789973,331485018,-1843117661,11615247,179854298,-473162776,-995799246,3019
794763330,-2145256515,-106606654,-1074633230,902252104,-1764517893,1835189778,-1995570140,-1877497748,-1270470321,2104102567,-1119782542,375167701,794226484,-762744229,-1486224825,3020
1878396408,-1177832869,1981664036,-1253893474,1895624604,-1590197887,1801777564,-1000390850,-1267492153,-1334282874,2039145197,1616862725,-490534871,-775973305,1768016512,-2143304427,3021
2105501604,-475781014,1594621202,848319648,282117135,-445510342,543301901,-1289694978,557422093,-21255991,353212706,-923991146,-1206492456,-1211549030,1438713032,-706481806,3022
571542096,1844660087,-1552567245,-1474328302,-1359249361,2145808005,361439424,-1093667694,-697903896,314613851,-841418485,452504663,-1030638709,-1262736862,1416582913,-2094232826,3023
646463029,-982596601,747311417,1830656904,153191342,655916105,1776258237,477878938,2020440724,18237549,-1824964767,109062895,824186677,464508455,529471463,-1554104596,3024
-38393100,-286196130,-760383186,-685186017,-830091224,-1797392526,-101837474,-1181960064,-1391082138,-613112348,682247482,252333343,-1216184816,-1090407653,1952895025,-578651485,3025
1312279212,1708596168,1190805964,1988138269,1908736818,837883473,746848436,-66500842,80659739,-1254061056,-1323755068,1942620679,-1459743271,-1919067403,-194435391,-294537027,3026
1334208704,-934214476,-1804938698,-2100025647,1206553882,-384283309,-1324313894,1048794067,-1623708772,781423673,-1312498093,-490134975,1240649506,-1582192054,679935745,1821646537,3027
939598409,1463194821,1637758760,1205411747,135827936,1676916715,-812331197,1335832906,491877911,-896472217,1028013019,-310981370,-729144303,-855407426,-1314502769,-1001532788,3028
906272037,1244876449,143910736,-988752663,34166068,-1182730912,-72961346,-958888804,1802129064,2032675359,554738089,-1456199759,1382950521,-912450011,1591904896,1892877690,3029
1277012826,308705007,58350877,-936245999,2034649994,-235991069,2028886008,-1415813533,258417809,-169757394,-972131635,1700461547,1909576317,-114047767,1861516592,417074139,3030
1439570826,-1014090380,-2146240976,1458485098,-2077006240,1774196736,-1834937640,98000807,-1011234039,-544726013,1380294900,-1161836831,490974353,-2019007204,1046025110,-581380902,3031
660302984,-761318740,-155778398,265397411,-2009242585,270245803,421213782,1500247420,1165337034,-947588026,30968242,951500819,473703505,-1992077150,-1933849356,2141446788,3032
-1825574574,88511314,1499914844,-631047725,-474153994,-1872146356,-1176845796,2115846810,982129051,747941813,-2088542478,1416970676,-2080380493,-86911184,-474263160,1467759621,3033
361035851,-1034440318,477115783,71535254,1324198388,80086366,321697840,914423267,578396520,216599586,-706431011,1383134128,-1616370607,-964108539,-1898001195,-2017461039,3034
-188771093,475634769,591770083,-242265320,1640944746,-2048211241,-1013424333,-2130024027,-1040629467,1628937212,528592246,1320953348,1776384934,-1875238381,75895045,-1723741223,3035
1397539394,421847797,863688292,-595462897,240780290,-1007093,500574725,2057967389,-274816189,1461371642,1851180438,-896720798,694579174,2045658308,-1205026230,-504012048,3036
2041369144,1417791310,-1153428477,-73848945,1668955372,-1850776404,-1302636909,2010911911,-1900313814,-746712363,-738630940,-1190598827,-396827448,-23610949,-2133106475,510411354,3037
-1376799768,1996101269,-452457378,1233440339,-1562699019,2144659997,-580925899,1698857993,-1536851763,996981552,1497870228,2004955436,-1970097290,-353429223,-2118894514,-846491738,3038
-516195228,289551327,1072041214,-552225094,420993583,-1366245879,-1414068091,-859433928,1660515256,-625394219,1139605532,765567504,798471425,1111522384,553809756,942184618,3039
1086400643,-179259336,332327677,-2025192020,2132011401,1496840287,646171878,-16961756,-424801671,230992264,-57155326,-984852886,-110024896,-171827815,-1152689335,439972084,3040
444708442,144888425,972863647,-1702355079,1365659553,-1655927193,-692438405,-233323905,1118073680,-441379960,1523039653,458986222,78202878,-1903829106,-887691471,2088587446,3041
518147115,-945663535,1184062385,1478614702,74500383,631151094,-268723673,1719003560,2003239056,1689618993,-1359944264,1527436998,-1989613132,740784012,-881922133,1211595608,3042
961327782,-977831275,1189848519,1368344671,1723317281,75208174,-1075046746,-814643026,-2082461204,366467611,1707939061,1308473524,1750815002,-1078365173,304414583,-1440930266,3043
586309293,-1018071431,1257992260,-829813542,102231721,973392146,1000819621,1237755185,-454279696,-1926687301,-197324243,-2049265495,-751424564,-1843050665,-327881841,1914085782,3044
484600032,-1249467407,-792671354,1308382998,1875506041,-1177115429,2111965723,858245339,-273400150,2107167355,345712467,1183627473,868496800,1720958613,-1881109721,-1952194885,3045
-794317520,-1650375257,-1257559744,1530569351,-665048732,-1439441966,696100816,-1497132703,1134265409,-2050908316,637802542,-1435487280,1313373081,-1667616988,-560855114,1438848764,3046
110772966,-1841309603,1203452641,-1951723775,-1755118987,-1250116621,436947344,793678846,-104139459,96970875,20363331,-32159407,-69525295,-1390389976,1197197902,1842405108,3047
2143163186,1930729685,-53218699,-1114203510,-52363135,1634736414,-182847213,657933686,-1117635855,728046805,624039053,193724189,-177646142,1170388540,-1085247268,-719183058,3048
-670718302,-994366538,1389825881,1856514921,-217430341,-1105570376,1681730183,-1148092499,1283240935,-755024860,-238710396,-1722099748,1168202128,-1553231400,-71484589,-1221879442,3049
356326681,1501809183,445859909,-715264985,-1580251356,66601284,1262952791,181501011,-834432726,-678138340,-740994246,-1549666237,2126720702,-1655109888,670843367,-1606202313,3050
-951975423,690356786,-1952779849,506409195,-973902624,-64980804,1059595998,811929186,1880198708,1220110075,-282002842,2119000729,1532008095,315193024,2095051092,-1896835655,3051
-948019340,798997300,1675482177,1299394763,-993348264,661667317,-1044157387,-841583950,684626910,-1638381203,18744239,-1166783600,-1670056383,-74556115,-608380808,1758488140,3052
-176058125,29880609,2004473392,685605380,845226720,1946342642,1667484533,63362656,-2100016616,1759967775,-457356376,304033456,1948717083,2059253840,235842605,-974761974,3053
-303619321,-254273955,-1692510967,527174685,857611871,2035767634,203645815,861976826,-406658627,-1333672520,1712484867,-1778939431,1930964394,1223154522,-980353982,54527664,3054
1825568059,-1024896993,-915266197,528302374,-1915898784,-1043425777,799355960,-1828285915,-1348775252,-1006944697,-1944349025,-1610577649,-639487935,1203667457,237972804,-834384078,3055
-658285290,-194179766,-796774243,-1922092992,-845918603,1827282443,-1601528587,876263217,1233855223,-1934509791,1779370516,-216069215,-1974704512,1148045315,224427269,829580128,3056
-1802797638,-1193805710,1400238475,919168199,428141854,-61643114,1221890807,2005846023,619775824,875393563,1778190436,-877238330,-1749556860,1548267931,-1258535031,-1422788323,3057
-1923053111,1701018765,-1044748471,1680443336,-1329586047,1949933547,-2121859252,-90079046,-1053296987,-2122909923,-715200249,723596123,1318135987,-1594011786,504773305,1386851802,3058
-257736812,238661687,969665050,324377538,-2031042469,-850228546,396953272,-2077292115,-486449584,-105063177,1649429003,-1863047663,-423185411,1389774791,571245601,-2069943237,3059
1586489410,-88316867,-813138830,2034844061,1368711874,-1264105202,1544758155,592932211,1005894591,1952134752,1753314707,132309265,-1406110769,700641183,-1188827780,559907647,3060
-295107980,-957028677,-1020061043,627196523,95700322,1509429068,1258566570,1974661937,1128189796,573309773,1689301611,-1831797749,-171491590,1259516436,864545319,-588852480,3061
-721460613,782643180,-1521817090,-234143258,1560405300,748097437,-1046463824,-1295141579,-983921492,860856867,1986799261,1487672926,1998064385,1009070844,1181896889,831131513,3062
-1281561443,-788000014,-427534498,-1636262389,-2128132543,170223070,-570507390,1081062714,-1381758995,1216977595,335220295,258551390,515015508,461256981,-419098174,811209264,3063
1265315213,1437968897,-1633324556,1626991432,-1506355693,1502250425,709421388,-2083329711,322328691,-647039298,1685050334,1939315935,993522832,-739462005,-910481312,-1893673144,3064
-918805686,-39764488,1324405436,-1977023686,893469788,-130480723,-2047297019,144446063,-890372517,-708658237,-1525596257,-2050619171,-1870455798,-1021571999,1176273811,-298755738,3065
-1468913245,743019177,162613067,951479808,23633976,-1631615749,-1103907203,-124394675,-1719913114,-2115636837,-1469728657,-786921861,2000242000,-1828427591,614676016,571441119,3066
-413412867,1458471050,-1361941937,-813848177,-724665287,1687449101,-2071463115,484655601,-724719516,-1325187193,530950003,-694165299,1401061790,105073643,-496073655,-337525019,3067
1245105297,-849574358,332084797,-819921904,-1691217706,886427455,1176354306,681110535,1755779853,80995749,1861907603,-134986617,769121597,106379457,2061658166,1466612161,3068
392671271,1406240804,1282100104,-1679027309,1236751018,-1336425909,-505830126,-69368960,671780626,38402081,-556786175,1944220150,-416865744,752901469,1307639873,1442856756,3069
46320300,684216398,585322759,9621051,506252171,-264552856,577158831,-1373298608,26378347,-463951262,-522531104,-99151703,-1128787877,1544507761,-91605172,345786350,3070
1612337217,-790157431,-1097095382,430511572,-487064201,-545969777,970355220,753215191,359337056,1729064516,-724093912,597169913,1966598546,-1852461041,-751805790,1551948679,3071
-498682446,-1704496640,-887934388,-339670604,583027535,-630991604,1552659102,-463388166,-1945855366,1142873173,-816825086,-2133482144,1757856770,-770021643,1465428516,1912666942,3072
-2008985492,-1718842846,-164357121,1617849238,-1259916477,473536472,-412108804,-2013954905,1891414974,-365620870,-673981263,-2022224134,1038299410,1378682074,-189427602,-1762445391,3073
2123581311,-899440018,-1164048879,-276012782,518337040,-1292338889,2101487722,-1587082896,-1899966753,2039192495,-1497865590,-433786181,-1988660559,-682551282,1506506516,908696522,3074
-61336901,445578705,1997624034,2050286380,2070282579,-940992612,-1119796641,-2017322235,-1564704172,-445281615,2065390343,-110442350,1026850012,-1959064151,5577594,-732896944,3075
1938908131,146566570,-687892841,-1210774103,453657972,-1791132660,1007589314,-466745438,-225302138,-354216108,-2100417057,1614451211,536392646,-2041642895,-432456130,-960562764,3076
-310968082,1011982329,1645040787,-571104959,1596615790,1130985401,-1236641611,924787604,1313109675,-419085199,-322011427,-641985952,-1086083993,-1663858861,56662626,123983718,3077
-1580161300,-1420125434,844951852,-1176231964,-1443692512,421046679,630909268,191478622,-1187940001,1256572613,1137582696,-1197408507,-1970418758,-1744443505,-624418341,582276905,3078
-1757850458,1278043607,652902821,299350434,1436163557,648967163,132963852,-1207489411,-370094604,-835624555,-1894008786,-1923200234,-1876104563,90194722,1062261026,985974665,3079
-1053685180,-2072089531,982672834,678879390,1013340304,723665340,1206348173,-469686862,-778040114,328454203,1314467363,1290293012,-1237109886,-2147131532,1873997627,1819835349,3080
-284304678,-702048553,-614289076,-1626410996,814708016,1735094575,-124603776,1061311659,-526049350,1459422104,1228079786,1438926422,-1794800119,-107594282,103901108,-1754762384,3081
-1592854833,420470410,2143226668,-993521568,1285373048,1280104243,-1413207491,-1782430622,1350468397,-1301798307,1791331749,366973870,-593929377,1937828497,977233351,-609436155,3082
-745209187,55737038,-1090544856,1040157779,928005067,-653032576,874407712,2018913378,-1971334786,1885880058,637305073,1773020918,934050632,2015127077,1709186900,1630119916,3083
1073673573,-1890833305,1902918673,1716563767,1185853299,286860830,331759558,1775352702,-1295403779,-381133942,-1616463975,96553013,281963973,947563863,-1530345777,100110156,3084
-145284227,-299613179,997949489,-1173580688,-1214251380,-591871007,-1309682015,-756487145,5004625,202407818,1469681315,-49528208,-2066542053,-1394768916,1310830026,756079964,3085
3699203,-2087369831,-574062365,1784246555,1376718087,-1525411695,-82450682,-905450984,1971720351,89331284,1271110448,425681489,1777656091,1542172821,-1370719888,1406811314,3086
889949410,-955905244,1318040639,-535643096,1096974169,-450803380,108025376,1240830742,775729494,943470125,-1807929785,-1110743394,2017681103,1860469568,-545592135,275018428,3087
802446015,2062066109,1942299356,301811034,1601335039,-2005718985,355529173,-2133852199,808568937,1012986749,-501522206,1803836613,2086529548,174646592,-2024477995,486708365,3088
621307379,600888031,1831621198,-472767149,-407140874,130563071,-790340536,1138958607,773773974,-1478760759,1779428329,-647590624,-251923277,905942015,-1196657842,-2060149986,3089
1875278553,-875576599,1290914572,-687542997,-611161648,-1393230886,-3448442,-1042677778,1157021864,1683697045,431605925,1737669075,799636962,1093670929,211015209,-703122824,3090
1990780879,-979541752,-519819009,1491281665,-989247969,-1091869485,-470818041,260036786,228012163,-832738263,-1419398593,-399553352,1697233682,-465856740,-394416348,-819727062,3091
-57416203,621734784,934735619,-101800783,-1419010101,-184444798,-46630543,-1243105652,-2131218046,771828134,526542314,-1331973226,-46277597,448417023,780350806,-1207759328,3092
1792760972,1232650190,-1914039525,-1461085491,-553718266,821833448,-1718919851,401210864,-904961846,1978920415,1451556658,-746880585,-1712041012,1672271897,-178958886,-57977217,3093
441121203,106955370,-2028013880,-1751092425,-1252803558,-1983174148,474076581,-508145610,-288717302,387431853,1793504575,564405039,886540175,-1008398538,1040592311,18384716,3094
193090776,-1616010455,-1127172563,8849156,-1646453470,1082548500,-1146546788,-614848660,603633018,1191079040,441341073,-442760297,-904082732,-1818470669,1805796584,649170790,3095
490857978,1273358124,-1105199317,-533336814,2096900591,-1170539746,-1313094796,2137027692,-152278677,-972302600,499265268,-1909109496,-949643256,167713873,388522920,-2089630815,3096
-626293184,514554688,-290891788,17091256,40331736,-1629905534,2085384391,1683876209,173518040,-388442191,1263856692,1412440239,427846317,-1374579483,-1542735878,-691093489,3097
344595285,1221602404,-1263352158,2070980136,1786755264,-69141985,614550056,1005272935,-2050480965,-1063054372,111802518,1984371499,-1899703483,1896882343,-1595200463,1284035914,3098
1720818537,-1636899667,-1507737505,1116607545,-1050233080,178986822,-1520410545,-24592840,1295390831,1677175859,-1437876850,1887465989,398307831,1082803527,425479198,176578977,3099
744161523,-1842675609,1256593146,1752597857,1924154825,-1372356279,-1011239645,-371966135,1635528164,-487056593,-2070009493,1068350888,973853623,1275734851,143544974,1779380568,3100
-1431315879,1637662259,97226250,1876394612,-1453711917,1909053456,-1432060321,2022843263,-843778704,-729543141,578506386,-112061406,196398928,1256668594,-148465763,1703126857,3101
-1842235098,-2136265655,-1412844385,2038497792,453351195,499920257,1453386455,359636988,-238716455,2024897922,-244307244,1839777109,-227996123,1488687059,1761922792,1515965636,3102
978456215,-15150511,940025549,1568655105,-517684155,331215545,-1178107880,355576241,2086159222,-1441018824,-1265879417,1966400594,1493536388,-235087191,1647760460,614834876,3103
-42603101,64320649,-739727461,1749301961,1883724947,724061096,196306726,617514435,-227524967,2041320108,-181000350,-1698597385,186948059,-701583892,1102555827,1540788474,3104
-1930192193,-1247970729,2124193595,1384436428,-1556902192,-1577105007,-322350612,-945047220,-759884282,1902966546,444908901,126240506,271580008,-1191517740,-1080997030,-1957287934,3105
-710223588,637437520,-959412002,-612813424,-147557974,969589660,1110099239,-885863952,2020368392,-145551082,518867930,-142220204,-1686246963,1449192115,1483864077,-1574450396,3106
1057943247,908974282,771573670,1941987189,712287916,2056365761,-420561827,-78422115,1092898868,635641916,308293816,1539975707,-1697534664,-2116749128,1679356300,1867828384,3107
1429811558,130174557,-1149853073,-2093346860,-1554846504,-1508017658,587761239,-420393749,-1442126421,1311426586,2085435911,1967144971,351193971,-1901449725,411577292,-417972838,3108
-953849869,762395268,-474864012,1898544400,-1496105830,75913863,-1936422778,1135084101,741229641,1979564851,-1703728996,-2109764520,346338702,1759401514,-2131531885,-361500125,3109
