U5_USERKEY,U5_INDEG,U5_OUTDEG,U5_ACTIVITY,U5_JOINDATE,U5_REGTIME
2445,13,12,25,143811,143811
2465,20,46,66,130479,130479
2467,6,13,19,225308,225308
2477,56,29,85,236607,236607
2480,170,108,278,101068,101068
2482,8,19,27,215440,215440
2491,6,4,10,158850,158850
2497,20,39,59,237200,237200
2512,34,42,76,252319,252319
2517,86,79,165,85731,85731
2531,2,3,5,206812,206812
2536,44,8,52,207247,207247
2563,49,54,103,155959,155959
2564,4,17,21,150656,150656
2565,8,4,12,154800,154800
2567,373,12,385,127845,127845
2570,9,7,16,143842,143842
2571,9,15,24,179532,179532
2577,43,34,77,177038,177038
2579,2,4,6,161057,161057
2580,103,40,143,222498,222498
2601,1,1,2,215836,215836
2602,10,19,29,166063,166063
2615,0,7,7,170893,170893
2625,5,17,22,226686,226686
2642,32,3,35,239152,239152
2662,1393,4,1397,213481,213481
2684,40,31,71,207316,207316
2696,670,5,675,138294,138294
2731,11,5,16,188383,188383
2732,0,7,7,216634,216634
2733,57,30,87,3908,3908
2746,154,2,156,132152,132152
2753,477,11,488,105230,105230
2779,25,29,54,108944,108944
2801,1,1,2,233012,233012
2804,5,5,10,241743,241743
2813,8,21,29,241822,241822
2817,23,19,42,241595,241595
2836,130,6,136,242513,242513
2862,16,12,28,139802,139802
2866,26,16,42,129718,129718
2881,20,15,35,129827,129827
2882,40,27,67,130605,130605
2883,1,4,5,253078,253078
2891,16,12,28,141007,141007
2892,9,11,20,129859,129859
2911,37,5,42,147998,147998
2912,9,12,21,39084,39084
2916,7,16,23,150485,150485
2925,28,15,43,130239,130239
2940,130,1,131,135674,135674
2944,8,10,18,86476,86476
2948,28,13,41,92395,92395
2958,8,5,13,230036,230036
2960,2,1,3,88046,88046
3002,24,14,38,222472,222472
3013,100,164,264,98082,98082
3027,17,43,60,209095,209095
3037,1,2,3,189320,189320
3054,3,6,9,184426,184426
3064,3,13,16,98115,98115
3066,19,10,29,8576,8576
3094,52,15,67,206292,206292
3095,19,16,35,234887,234887
3096,21,6,27,214863,214863
3099,7,29,36,160493,160493
3104,23,40,63,151396,151396
3108,4,18,22,238187,238187
3109,9,53,62,251905,251905
3115,92,30,122,249903,249903
3117,8,22,30,155135,155135
3120,1,9,10,148797,148797
3125,12,2,14,133501,133501
3147,0,2,2,252055,252055
3172,3,9,12,44375,44375
3173,0,0,0,247947,247947
3182,0,2,2,153399,153399
3185,19,14,33,227775,227775
3186,4,12,16,119955,119955
3206,2,22,24,163344,163344
3212,123,13,136,237431,237431
3214,27,34,61,142338,142338
3221,2,4,6,215446,215446
3228,204,33,237,214967,214967
3240,2,16,18,242278,242278
3248,0,0,0,61895,61895
3255,15,1,16,232415,232415
3258,5,3,8,244238,244238
3262,11,12,23,131522,131522
3287,6,51,57,135731,135731
3289,93,34,127,134753,134753
3292,16,16,32,224280,224280
3295,17,13,30,95791,95791
3300,131,35,166,242957,242957
3320,0,2,2,133217,133217
3324,21,21,42,230403,230403
3339,9,10,19,215424,215424
3343,1022,29,1051,251870,251870
3347,16,7,23,170761,170761
3353,64,10,74,140797,140797
3355,21,14,35,227229,227229
3356,8,10,18,215082,215082
3357,10,37,47,232606,232606
3359,40,5,45,136436,136436
3360,340,12,352,155802,155802
3361,65,22,87,223001,223001
3369,1197,12,1209,65963,65963
3392,70,14,84,241171,241171
3416,2,2,4,231267,231267
3417,23,17,40,244485,244485
3419,1702,1,1703,194573,194573
3420,1,3,4,227775,227775
3430,8,38,46,192701,192701
3437,21,29,50,166035,166035
3450,9,23,32,218435,218435
3468,3,3,6,196360,196360
3482,83,4,87,202375,202375
3491,27,5,32,223539,223539
3495,30,4,34,236904,236904
3524,4,4,8,216442,216442
3525,6,1,7,184170,184170
3533,74,13,87,133694,133694
3542,28,36,64,151286,151286
3546,34,2,36,18456,18456
3547,294,96,390,136327,136327
3562,20,14,34,144930,144930
3564,11,4,15,209144,209144
3575,2,3,5,199882,199882
3584,31,7,38,130790,130790
3593,37,58,95,142456,142456
3598,58,91,149,137195,137195
3603,399,112,511,103399,103399
3604,879,34,913,62646,62646
3606,106,66,172,202201,202201
3607,19,11,30,227772,227772
3623,11,0,11,127396,127396
3624,1,3,4,57846,57846
3629,54,15,69,132898,132898
3636,12,23,35,58527,58527
3641,55,17,72,212931,212931
3648,10,2,12,218885,218885
3653,5,17,22,227881,227881
3697,23,1,24,193979,193979
3712,17,33,50,229411,229411
3724,17,6,23,97690,97690
3742,15,8,23,123140,123140
3748,16,8,24,196092,196092
3752,37,28,65,241194,241194
3759,10,5,15,118626,118626
3764,14,13,27,237048,237048
3783,121,5,126,186700,186700
3807,104,21,125,155941,155941
3808,79,45,124,243492,243492
3816,28,24,52,175651,175651
3845,20,1,21,141433,141433
3882,15,22,37,143107,143107
3891,2,5,7,142464,142464
3905,0,4,4,144710,144710
3919,11,22,33,73797,73797
3933,5,21,26,62852,62852
3947,6,28,34,138946,138946
3952,9,21,30,167205,167205
3962,5,1,6,167477,167477
3972,349,131,480,138900,138900
3994,535,49,584,138280,138280
3998,843,2,845,134083,134083
4024,2,6,8,103146,103146
4034,2,2,4,150013,150013
4043,8,2,10,249562,249562
4069,18,9,27,143418,143418
4072,11,24,35,225008,225008
4089,9,17,26,252513,252513
4100,11,2,13,222415,222415
4108,1,2,3,242763,242763
4125,3,9,12,132724,132724
4127,30,7,37,155342,155342
4129,30,1,31,148196,148196
4137,152,5,157,229674,229674
4165,8,15,23,156528,156528
4177,263,224,487,134957,134957
4187,26,9,35,242920,242920
4236,21,26,47,249893,249893
4310,34,57,91,75287,75287
4317,44,64,108,252683,252683
4319,3,21,24,55208,55208
4346,58,15,73,122630,122630
4348,16,50,66,117343,117343
4364,19,4,23,157686,157686
4367,28,25,53,209199,209199
4372,372,93,465,216171,216171
4377,70,42,112,214967,214967
4378,315,14,329,122562,122562
4381,18,20,38,151017,151017
4394,26,14,40,58368,58368
4407,69,91,160,142568,142568
4412,176,22,198,78442,78442
4413,4,12,16,221490,221490
4440,78,29,107,199885,199885
4452,6,10,16,252504,252504
4456,2,1,3,109819,109819
4458,3,1,4,197215,197215
4463,10,7,17,229550,229550
4464,10,18,28,237152,237152
4475,85,30,115,67926,67926
4476,3,4,7,248989,248989
4482,10,9,19,183423,183423
4490,4,4,8,151860,151860
4514,61,6,67,89181,89181
4515,24,25,49,182786,182786
4519,17,27,44,66213,66213
4528,40,14,54,151369,151369
4561,18,15,33,151469,151469
4562,10,8,18,194512,194512
4564,19,31,50,89589,89589
4567,44,24,68,152098,152098
4570,23,15,38,154726,154726
4582,5,5,10,61516,61516
4595,4,3,7,257897,257897
4618,1,2,3,225260,225260
4619,22,27,49,131162,131162
4665,386,113,499,2064,2064
4669,5,25,30,233038,233038
4690,5,2,7,94429,94429
4697,8,3,11,240514,240514
4700,14,6,20,223491,223491
4718,57,68,125,116186,116186
4732,27,2,29,133468,133468
4734,21,23,44,257118,257118
4779,10,11,21,226593,226593
4798,4,3,7,73327,73327
4804,2,3,5,73597,73597
4809,49,28,77,214467,214467
4813,13,8,21,230848,230848
4832,2,13,15,244927,244927
4839,0,0,0,105134,105134
4858,2,3,5,203161,203161
4860,1,4,5,221190,221190
4866,78,17,95,208938,208938
4872,25,36,61,228733,228733
4876,8,12,20,97573,97573
4884,15,16,31,72440,72440
4918,13,2,15,205870,205870
4922,3,5,8,211836,211836
4926,1,3,4,152908,152908
4941,5,10,15,250582,250582
4968,5,9,14,179394,179394
4971,19,19,38,245462,245462
4974,112,30,142,102434,102434
5009,75,43,118,249421,249421
5011,614,10,624,224418,224418
5014,9,8,17,234953,234953
5016,39,5,44,189334,189334
5021,26,23,49,68301,68301
5054,2,2,4,154234,154234
5071,111,7,118,228338,228338
5082,181,75,256,223276,223276
5086,12,10,22,228389,228389
5087,80,82,162,76946,76946
5104,52,86,138,230661,230661
5114,75,47,122,71971,71971
5116,143,190,333,223322,223322
5122,1,3,4,153985,153985
5123,252,61,313,58906,58906
5137,285,166,451,88153,88153
5143,156,113,269,169701,169701
5149,6,8,14,217295,217295
5155,131,97,228,147325,147325
5157,58,2,60,77838,77838
5163,235,22,257,147757,147757
5177,7,12,19,190738,190738
5184,65,12,77,195276,195276
5186,101,28,129,122103,122103
5189,114,19,133,107999,107999
5191,91,12,103,131632,131632
5192,43,2,45,63603,63603
5193,1469,42,1511,237629,237629
5222,2,2,4,145502,145502
5225,2,11,13,192044,192044
5226,2593,293,2886,111466,111466
5228,15,8,23,257521,257521
5237,7,10,17,159973,159973
5247,246,46,292,237669,237669
5265,5,11,16,89072,89072
5276,1,1,2,258994,258994
5281,132,97,229,117064,117064
5284,42,32,74,244254,244254
5291,8,9,17,179326,179326
5310,7,2,9,71960,71960
5315,13,19,32,201159,201159
5339,5,11,16,141396,141396
5352,3,10,13,257338,257338
5361,0,5,5,244452,244452
5368,4,10,14,205613,205613
5377,1,16,17,137510,137510
5383,14,9,23,188519,188519
5387,6,42,48,115610,115610
5392,10,9,19,149602,149602
5393,160,9,169,1863,1863
5406,140,61,201,241096,241096
5410,0,10,10,182237,182237
5444,9,18,27,15388,15388
5445,7,31,38,230125,230125
5455,2,4,6,140776,140776
5473,28,25,53,203310,203310
5476,1,0,1,216878,216878
5500,181,37,218,136090,136090
5506,4,10,14,73746,73746
5524,1,2,3,139809,139809
5537,7,12,19,155305,155305
5550,42,15,57,97171,97171
5571,6,27,33,240983,240983
5597,5,4,9,222998,222998
5664,144,0,144,167056,167056
5695,6,5,11,70435,70435
5704,71,69,140,202073,202073
5717,1,11,12,213669,213669
5742,6,29,35,224046,224046
5753,16,34,50,154647,154647
5771,43,71,114,210219,210219
5782,5,3,8,209321,209321
5795,144,41,185,226371,226371
5799,24,22,46,197506,197506
5810,61,87,148,195417,195417
5841,20,57,77,232462,232462
5843,43,56,99,134400,134400
5847,2,6,8,121367,121367
5851,21,31,52,152031,152031
5859,222,84,306,196264,196264
5878,8,30,38,242889,242889
5890,7,14,21,232220,232220
5891,44,38,82,197979,197979
5894,12,31,43,243400,243400
5899,14,2,16,55624,55624
5932,20,17,37,233120,233120
5948,130,45,175,160462,160462
5969,48,13,61,229961,229961
5971,10,14,24,251646,251646
5987,9,12,21,234198,234198
5989,61,16,77,255855,255855
5992,31,31,62,174760,174760
6000,4,6,10,243037,243037
6002,36,1,37,257967,257967
6017,79,38,117,222498,222498
6019,208,30,238,231207,231207
6027,21,3,24,256004,256004
6029,11,14,25,139221,139221
6038,44,5,49,236662,236662
6039,61,45,106,132778,132778
6053,88,8,96,75147,75147
6065,0,0,0,219970,219970
6072,12,39,51,119926,119926
6078,184,39,223,57007,57007
6079,21,1,22,224825,224825
6080,277,51,328,227214,227214
6081,260,27,287,128626,128626
6104,64,52,116,134373,134373
6113,3,8,11,255549,255549
6130,4,4,8,142290,142290
6150,40,20,60,167866,167866
6184,8,8,16,148450,148450
6193,6,18,24,148416,148416
6204,10,21,31,183828,183828
6210,4,42,46,237719,237719
6214,5,17,22,226438,226438
6218,20,48,68,209336,209336
6232,2,6,8,128302,128302
6235,5,8,13,179415,179415
6236,65,15,80,244360,244360
6241,563,164,727,194882,194882
6243,2,5,7,232609,232609
6255,5,7,12,191658,191658
6269,21,25,46,55517,55517
6277,3,1,4,233025,233025
6329,51,23,74,134320,134320
6330,15,30,45,245391,245391
6334,16,23,39,176937,176937
6338,165,99,264,48478,48478
6339,38,11,49,235877,235877
6346,4,3,7,217048,217048
6359,6,9,15,175600,175600
6360,14,17,31,252144,252144
6398,2,14,16,189619,189619
6422,8,11,19,206690,206690
6425,61,11,72,245127,245127
6441,6,5,11,211015,211015
6443,1,4,5,66740,66740
6445,5,17,22,232924,232924
6477,2,30,32,153124,153124
6493,12,7,19,87258,87258
6504,3,5,8,205968,205968
6509,2,6,8,250299,250299
6516,5,29,34,173295,173295
6520,5,7,12,142022,142022
6547,3,6,9,219799,219799
6551,8,24,32,73356,73356
6568,2,2,4,142860,142860
6578,3,0,3,166022,166022
6585,29,44,73,181094,181094
6588,5,20,25,146392,146392
6590,35,16,51,128100,128100
6612,16,25,41,247446,247446
6616,2,13,15,179710,179710
6625,11,18,29,118029,118029
6637,5,2,7,102509,102509
6642,49,13,62,101216,101216
6644,166,0,166,212692,212692
6645,89,43,132,9872,9872
6652,95,12,107,248303,248303
6654,44,2,46,225758,225758
6658,96,29,125,13064,13064
6662,37,45,82,135884,135884
6668,43,24,67,101444,101444
6669,33,32,65,8491,8491
6672,52,5,57,11843,11843
6674,93,27,120,119767,119767
6677,57,14,71,22490,22490
6688,18,19,37,127329,127329
6692,47,40,87,23947,23947
6701,47,43,90,12052,12052
6702,58,30,88,230074,230074
6704,24,79,103,37459,37459
6707,27,29,56,100862,100862
6708,26,45,71,20114,20114
6717,0,6,6,233006,233006
6751,50,38,88,215303,215303
6759,17,11,28,161094,161094
6765,9,44,53,217612,217612
6767,16,9,25,204416,204416
6790,16,58,74,216662,216662
6800,25,7,32,178954,178954
6807,15,17,32,227916,227916
6817,20,31,51,150930,150930
6821,6,10,16,102106,102106
6835,33,29,62,56806,56806
6864,13,29,42,257081,257081
6879,8,18,26,191331,191331
6882,22,24,46,148166,148166
6888,6,1,7,191975,191975
6899,4,8,12,193289,193289
6909,135,32,167,241758,241758
6937,15,15,30,176962,176962
6940,736,107,843,111471,111471
6944,0,1,1,113275,113275
6949,18,3,21,222657,222657
6951,495,3,498,239255,239255
6958,259,24,283,240780,240780
6963,149,9,158,152764,152764
6982,78,110,188,60818,60818
6992,8,17,25,130714,130714
6993,11,16,27,238357,238357
6999,10,8,18,55025,55025
7013,0,7,7,236573,236573
7020,1,21,22,145952,145952
7065,0,8,8,189176,189176
7067,293,76,369,257867,257867
7091,5,11,16,134866,134866
7095,6,9,15,216704,216704
7100,21,10,31,156573,156573
7114,50,27,77,246172,246172
7121,9,15,24,151773,151773
7133,10,4,14,192650,192650
7149,11,22,33,172817,172817
7185,7,5,12,70531,70531
7200,6,10,16,155714,155714
7231,13,4,17,257866,257866
7238,3,6,9,218290,218290
7242,21,34,55,189550,189550
7245,4,4,8,58343,58343
7254,18,8,26,236613,236613
7257,0,3,3,145134,145134
7259,35,43,78,148006,148006
7271,65,12,77,136407,136407
7281,1,5,6,136273,136273
7283,24,6,30,187473,187473
7288,35,42,77,177691,177691
7298,11,31,42,221853,221853
7305,2,10,12,237101,237101
7307,4,9,13,197570,197570
7309,3,7,10,197687,197687
7316,11,26,37,236734,236734
7319,11,22,33,128678,128678
7320,13,11,24,158345,158345
7330,2,3,5,242826,242826
7337,5,13,18,249418,249418
7350,7,18,25,229898,229898
7360,9,6,15,160077,160077
7363,3,7,10,237311,237311
7377,35,47,82,118830,118830
7394,13,6,19,55027,55027
7400,113,34,147,226712,226712
7404,481,55,536,220084,220084
7406,157,83,240,162514,162514
7417,83,11,94,231785,231785
7420,164,58,222,224360,224360
7440,5,10,15,194983,194983
7445,17,30,47,217845,217845
7453,4,10,14,221262,221262
7457,9,33,42,155427,155427
7459,6,14,20,241560,241560
7462,42,45,87,99318,99318
7468,101,42,143,224111,224111
7473,11,7,18,252372,252372
7476,46,40,86,130630,130630
7480,116,44,160,216670,216670
7501,343,105,448,149815,149815
7520,11,9,20,146702,146702
7522,20,0,20,233413,233413
7533,2149,12,2161,196203,196203
7550,83,7,90,215662,215662
7551,1475,87,1562,146443,146443
7584,51,55,106,256185,256185
7586,1,1,2,252467,252467
7591,10,9,19,222592,222592
7614,13,17,30,106119,106119
7617,9,12,21,75509,75509
7634,275,73,348,217688,217688
7658,5,13,18,208992,208992
7684,6,2,8,82328,82328
7686,2,6,8,210292,210292
7690,386,2,388,193443,193443
7695,1,9,10,117061,117061
7705,1,3,4,193574,193574
7721,11,6,17,222976,222976
7727,14,21,35,231786,231786
7732,0,1,1,196524,196524
7759,1,3,4,233193,233193
7771,1,21,22,246702,246702
7779,49,44,93,147418,147418
7786,8,18,26,204097,204097
7801,55,77,132,77958,77958
7804,6,8,14,237924,237924
7811,3,1,4,135609,135609
7829,17,10,27,242949,242949
7847,4,3,7,224099,224099
7856,7,19,26,55951,55951
7859,0,13,13,228254,228254
7865,0,1,1,181375,181375
7878,1,5,6,238045,238045
7882,4,4,8,134267,134267
7902,1,4,5,208214,208214
7903,5,22,27,192545,192545
7942,264,36,300,224581,224581
7969,64,26,90,241109,241109
7981,0,4,4,235541,235541
7982,11,21,32,243436,243436
7985,4,8,12,238286,238286
7996,4,6,10,238923,238923
8004,2,4,6,108512,108512
8009,3,13,16,229400,229400
8027,1,1,2,234015,234015
8063,4,7,11,214763,214763
8098,1,1,2,162772,162772
8122,155,9,164,127987,127987
8126,60,42,102,224443,224443
8140,11,36,47,230324,230324
8196,1,7,8,193598,193598
8198,1,2,3,245185,245185
8208,125,6,131,251760,251760
8214,0,1,1,196534,196534
8217,2,9,11,235944,235944
8231,0,3,3,208025,208025
8236,6,3,9,180654,180654
8238,5,1,6,254469,254469
8247,2,0,2,142424,142424
8253,0,1,1,145656,145656
8260,8,6,14,203792,203792
8266,41,9,50,140699,140699
8270,2,8,10,179686,179686
8278,11,17,28,233015,233015
8291,6,11,17,137564,137564
8292,44,60,104,242903,242903
8322,17,8,25,232339,232339
8324,4,8,12,165174,165174
8352,14,28,42,98036,98036
8374,1,7,8,157291,157291
8377,8,13,21,239273,239273
8379,40,47,87,224484,224484
8380,10,17,27,214864,214864
8384,17,57,74,214518,214518
8389,15,19,34,224763,224763
8391,518,63,581,136644,136644
8392,99,47,146,215525,215525
8393,38,29,67,214191,214191
8404,110,9,119,233014,233014
8409,39,7,46,206075,206075
8410,32,6,38,112551,112551
8431,1,3,4,135652,135652
8437,1,1,2,134124,134124
8442,2,0,2,163202,163202
8451,6,5,11,163097,163097
8454,15,53,68,170325,170325
8460,54,5,59,168506,168506
8497,20,3,23,78767,78767
8568,15,3,18,164578,164578
8576,6,9,15,232833,232833
8591,16,33,49,152214,152214
8592,8,6,14,137068,137068
8594,14,16,30,227812,227812
8633,3,16,19,85759,85759
8647,4,25,29,219859,219859
8655,0,3,3,150082,150082
8689,1,3,4,219509,219509
8702,85,20,105,71341,71341
8711,469,11,480,147727,147727
8734,26,5,31,180936,180936
8740,6,1,7,180739,180739
8755,160,17,177,73048,73048
8760,2,4,6,78923,78923
8794,6,7,13,71573,71573
8811,51,8,59,146634,146634
8832,27,29,56,227802,227802
8840,38,9,47,257530,257530
8846,1,0,1,90037,90037
8855,30,27,57,138433,138433
8864,4,10,14,148820,148820
8872,7,8,15,231629,231629
8897,9,26,35,71918,71918
8903,263,56,319,141942,141942
8910,2,11,13,230927,230927
8915,31,37,68,224661,224661
8950,9,20,29,256296,256296
8960,26,20,46,244187,244187
8965,2,1,3,229058,229058
8966,22,160,182,69401,69401
8989,75,129,204,178970,178970
8992,71,39,110,162834,162834
9011,5,29,34,131508,131508
9016,70,17,87,229534,229534
9021,130,117,247,138539,138539
9025,248,87,335,231711,231711
9036,121,104,225,139225,139225
9059,1,7,8,235868,235868
9060,3,8,11,134143,134143
9090,9,4,13,137873,137873
9091,28,51,79,242409,242409
9096,20,30,50,155590,155590
9099,0,6,6,147538,147538
9102,24,10,34,127414,127414
9107,83,34,117,131805,131805
9111,13,10,23,240261,240261
9129,21,6,27,108769,108769
9131,4,1,5,56617,56617
9139,58,22,80,248633,248633
9155,16,32,48,198594,198594
9161,29,52,81,123147,123147
9162,15,40,55,246394,246394
9173,3,11,14,227591,227591
9185,4,16,20,213677,213677
9186,9,35,44,102389,102389
9190,7,7,14,208526,208526
9206,12,12,24,95346,95346
9208,68,18,86,25547,25547
9210,16,18,34,101842,101842
9217,17,14,31,134067,134067
9223,13,8,21,105392,105392
9229,19,15,34,7802,7802
9231,49,4,53,10158,10158
9232,4,29,33,144853,144853
9244,9,13,22,179941,179941
9254,49,19,68,119214,119214
9258,11,27,38,248055,248055
9277,9,14,23,245830,245830
9288,13,2,15,50838,50838
9299,62,40,102,151475,151475
9304,25,31,56,167453,167453
9305,31,7,38,148807,148807
9310,20,32,52,219913,219913
9311,28,52,80,145382,145382
9312,3,5,8,130857,130857
9318,9,8,17,239545,239545
9324,2,8,10,73781,73781
